id,2365002@書報討論（二）@2@1,2365020@野外地質@2@1,2365031@地球化學@2@1,2365001@應用地球物理@1@1,2365005@應用數值分析@1@1,2365007@書報討論（一）@1@1,2365009@書報討論（三）@1@1,2365011@水文地質學@1@1,2365013@全球定位系統原理與應用@1@1,2365029@穩定同位素地球化學@1@1,2365030@質譜分析@1@1,2365004@書報討論（四）@2@1,2365008@重磁力測勘@2@1,2365022@環境污染物傳輸@2@1
605238002,84,NaN,NaN,87,NaN,NaN,82,88,NaN,NaN,NaN,-1,NaN,-1
605238004,79,92,85,NaN,NaN,79,NaN,80,NaN,NaN,97,-1,NaN,NaN
605238001,-1,NaN,NaN,78,NaN,88,NaN,NaN,94,NaN,NaN,NaN,-1,NaN
605238007,-1,NaN,NaN,70,NaN,84,NaN,NaN,NaN,71,73,NaN,NaN,-1
605238009,-1,NaN,NaN,82,NaN,86,NaN,NaN,NaN,99,99,NaN,-1,NaN
605238010,-1,NaN,NaN,87,88,91,NaN,85,NaN,97,NaN,NaN,NaN,NaN
605238011,NaN,NaN,NaN,80,NaN,89,NaN,NaN,NaN,97,92,-1,NaN,NaN
605238012,-1,NaN,-1,80,NaN,77,NaN,NaN,80,82,NaN,NaN,NaN,-1
605238013,-1,NaN,-1,70,NaN,83,NaN,0,NaN,80,81,NaN,NaN,-1
605238014,-1,NaN,-1,80,NaN,85,NaN,NaN,NaN,88,NaN,NaN,NaN,-1
605238017,-1,NaN,-1,70,NaN,87,NaN,NaN,76,NaN,NaN,NaN,NaN,-1
605238018,-1,NaN,-1,70,NaN,83,NaN,NaN,NaN,76,77,NaN,NaN,-1
605238019,-1,NaN,-1,71,NaN,83,NaN,NaN,NaN,81,79,NaN,NaN,-1
605238003,NaN,NaN,NaN,NaN,NaN,NaN,95,85,NaN,NaN,98,-1,-1,NaN
605238008,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,98,97,-1,NaN,NaN
