id,2405401@代數通論（一）@1@1,2405410@圖形學@1@1,2406457@模型式理論（一）@1@1,2405101@複變分析（一）@2@1,2405402@代數通論（二）@2@1,2406458@模型式理論（二）@2@1,2408806@論文選讀@2@1,2405007@近代幾何學導論（一）@1@1,2405008@近代幾何學導論（二）@2@1
602240003,71,90,86,70,78,94,95,75,50
602240004,74,70,91,60,78,96,94,86,NaN
602240006,78,95,87,NaN,79,96,95,83,NaN
