id,2205041@電動力學（一）@2@1,2205052@量子力學（二）@2@1,2205101@非線性光學@2@1,2205182@固態物理（二）@2@1,2205274@書報討論（二）@2@1,2205956@專題： X光科技@2@1,2205020@統計力學@1@1,2205042@電動力學（二）@1@1,2205051@量子力學（一）@1@1,2205181@固態物理（一）@1@1,2205230@材料科學@1@1,2205273@書報討論（一）@1@1,2205300@表面物理@1@1,2205301@表面磁學@1@1,2205360@線性系統、傅立葉轉換與光學@1@1,2205919@專題：磁性物理@1@1,2205940@專題：介電物質的特性@1@1,2205943@專題：超導體物理@1@1,2205945@高等物理數學@1@1,2205010@古典力學@2@1,2205120@雷射物理@2@1,2205400@原子物理與雷射光譜學@2@1,2205921@專題：晶體物理@2@1,2205958@專題：奈米光電@2@1,2205960@專題：雷射冷卻與捕獲@2@1,2205070@理論物理@1@1,2205081@相變與臨界現象導論@1@1,2205950@專題：X-光繞射與應用@1@1,2205956@專題： X光科技@1@1,2205957@專題：自旋電子學@1@1,2205080@相對論@2@1,2205240@X－光繞射與應用@2@1,2205931@專題：凝聚態物理@2@1,2205940@專題：介電物質的特性@2@1,2205961@專題:磁性材料@2@1,2205010@古典力學@1@1,2205960@專題：雷射冷卻與捕獲@1@1,2205143@量子光學導論@2@1,2206902@專題：合金物理@2@1,2205301@表面磁學@2@1
601220026,50,73,NaN,NaN,88,NaN,85,NaN,71,73,79,76,NaN,83,70,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220029,50,78,NaN,86,93,NaN,78,NaN,74,73,78,80,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220030,70,88,NaN,81,88,NaN,82,85,82,80,NaN,77,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220031,0,0,NaN,NaN,18,NaN,70,NaN,74,NaN,0,80,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0
601220032,85,90,NaN,NaN,90,NaN,78,NaN,96,82,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,90,87,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220033,NaN,92,NaN,83,93,NaN,73,NaN,93,86,NaN,80,86,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220036,80,96,NaN,NaN,81,NaN,88,NaN,89,77,NaN,81,NaN,NaN,NaN,NaN,NaN,88,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220038,50,NaN,NaN,NaN,93,NaN,82,78,79,71,87,82,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
601220041,50,NaN,NaN,NaN,95,NaN,72,89,72,71,NaN,80,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220042,50,83,NaN,NaN,88,NaN,73,NaN,89,74,74,77,NaN,81,86,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220044,50,NaN,NaN,86,90,NaN,83,NaN,79,72,80,77,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
