id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451031@自我探索@1@1,3451888@學系服務學習@1@1,3452012@發展心理學@1@1,3452015@婚姻與家庭@1@1,3452024@刑法總則（一）@1@1,3452026@警政管理@1@1,3452071@民法總則(一)@1@1,3453034@犯罪偵查@1@1,3453040@性犯罪@1@1,3451005@心理衛生@2@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451030@社會工作@2@1,3451032@腦與犯罪@2@1,3451888@學系服務學習@2@1,3452027@暴力犯罪@2@1,3452072@民法總則(二)@2@1,3453081@心理學在犯罪領域之運用@2@1,3453083@家庭暴力與性侵害預防宣導@2@1,3451001@犯罪學@1@1,3451008@犯罪生物學@1@1,3451026@物質濫用概論@1@1,3451030@社會工作@1@1,3452011@犯罪預防@1@1,3452029@社會心理學@1@1,3452031@行為統計與電腦（一）@1@1,3452070@社會個案工作@1@1,3452075@諮商理論@1@1,3453035@變態心理學@1@1,3453036@犯罪矯正管理@1@1,3453066@刑事訴訟法（一）@1@1,3453070@諮商倫理@1@1,3453084@方案規劃與評估@1@1,3454007@觀護制度@1@1,3452018@人格心理學@2@1,3452025@刑法總則（二）@2@1,3452065@人際關係與溝通@2@1,3452066@行為統計與電腦（二）@2@1,3452073@社會團體工作@2@1,3452074@少年犯罪@2@1,3452076@警察學@2@1,3452077@諮商歷程與技術@2@1,3453031@犯罪心理學@2@1,3453032@團體輔導實務@2@1,3453078@體驗教育與冒險治療(二)@2@1
404725029,50,84,88,87,60,NaN,75,NaN,93,NaN,87,NaN,89,89,83,79,NaN,NaN,89,90,89,NaN,79,NaN,NaN,NaN,NaN,NaN,72,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404725030,76,82,88,NaN,NaN,NaN,73,NaN,91,NaN,NaN,NaN,84,92,NaN,87,NaN,80,-1,-1,91,82,86,NaN,80,NaN,77,82,93,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404725031,64,75,88,93,NaN,NaN,NaN,NaN,92,NaN,93,NaN,93,89,84,82,91,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,94,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
404725032,60,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,81,87,80,81,90,90,NaN,NaN,NaN,90,71,NaN,NaN,NaN,NaN,78,83,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404725033,60,64,83,83,NaN,NaN,75,NaN,NaN,73,83,NaN,69,88,80,73,NaN,NaN,76,NaN,87,NaN,72,NaN,NaN,NaN,NaN,89,84,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404725034,80,90,NaN,NaN,84,NaN,87,NaN,82,94,NaN,NaN,87,87,84,93,91,90,88,-1,NaN,90,89,NaN,NaN,NaN,NaN,85,93,NaN,91,72,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404725035,82,92,NaN,95,89,NaN,74,NaN,NaN,NaN,95,NaN,94,92,82,78,88,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,75,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
404725036,60,82,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,80,87,80,82,91,90,-1,NaN,NaN,90,84,NaN,80,NaN,78,85,88,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404725037,60,70,NaN,97,NaN,NaN,NaN,80,NaN,92,97,NaN,84,89,80,82,NaN,NaN,-1,NaN,87,NaN,81,NaN,NaN,NaN,NaN,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404725038,60,93,NaN,NaN,89,NaN,82,NaN,86,NaN,NaN,NaN,88,90,83,89,NaN,90,97,89,89,90,86,NaN,NaN,NaN,NaN,88,96,91,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
404725039,60,67,NaN,98,66,NaN,78,NaN,85,92,98,NaN,90,88,NaN,85,90,NaN,88,89,NaN,NaN,87,NaN,NaN,NaN,NaN,80,95,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404725040,60,NaN,NaN,NaN,NaN,NaN,84,NaN,89,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,83,NaN,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404725041,82,74,NaN,NaN,NaN,NaN,46,NaN,67,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,57,NaN,91,73,NaN,91,NaN,81,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404725042,89,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,88,NaN,90,93,NaN,89,NaN,NaN,NaN,NaN,90,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404725043,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,97,NaN,92,NaN,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
