id,3451001@犯罪學@1@1,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451030@社會工作@1@1,3452012@發展心理學@1@1,3452024@刑法總則（一）@1@1,3452029@社會心理學@1@1,3452075@諮商理論@1@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3452018@人格心理學@2@1,3452025@刑法總則（二）@2@1,3452065@人際關係與溝通@2@1,3452074@少年犯罪@2@1,3452076@警察學@2@1,3452077@諮商歷程與技術@2@1
404125013,83,85,73,NaN,NaN,80,85,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN
404125014,84,66,NaN,91,89,77,NaN,90,-1,-1,-1,-1,-1,-1,-1,NaN
404125027,68,72,75,70,89,72,91,93,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
