id,5151032@初級會計學（一）@1@1,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152200@投資學@2@1,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@4,5153173@金融倫理學@1@1,5153300@金融市場與機構@1@2,5153340@期貨與選擇權@1@1,5152101@財務管理（二）@2@1,5153100@財務理論與政策@2@1,5154180@國際財務管理@2@1,5154400@風險管理與保險@2@1
403125052,96,NaN,98,85,93,NaN,100,91,99,NaN,NaN,93,97,87,-1,-1,-1,-1
403125045,NaN,80,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125033,NaN,NaN,78,77,NaN,NaN,-1,NaN,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125026,NaN,NaN,86,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
