id,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5153173@金融倫理學@1@1,5154441@不動產概論@1@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5151032@初級會計學（一）@1@1,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@3,5152100@財務管理（一）@1@4,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153340@期貨與選擇權@1@2,5154350@國際金融市場@1@1,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152101@財務管理（二）@2@3,5152101@財務管理（二）@2@4,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154315@銀行管理@2@1,5153300@金融市場與機構@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154172@財務金融個案研究@1@1,5154210@投資組合分析@1@1,5153174@企業價值評估@2@1,5154314@金融風險與金控公司管理@2@1,5154316@銀行管理與金融科技@2@1,5154320@投資銀行@2@1,5154352@金融科技@2@1,5154400@風險管理與保險@2@1
403515048,NaN,NaN,76,NaN,84,NaN,NaN,76,NaN,NaN,40,85,NaN,68,85,NaN,NaN,NaN,NaN,72,NaN,NaN,73,NaN,NaN,NaN,76,79,-1,NaN,NaN,-1,NaN,85,NaN,77,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515050,NaN,NaN,81,NaN,85,NaN,42,72,NaN,60,NaN,NaN,NaN,72,84,NaN,NaN,NaN,NaN,60,NaN,68,NaN,NaN,NaN,72,NaN,78,NaN,60,NaN,-1,NaN,NaN,75,72,70,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515064,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,69,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,NaN,60,NaN,NaN,73,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403515078,NaN,NaN,92,NaN,84,NaN,NaN,100,NaN,NaN,NaN,91,NaN,73,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,94,NaN,NaN,87,NaN,NaN,NaN,NaN,-1,94,98,NaN,NaN,62,NaN,92,-1,-1,NaN,NaN,NaN,NaN
403515002,NaN,NaN,79,NaN,NaN,85,NaN,96,NaN,88,NaN,NaN,NaN,72,77,NaN,NaN,NaN,NaN,80,NaN,79,NaN,NaN,NaN,71,NaN,NaN,-1,NaN,NaN,-1,NaN,74,NaN,73,60,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
403515004,NaN,NaN,69,NaN,NaN,84,NaN,NaN,75,NaN,NaN,61,NaN,30,78,67,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,69,NaN,91,-1,NaN,NaN,-1,NaN,NaN,70,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515012,NaN,NaN,92,NaN,NaN,85,NaN,NaN,95,89,NaN,NaN,NaN,76,83,NaN,NaN,NaN,NaN,NaN,100,93,NaN,NaN,NaN,NaN,95,86,-1,NaN,NaN,-1,NaN,NaN,84,84,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515018,NaN,NaN,74,NaN,NaN,85,75,NaN,77,69,NaN,NaN,NaN,60,76,NaN,NaN,NaN,NaN,NaN,77,62,NaN,NaN,NaN,NaN,74,86,-1,68,NaN,-1,NaN,92,NaN,NaN,38,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403515022,NaN,NaN,86,NaN,NaN,85,NaN,NaN,100,81,NaN,NaN,NaN,74,83,NaN,NaN,NaN,NaN,NaN,100,79,NaN,NaN,NaN,NaN,86,81,-1,68,NaN,-1,NaN,94,NaN,79,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403515026,NaN,NaN,100,NaN,NaN,85,NaN,NaN,100,94,NaN,NaN,NaN,73,87,NaN,NaN,NaN,NaN,NaN,100,89,NaN,NaN,NaN,NaN,91,98,-1,NaN,-1,NaN,NaN,90,NaN,87,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515044,NaN,NaN,80,NaN,NaN,85,NaN,NaN,93,78,NaN,NaN,NaN,80,80,NaN,NaN,NaN,NaN,NaN,86,69,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,-1,NaN,86,NaN,69,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515046,NaN,NaN,74,NaN,NaN,83,67,NaN,72,72,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,60,NaN,85,65,NaN,NaN,NaN,86,NaN,NaN,-1,NaN,-1,NaN,NaN,72,NaN,NaN,83,NaN,77,NaN,NaN,NaN,NaN,NaN,-1
403515052,NaN,NaN,76,NaN,NaN,85,64,71,NaN,62,NaN,NaN,NaN,67,78,NaN,NaN,NaN,43,NaN,-1,72,NaN,65,NaN,NaN,77,88,-1,NaN,NaN,-1,NaN,NaN,71,60,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515054,NaN,NaN,81,70,NaN,84,NaN,87,NaN,76,NaN,NaN,NaN,66,79,NaN,NaN,NaN,NaN,75,NaN,59,NaN,NaN,-1,NaN,80,83,-1,NaN,-1,NaN,NaN,78,NaN,69,72,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403515058,NaN,NaN,79,NaN,NaN,85,66,NaN,77,64,NaN,NaN,NaN,60,78,NaN,NaN,NaN,68,NaN,69,72,NaN,NaN,NaN,70,NaN,78,-1,NaN,NaN,-1,NaN,74,NaN,NaN,62,NaN,63,-1,NaN,-1,NaN,NaN,-1
403515060,NaN,NaN,86,NaN,NaN,85,NaN,NaN,94,75,NaN,NaN,NaN,68,80,NaN,NaN,NaN,NaN,NaN,98,78,NaN,NaN,NaN,NaN,93,88,-1,NaN,NaN,-1,NaN,98,NaN,80,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515062,NaN,NaN,83,NaN,NaN,85,NaN,NaN,90,87,NaN,NaN,NaN,82,88,80,NaN,NaN,NaN,NaN,100,93,NaN,NaN,NaN,NaN,92,NaN,-1,NaN,86,NaN,NaN,100,NaN,NaN,NaN,99,96,-1,NaN,NaN,-1,-1,-1
403515068,NaN,NaN,97,NaN,NaN,85,NaN,NaN,98,90,NaN,NaN,NaN,84,90,82,NaN,NaN,NaN,NaN,99,NaN,93,NaN,NaN,NaN,95,97,NaN,NaN,-1,NaN,NaN,NaN,94,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515070,NaN,NaN,81,NaN,NaN,85,NaN,83,NaN,NaN,NaN,NaN,75,72,NaN,73,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,83,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403515072,NaN,NaN,78,NaN,NaN,85,NaN,NaN,61,64,NaN,NaN,NaN,60,75,NaN,NaN,NaN,NaN,NaN,64,58,-1,NaN,NaN,NaN,70,NaN,-1,NaN,-1,NaN,NaN,76,NaN,63,60,NaN,60,NaN,NaN,NaN,NaN,-1,-1
403515076,NaN,NaN,86,NaN,NaN,84,NaN,NaN,87,81,NaN,NaN,NaN,60,78,NaN,NaN,NaN,NaN,NaN,88,77,NaN,NaN,NaN,NaN,84,88,-1,79,NaN,-1,NaN,90,NaN,62,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515074,NaN,NaN,NaN,NaN,90,NaN,100,NaN,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,99,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515083,NaN,82,85,80,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,86,70,81,60,75,NaN,NaN,67,NaN,NaN,NaN,NaN,64,NaN,75,NaN,NaN,NaN,-1,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515081,NaN,NaN,92,NaN,NaN,75,NaN,NaN,96,89,NaN,NaN,NaN,78,NaN,82,NaN,92,NaN,NaN,100,88,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,-1,NaN,90,94,NaN,84,NaN,NaN,95,NaN,NaN,NaN,NaN,-1,NaN
403515082,NaN,NaN,84,NaN,NaN,70,NaN,NaN,100,NaN,NaN,NaN,95,76,82,65,81,79,NaN,NaN,94,NaN,NaN,NaN,78,88,NaN,NaN,NaN,NaN,NaN,80,NaN,84,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1
403515088,NaN,NaN,74,NaN,-1,NaN,71,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403515079,83,NaN,89,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,91,NaN,91,91,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,90,75,80,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403515085,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403515087,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,87,76,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
