id,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5153010@總體經濟學@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152200@投資學@2@1,5152400@商用軟體應用與設計@2@1,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@4,5153173@金融倫理學@1@1,5153300@金融市場與機構@1@1,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5153340@期貨與選擇權@1@2,5151009@民法概要@2@1,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@4,5154180@國際財務管理@2@1,5154172@財務金融個案研究@1@2,5154210@投資組合分析@1@1
402125016,100,NaN,95,99,NaN,91,78,99,NaN,88,98,84,83,NaN,93,91,NaN,97,95,97
402125051,NaN,98,87,NaN,93,98,87,NaN,98,89,90,NaN,NaN,96,NaN,NaN,97,94,93,NaN
402125050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN
402125041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN
