id,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153173@金融倫理學@1@1,5154210@投資組合分析@1@1,5154400@風險管理與保險@1@1,5154441@不動產概論@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@2,5152100@財務管理（一）@1@3,5152100@財務管理（一）@1@4,5153300@金融市場與機構@1@1,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5153340@期貨與選擇權@1@2,5154172@財務金融個案研究@1@1,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5152101@財務管理（二）@2@3,5152101@財務管理（二）@2@4,5153174@企業價值評估@2@1,5154180@國際財務管理@2@1,5154315@銀行管理@2@1,5154320@投資銀行@2@1,5154661@財務預測@2@1,5151032@初級會計學（一）@1@1,5153300@金融市場與機構@1@2,5154172@財務金融個案研究@1@2,5154313@資本市場與基金組合管理@1@1,5154314@金融風險與金控公司管理@2@1,5154316@銀行管理與金融科技@2@1,5154352@金融科技@2@1,5154400@風險管理與保險@2@1
402515066,NaN,NaN,NaN,85,94,NaN,NaN,76,66,78,77,79,NaN,NaN,NaN,60,NaN,75,NaN,71,85,71,NaN,80,NaN,NaN,86,80,76,53,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
402515072,NaN,NaN,NaN,85,88,NaN,76,NaN,84,70,93,81,NaN,NaN,93,NaN,76,NaN,NaN,88,NaN,NaN,78,82,NaN,NaN,89,64,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
402515074,NaN,NaN,NaN,85,NaN,70,50,NaN,70,71,88,79,NaN,NaN,NaN,60,68,NaN,NaN,76,76,NaN,73,87,70,NaN,86,64,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
402515063,87,NaN,NaN,NaN,100,NaN,94,NaN,83,NaN,82,NaN,NaN,NaN,100,NaN,93,NaN,90,NaN,79,NaN,NaN,NaN,NaN,NaN,92,92,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402515081,85,NaN,NaN,NaN,NaN,93,82,NaN,85,94,80,93,NaN,NaN,NaN,99,99,NaN,NaN,92,97,99,NaN,NaN,NaN,NaN,90,89,88,NaN,NaN,NaN,NaN,NaN,NaN,88,95,NaN,-1,NaN,NaN,NaN,96,NaN,-1,-1,NaN,-1
402515083,NaN,NaN,86,NaN,82,NaN,91,NaN,76,87,88,NaN,NaN,81,84,NaN,88,NaN,NaN,90,86,-1,81,NaN,NaN,NaN,90,77,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
402515082,NaN,NaN,NaN,NaN,NaN,81,67,NaN,85,86,NaN,NaN,NaN,NaN,NaN,23,16,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402515080,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,91,86,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,78,NaN,79,NaN,NaN,NaN,82,75,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,80,NaN,NaN,NaN,NaN,92,NaN,-1,NaN,NaN,-1
402515084,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,81,90,72,88,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,95,NaN,100,94,NaN,83,NaN,86,90,NaN,NaN,92,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402515086,NaN,82,NaN,NaN,92,NaN,NaN,NaN,74,88,92,NaN,NaN,92,88,NaN,NaN,84,81,NaN,NaN,NaN,NaN,91,NaN,NaN,96,NaN,80,NaN,87,86,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402515085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
