id,5152020@統計學（一）@1@1,5152100@財務管理（一）@1@1,5154441@不動產概論@1@1,5152021@統計學（二）@2@1,5152101@財務管理（二）@2@1,5152200@投資學@2@1,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153173@金融倫理學@1@1,5153300@金融市場與機構@1@1,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154172@財務金融個案研究@1@1,5152200@投資學@2@2,5153100@財務理論與政策@2@1,5154180@國際財務管理@2@2,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@4,5151009@民法概要@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@4,5154320@投資銀行@2@1,5154400@風險管理與保險@2@1
402210005,96,82,88,74,66,81,71,73,83,89,74,74,83,NaN,66,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210018,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210035,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210045,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402210026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210028,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,83,NaN,NaN,-1,NaN,NaN,NaN
402210032,NaN,94,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402210015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,-1,NaN,NaN
402210012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
402210041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
