id,2101001@微積分（一）@1@1,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@1,2101002@微積分（二）@2@8,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2103102@複變函數論（二）@2@1,2101002@微積分（二）@1@1,2102001@高等微積分（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2104553@線性規劃導論@1@1,2102002@高等微積分（二）@2@1,2102201@微分方程（一）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103001@點集拓樸@2@1,2103521@數值線性代數導論@2@1,2103711@統計方法@2@1,2101017@基礎生物數學@1@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103521@數值線性代數導論@1@1,2103524@初等數論@1@1,2104201@偏微分方程導論@1@1,2101002@微積分（二）@2@5,2103522@微分方程數值方法@2@1,2103525@初等數論（二）@2@1,2103701@統計科學@2@1,2104402@近代數學專題（二）@2@1,2101003@微積分（一）@1@4,2102002@高等微積分（二）@1@1,2103401@近世代數（一）@1@1,2104701@統計推論@1@1,2101002@微積分（二）@2@10,2103404@離散數學@2@1,2104401@近代數學專題（一）@2@1,2103711@統計方法@1@1,2103301@幾何學@2@1,2103302@幾何學(二)@2@1
401210035,87,92,82,NaN,91,NaN,89,89,NaN,NaN,NaN,88,100,94,97,NaN,84,99,100,96,80,NaN,94,NaN,92,78,94,NaN,NaN,NaN,96,NaN,95,98,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
401210036,82,60,NaN,NaN,71,NaN,71,68,86,NaN,NaN,60,82,90,88,92,60,89,88,96,NaN,81,82,NaN,68,90,NaN,83,88,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210037,85,80,82,NaN,65,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210038,75,60,NaN,NaN,50,NaN,60,84,85,NaN,NaN,79,35,62,62,NaN,70,0,23,60,60,NaN,35,NaN,0,NaN,60,NaN,NaN,60,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210039,68,65,82,NaN,72,NaN,60,72,NaN,NaN,NaN,60,60,91,72,86,60,69,86,88,40,NaN,NaN,NaN,62,82,78,70,NaN,NaN,NaN,NaN,75,72,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
401210041,64,60,82,NaN,63,NaN,86,71,NaN,NaN,NaN,41,38,86,40,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210042,35,27,NaN,NaN,48,NaN,NaN,39,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210043,79,65,82,NaN,80,NaN,78,86,NaN,NaN,NaN,77,60,86,81,79,64,92,65,89,NaN,100,NaN,NaN,60,60,NaN,69,NaN,NaN,76,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN
401210044,80,74,NaN,NaN,88,NaN,88,84,84,NaN,NaN,76,66,93,77,82,73,88,94,96,NaN,NaN,95,NaN,78,75,79,86,NaN,NaN,NaN,NaN,92,96,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN
401210045,89,79,85,NaN,80,NaN,71,93,NaN,NaN,NaN,79,68,88,80,82,61,93,77,84,30,NaN,NaN,NaN,73,85,83,NaN,60,NaN,81,NaN,69,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210046,97,100,NaN,NaN,99,NaN,84,92,87,NaN,NaN,89,100,93,97,76,92,99,90,60,75,NaN,NaN,NaN,95,NaN,65,98,97,NaN,NaN,87,NaN,90,NaN,NaN,92,NaN,NaN,88,NaN,NaN,NaN,NaN
401210047,78,69,85,NaN,72,NaN,61,69,NaN,NaN,NaN,75,66,86,70,74,73,88,75,88,NaN,87,NaN,NaN,62,92,NaN,NaN,64,NaN,NaN,NaN,65,73,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN
401210048,69,60,NaN,NaN,63,NaN,71,73,84,NaN,NaN,60,73,89,73,66,70,64,61,82,NaN,NaN,NaN,NaN,64,78,65,NaN,77,NaN,74,NaN,NaN,80,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210049,88,80,82,NaN,81,NaN,96,90,NaN,NaN,NaN,94,80,91,74,NaN,86,76,87,96,96,NaN,NaN,NaN,88,95,87,NaN,99,NaN,NaN,NaN,88,97,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN
401210052,NaN,67,84,NaN,71,NaN,66,87,NaN,NaN,NaN,69,61,80,72,80,60,77,64,72,30,50,63,NaN,12,87,74,NaN,49,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,70,75,NaN,NaN,NaN
