id,2101001@微積分（一）@1@1,2101001@微積分（一）@1@7,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@1,2101002@微積分（二）@2@3,2101002@微積分（二）@2@7,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2101002@微積分（二）@1@1,2102001@高等微積分（一）@1@1,2102003@高等微積分研習（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2103001@點集拓樸@1@1,2104553@線性規劃導論@1@1,2101002@微積分（二）@2@2,2101002@微積分（二）@2@8,2102001@高等微積分（一）@2@1,2102002@高等微積分（二）@2@1,2102004@高等微積分研習（二）@2@1,2102201@微分方程（一）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103102@複變函數論（二）@2@1,2103522@微分方程數值方法@2@1,2104402@近代數學專題（二）@2@1,2102002@高等微積分（二）@1@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103401@近世代數（一）@1@1,2103521@數值線性代數導論@1@1,2104201@偏微分方程導論@1@1,2101002@微積分（二）@2@6,2101002@微積分（二）@2@9,2103001@點集拓樸@2@1,2103302@幾何學(二)@2@1,2103402@近世代數（二）@2@1,2103521@數值線性代數導論@2@1,2103523@數學史@2@1,2103701@統計科學@2@1,2103711@統計方法@2@1,2104401@近代數學專題（一）@2@1,2103524@初等數論@1@1,2104701@統計推論@1@1,2103525@初等數論（二）@2@1,2103404@離散數學@2@1
400210030,42,NaN,66,NaN,75,53,NaN,NaN,76,60,62,50,67,35,60,99,79,NaN,76,NaN,NaN,NaN,63,NaN,79,82,84,63,NaN,NaN,NaN,26,63,NaN,NaN,NaN,NaN,63,45,78,NaN,80,66,NaN,NaN,90,71,NaN,NaN,NaN
400210031,62,NaN,70,72,NaN,65,NaN,NaN,73,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400210032,80,NaN,92,NaN,NaN,86,NaN,NaN,90,84,90,NaN,87,87,98,100,85,NaN,97,NaN,NaN,NaN,87,87,77,80,91,NaN,70,93,NaN,60,74,87,43,NaN,NaN,NaN,60,NaN,73,66,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN
400210033,64,NaN,63,88,50,66,NaN,NaN,53,81,NaN,NaN,65,NaN,65,84,75,NaN,66,NaN,NaN,NaN,60,NaN,84,60,71,51,NaN,65,NaN,60,67,NaN,50,69,NaN,NaN,NaN,70,NaN,69,65,NaN,NaN,64,NaN,NaN,NaN,NaN
400210034,75,NaN,70,NaN,NaN,68,NaN,NaN,65,61,84,NaN,63,63,60,86,60,NaN,76,NaN,NaN,NaN,60,56,77,60,68,NaN,87,78,NaN,NaN,60,NaN,65,NaN,NaN,NaN,62,NaN,NaN,NaN,84,NaN,35,80,NaN,NaN,NaN,NaN
400210035,40,NaN,56,87,61,NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400210036,57,NaN,84,NaN,70,45,NaN,NaN,84,67,74,70,64,64,67,69,60,NaN,70,NaN,NaN,NaN,65,64,60,78,87,65,NaN,NaN,NaN,77,63,NaN,60,NaN,NaN,NaN,NaN,80,NaN,NaN,85,NaN,NaN,81,NaN,NaN,NaN,NaN
400210037,42,NaN,66,85,61,48,NaN,NaN,87,76,NaN,50,69,69,63,95,80,NaN,NaN,NaN,NaN,NaN,57,57,85,60,75,NaN,NaN,81,85,67,63,NaN,60,87,NaN,65,38,NaN,73,NaN,70,60,69,NaN,NaN,65,NaN,NaN
400210038,75,NaN,NaN,NaN,NaN,38,NaN,NaN,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400210039,53,NaN,72,90,63,55,NaN,NaN,80,70,NaN,NaN,73,73,76,81,82,NaN,85,NaN,82,NaN,78,79,95,79,80,62,NaN,84,NaN,55,70,NaN,67,NaN,NaN,NaN,60,NaN,NaN,NaN,77,82,89,NaN,NaN,80,NaN,NaN
