id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451031@自我探索@1@1,3451888@學系服務學習@1@1,3452026@警政管理@1@1,3452071@民法總則(一)@1@1,3453036@犯罪矯正管理@1@1,3453073@監獄行刑法@1@1,3451005@心理衛生@2@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451028@諮商概論@2@1,3451030@社會工作@2@1,3451032@腦與犯罪@2@1,3451888@學系服務學習@2@1,3452018@人格心理學@2@1,3452027@暴力犯罪@2@1,3452072@民法總則(二)@2@1,3454013@生涯發展@2@1,3451001@犯罪學@1@1,3452012@發展心理學@1@1,3452015@婚姻與家庭@1@1,3452017@諮商理論與技術（一）@1@1,3452024@刑法總則（一）@1@1,3452031@行為統計與電腦（一）@1@1,3452070@社會個案工作@1@1,3453035@變態心理學@1@1,3453040@性犯罪@1@1,3454007@觀護制度@1@1,3452001@諮商理論與技術（二）@2@1,3452006@青少年問題與輔導@2@1,3452025@刑法總則（二）@2@1,3452066@行為統計與電腦（二）@2@1,3452073@社會團體工作@2@1,3452074@少年犯罪@2@1,3453013@家庭暴力@2@1,3453032@團體輔導實務@2@1,3453083@家庭暴力與性侵害預防宣導@2@1,3451008@犯罪生物學@1@1,3451026@物質濫用概論@1@1,3452011@犯罪預防@1@1,3452029@社會心理學@1@1,3452075@諮商理論@1@1,3453006@刑法分則（一）@1@1,3453020@專業實習（一）@1@1,3453024@監獄學@1@1,3453034@犯罪偵查@1@1,3453045@社會與行為科學研究方法（一）@1@1,3453066@刑事訴訟法（一）@1@1,3453070@諮商倫理@1@1,3453076@體驗教育與冒險治療(一)@1@1,3454010@精神醫療@1@1,3452065@人際關係與溝通@2@1,3452076@警察學@2@1,3452077@諮商歷程與技術@2@1,3453014@少年事件處理法@2@1,3453016@刑法分則（二）@2@1,3453031@犯罪心理學@2@1,3453043@社會與行為科學研究方法（二）@2@1,3453068@刑事政策@2@1,3453069@刑事訴訟法（二）@2@1,3453081@心理學在犯罪領域之運用@2@1,3453085@危機處遇@2@1,3454023@跨國犯罪@2@1,3454027@矯正諮商@2@1
403725021,84,86,89,80,96,70,85,NaN,NaN,88,87,97,NaN,90,NaN,NaN,NaN,NaN,89,88,80,89,NaN,91,NaN,91,NaN,67,93,NaN,87,NaN,NaN,86,NaN,85,NaN,NaN,NaN,NaN,NaN,90,90,NaN,NaN,NaN,84,NaN,93,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403725022,60,70,92,NaN,82,90,85,80,91,85,86,98,NaN,85,95,92,NaN,96,95,88,82,NaN,NaN,88,86,93,NaN,NaN,NaN,NaN,89,90,91,82,88,80,82,NaN,NaN,NaN,NaN,93,NaN,NaN,92,NaN,92,94,91,82,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN
403725023,83,87,89,75,86,94,NaN,NaN,97,85,85,98,NaN,87,93,NaN,NaN,83,91,89,80,88,NaN,87,87,93,NaN,84,98,NaN,92,90,91,89,NaN,84,NaN,NaN,92,NaN,NaN,92,NaN,NaN,95,85,97,96,92,NaN,NaN,92,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403725024,82,78,NaN,NaN,79,94,84,86,97,87,84,97,NaN,83,91,92,NaN,85,88,NaN,74,87,NaN,87,85,92,NaN,NaN,87,NaN,82,90,86,87,86,81,83,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,97,95,91,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403725025,80,86,90,90,90,86,NaN,85,97,85,83,98,NaN,90,86,NaN,NaN,95,99,87,82,89,NaN,89,87,91,NaN,NaN,NaN,NaN,94,90,93,96,NaN,86,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,89,95,91,88,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN
403725026,78,84,NaN,NaN,82,96,87,NaN,95,89,85,98,87,84,81,92,NaN,88,92,NaN,87,NaN,NaN,89,85,94,91,86,NaN,82,91,NaN,92,93,92,83,85,NaN,NaN,92,NaN,NaN,NaN,NaN,91,NaN,98,95,91,NaN,NaN,88,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
403725027,76,91,88,90,85,93,83,83,92,83,85,90,NaN,88,NaN,NaN,NaN,89,90,87,74,88,NaN,89,76,85,91,NaN,92,NaN,84,NaN,87,77,NaN,78,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,90,75,96,91,NaN,NaN,87,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403725028,84,75,94,NaN,77,93,90,90,97,86,87,95,NaN,90,96,92,NaN,85,95,89,79,87,NaN,95,82,97,88,79,NaN,NaN,93,93,91,88,88,89,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,92,NaN,86,NaN,96,87,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN
403725031,60,87,90,90,91,97,NaN,83,85,81,85,97,90,90,88,NaN,NaN,NaN,80,NaN,76,NaN,NaN,91,NaN,93,88,85,NaN,NaN,93,NaN,NaN,88,NaN,83,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,90,93,86,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403725032,88,74,93,NaN,NaN,NaN,NaN,84,NaN,72,89,83,NaN,95,81,92,-1,-1,NaN,NaN,89,91,NaN,90,86,95,NaN,82,NaN,NaN,94,NaN,92,92,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,75,94,95,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403725033,72,91,92,85,NaN,84,86,NaN,NaN,92,86,NaN,91,94,93,NaN,NaN,84,94,89,86,88,NaN,88,85,98,87,NaN,NaN,NaN,88,93,90,96,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,96,95,94,84,92,86,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
403725034,89,83,93,NaN,NaN,78,73,NaN,NaN,82,89,96,NaN,87,93,92,88,NaN,91,90,83,NaN,86,85,77,88,87,77,NaN,NaN,91,NaN,80,94,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,81,94,92,77,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN
403725035,70,87,95,90,86,64,NaN,88,95,90,84,96,91,89,NaN,NaN,NaN,89,NaN,NaN,88,88,NaN,92,85,94,91,NaN,80,NaN,91,NaN,89,94,87,86,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403725036,70,82,95,NaN,NaN,93,84,81,97,86,85,97,NaN,91,91,92,NaN,85,87,88,79,88,90,92,84,88,88,76,NaN,NaN,86,93,86,83,92,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,80,NaN,91,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN
403725037,80,91,95,90,85,82,87,91,97,91,85,97,NaN,93,93,NaN,NaN,90,98,NaN,94,NaN,NaN,90,89,88,NaN,94,NaN,91,92,NaN,92,89,93,85,85,NaN,NaN,95,NaN,NaN,NaN,NaN,96,NaN,84,96,91,NaN,NaN,NaN,83,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
403725038,67,81,94,NaN,88,80,88,83,86,86,84,91,NaN,88,90,95,NaN,84,93,88,74,NaN,NaN,89,83,90,NaN,NaN,NaN,NaN,93,93,87,90,NaN,85,84,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,88,96,92,87,NaN,87,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
403725039,84,77,91,90,79,78,84,87,NaN,78,84,96,NaN,87,92,NaN,NaN,90,88,88,75,82,NaN,90,80,94,NaN,NaN,NaN,NaN,87,93,82,93,NaN,83,83,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,82,96,90,82,NaN,88,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN
