id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6302015@行政法總論（一）@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302016@行政法總論（二）@2@1,6302025@所得稅法@2@1,6303012@公平交易法@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302009@消費者保護法@1@1,6302012@營業稅法@1@1,6302013@民法物權（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6304016@著作權法@1@1,6304027@法律實務(一)@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302020@民法債編總論（二）@2@1,6302024@法學英文@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303029@稅法實例演習@2@1,6304006@證券交易法@2@1,6303001@民法債編各論（一）@1@1,6303008@商事法總論及公司法@1@1,6303009@票據法@1@1,6303021@刑事訴訟法（一）@1@1,6303024@稅法總論@1@1,6303036@商標法@1@1,6303038@銀行法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304029@國際貿易法@1@1,6303002@民法債編各論（二）@2@1,6303015@金融法@2@1,6303022@刑事訴訟法（二）@2@1,6303034@法律倫理學@2@1,6303035@兩岸信託法@2@1,6303037@專利法@2@1,6304008@國際私法（二）@2@1,6304012@行政法實例演習@2@1,6302060@商事法@1@1,6304005@強制執行法@1@1,6304006@證券交易法@1@1,6304033@刑事證據法(一)@1@1,6304036@智慧財產權法實例演習@1@1,6304056@企業併購法@1@1,6303020@信託法@2@1,6303033@稅捐稽徵法@2@1,6303042@破產法暨消費者債務清理條例@2@1
402630022,94,85,73,NaN,NaN,78,84,88,65,NaN,80,82,86,NaN,95,80,NaN,90,78,NaN,88,82,NaN,99,83,88,86,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402630023,73,86,69,NaN,55,NaN,50,45,40,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402630024,91,83,76,84,NaN,88,89,83,63,92,80,85,88,NaN,98,90,88,93,90,NaN,99,88,NaN,93,89,82,99,98,93,88,NaN,NaN,88,95,95,84,92,77,NaN,95,94,98,84,94,79,97,NaN,79,95,88,NaN,89,88,NaN,90,NaN,NaN,NaN,NaN
402630025,91,90,64,92,76,87,84,91,78,91,NaN,75,85,NaN,94,87,89,99,83,NaN,92,87,93,92,86,80,87,81,81,79,NaN,NaN,69,80,77,80,95,61,NaN,NaN,83,87,80,81,78,92,NaN,67,NaN,88,NaN,82,83,NaN,NaN,NaN,NaN,NaN,NaN
402630026,86,89,75,90,NaN,75,85,82,64,82,80,80,88,NaN,85,80,NaN,90,86,NaN,80,76,NaN,84,88,81,77,NaN,89,85,NaN,NaN,73,84,86,78,90,65,88,NaN,87,75,77,94,75,96,88,65,NaN,NaN,NaN,88,83,NaN,NaN,99,NaN,NaN,NaN
402630027,95,85,71,87,75,99,93,86,72,89,NaN,95,NaN,NaN,99,82,NaN,NaN,90,NaN,89,83,NaN,98,83,89,94,NaN,95,85,NaN,NaN,97,88,90,83,99,75,NaN,NaN,94,89,95,86,74,85,NaN,73,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402630028,92,70,73,83,NaN,92,76,87,72,80,80,81,92,NaN,82,76,NaN,89,82,NaN,77,82,96,85,82,77,79,NaN,87,90,NaN,NaN,77,80,87,81,96,62,92,NaN,82,93,64,86,72,89,NaN,60,NaN,88,NaN,NaN,85,83,NaN,NaN,NaN,NaN,NaN
402630029,81,72,63,75,75,76,74,80,82,79,NaN,72,89,NaN,78,74,NaN,NaN,69,NaN,74,82,NaN,77,78,73,76,NaN,79,79,NaN,NaN,81,84,86,81,78,64,75,NaN,93,96,70,87,75,84,NaN,61,NaN,87,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN
402630030,96,95,80,90,NaN,84,92,90,84,89,79,87,87,NaN,93,89,NaN,88,88,NaN,90,84,NaN,95,87,82,91,84,88,93,NaN,NaN,98,91,95,79,92,74,98,NaN,98,95,91,94,77,87,90,63,NaN,NaN,NaN,NaN,86,84,NaN,90,NaN,NaN,NaN
402630031,61,86,62,68,75,69,62,81,60,NaN,NaN,62,70,NaN,60,70,NaN,79,65,NaN,74,72,NaN,72,75,65,74,-1,74,71,NaN,NaN,68,76,77,74,60,60,73,NaN,96,76,73,80,74,84,NaN,60,NaN,88,NaN,NaN,82,NaN,87,NaN,NaN,NaN,NaN
