id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252610@應用倫理學@1@1,1253203@懷疑論@1@1,1253923@彌爾@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1253926@柏克萊@2@1,1254304@知覺哲學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@2,1252100@形上學@1@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1254107@自由意志與相關議題@1@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@2,1252306@語言哲學@2@1,1252603@理由論@2@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253210@信念倫理@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254503@生物哲學概論@2@1
403125033,72,89,95,68,80,NaN,NaN,60,NaN,NaN,NaN,88,NaN,76,60,NaN,60,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,61,84,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,70,NaN,NaN,NaN,69,NaN,NaN,NaN,61,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403125034,83,77,NaN,80,88,NaN,NaN,85,66,NaN,NaN,NaN,NaN,83,75,98,72,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,64,78,NaN,NaN,83,60,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,84,NaN,-1,NaN,78,70,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403125035,62,60,90,48,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42,27,NaN,33,NaN,NaN,NaN,12,0,NaN,NaN,NaN,NaN,NaN,51,28,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125036,66,50,NaN,66,81,NaN,NaN,92,87,NaN,NaN,NaN,NaN,62,65,90,63,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,78,67,55,78,88,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN
403125037,80,74,90,85,93,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,88,81,NaN,92,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,100,78,NaN,NaN,89,NaN,NaN,85,NaN,NaN,NaN,NaN,88,NaN,91,NaN,85,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
403125038,84,99,NaN,96,90,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,91,97,90,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,85,92,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,85,NaN,NaN,71,83,NaN,94,78,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403125039,94,78,90,86,85,NaN,NaN,76,NaN,NaN,NaN,NaN,92,92,79,NaN,75,42,NaN,80,NaN,NaN,75,NaN,NaN,NaN,100,82,NaN,NaN,78,85,NaN,80,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,-1,73,NaN,NaN,NaN,52,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
403125040,87,85,NaN,79,77,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,86,82,98,57,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,88,76,NaN,70,78,NaN,NaN,0,NaN,NaN,NaN,NaN,81,NaN,69,72,NaN,NaN,NaN,0,NaN,NaN,73,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
403125041,80,81,85,70,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,72,73,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,NaN,74,NaN,NaN,62,74,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1
403125042,83,91,NaN,81,85,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,85,80,98,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,77,NaN,NaN,NaN,82,91,69,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1
403125043,78,77,85,80,NaN,NaN,50,NaN,NaN,NaN,NaN,50,NaN,0,0,NaN,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125045,84,84,95,82,81,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,65,79,NaN,76,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,85,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,-1,-1
403125046,71,86,NaN,63,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,88,71,60,98,60,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,64,81,NaN,NaN,63,75,NaN,NaN,NaN,NaN,NaN,NaN,77,80,77,NaN,74,NaN,NaN,70,63,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
