id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251902@黑格爾@1@1,1251951@中國哲學概論@1@1,1252100@形上學@1@1,1252200@知識論@1@1,1252306@語言哲學@1@1,1252600@倫理學@1@1,1252701@政治哲學@1@1,1253925@柏克萊@1@1,1254303@知覺@1@1,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1252305@心靈哲學@2@1,1252500@科學哲學@2@1,1252610@應用倫理學@2@1,1252909@羅素@2@1,1252932@海德格@2@1,1253609@後設倫理學@2@1,1253709@全球正義理論@2@1,1254012@批判思考與論證@2@1,1254401@模態邏輯@2@1,1252517@科學推理@1@1,1252907@羅爾斯@1@1,1253919@洛克@1@1,1254406@悖論@1@1,1251903@休謨@2@1,1252306@語言哲學@2@1,1252603@理由論@2@1,1252801@法律哲學@2@1,1252906@亞里斯多德@2@1,1252927@蒯因@2@1,1253104@二十世紀初期分析哲學@2@1,1253500@科學哲學@2@1,1254611@德性倫理學@2@1,1252608@美學概論@1@1,1252914@佛列格哲學@1@1,1253609@後設倫理學@1@1,1253950@中國哲學概論@1@1,1254505@生物哲學：演化論的哲學問題@1@1,1254606@情感哲學@1@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1252608@美學概論@2@1,1252941@實踐理性：休謨與康德@2@1,1253514@科技與社會@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254304@知覺哲學@2@1,1254707@價值論@2@1,1251911@哲學史（一）@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1251407@基礎邏輯（下）@2@2,1252707@女性主義@2@1,1253618@道德推理@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252305@心靈哲學@1@1,1253618@道德推理@1@1,1254702@自由主義@1@1,1251904@馬克思@1@1,1252611@德性倫理學@1@1,1251912@哲學史（二）@2@1,1252600@倫理學@2@1,1252651@金融倫理學@2@1,1252701@政治哲學@2@1,1252929@霍布斯@2@1,1252958@宋明儒學@2@1,1253920@盧梭@2@1,1254501@科學哲學@2@1,1252801@法律哲學@1@1,1252906@亞里斯多德@1@1,1252910@笛卡爾@1@1,1252950@中國哲學概論@1@1,1252952@先秦儒家@1@1,1254335@數位哲學@1@1,1252959@魏晉玄學@2@1,1253002@宗教哲學@2@1,1253700@正義理論@2@1,1253918@奧古斯丁@2@1,1253919@洛克@2@1,1254603@演化與倫理@2@1,1251952@中國哲學概論@1@1,1252928@史賓諾沙@1@1,1253518@科學推理@1@1,1253706@權利與人權@1@1,1253956@明代心學@1@1,1254346@數位倫理學@1@1,1253916@柏拉圖對話錄@2@1,1254712@多元文化主義@2@1
497125021,60,81,NaN,81,80,76,99,75,80,NaN,88,NaN,67,82,94,88,94,75,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,98
497125037,80,90,NaN,87,71,78,82,66,80,77,NaN,NaN,89,88,81,84,89,NaN,NaN,90,NaN,85,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,92,88,30,NaN,NaN,NaN,NaN,77,90,NaN,NaN,NaN,81,95
497125043,67,73,NaN,NaN,75,68,65,70,65,NaN,NaN,NaN,70,78,77,68,79,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,81,88,80,50,76,NaN,NaN,67,69,NaN,NaN,82,84,83,76
497125044,73,86,NaN,80,81,86,98,82,85,NaN,NaN,NaN,74,79,80,77,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,89,NaN,86,93,NaN,NaN,NaN,NaN,NaN,NaN,87,95,NaN
497125045,94,88,NaN,79,85,93,93,82,81,NaN,87,NaN,95,94,86,76,86,NaN,83,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN
497125003,70,68,NaN,NaN,86,71,75,82,87,NaN,NaN,NaN,82,87,82,91,86,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,85,NaN,88,81,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,86,NaN
497125006,84,78,NaN,NaN,70,60,NaN,NaN,90,75,73,NaN,73,66,76,76,77,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,71,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,66,50,44,NaN,NaN,NaN,79,NaN,NaN,99,92,91,81
497125024,76,84,NaN,NaN,70,87,88,70,83,NaN,NaN,NaN,88,73,NaN,88,NaN,NaN,81,NaN,NaN,NaN,NaN,61,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,90,79,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,80,82,77,NaN
497125033,82,76,NaN,NaN,74,69,76,74,64,NaN,NaN,NaN,83,75,65,66,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,85,NaN,79,76,NaN,91,70,NaN,90,NaN,NaN,NaN,NaN,NaN,90,NaN
497125011,70,69,NaN,NaN,77,71,NaN,60,75,88,NaN,NaN,80,71,81,55,73,NaN,NaN,NaN,0,NaN,NaN,NaN,78,NaN,NaN,50,NaN,NaN,80,NaN,90,NaN,70,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,66,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,89,NaN
497125014,89,87,NaN,NaN,82,73,96,86,90,96,NaN,NaN,84,73,76,79,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,78,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,92,98,95,NaN
