id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252610@應用倫理學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1252100@形上學@1@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1252923@尼采@1@1,1253506@物理論@1@1,1253701@正義理論@1@1,1253923@彌爾@1@1,1253950@中國哲學概論@1@1,1254310@自我知識@1@1,1252306@語言哲學@2@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1252941@實踐理性：休謨與康德@2@1,1253500@科學哲學@2@1,1253514@科技與社會@2@1,1253926@柏克萊@2@1,1253930@早期維根斯坦與邏輯實證論@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254304@知覺哲學@2@1,1254618@腦神經倫理學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1251010@哲學寫作@2@5,1251407@基礎邏輯（下）@2@2,1252603@理由論@2@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253210@信念倫理@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1251012@哲學概論（二）@2@2,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1254503@生物哲學概論@2@1
402125041,88,85,80,76,NaN,NaN,87,NaN,87,75,NaN,68,NaN,-1,66,61,76,NaN,89,NaN,85,NaN,NaN,NaN,62,NaN,75,60,NaN,80,75,NaN,NaN,54,NaN,61,NaN,NaN,NaN,80,NaN,75,60,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402125042,72,74,NaN,85,NaN,NaN,77,NaN,81,61,90,77,NaN,NaN,80,60,82,NaN,73,NaN,NaN,NaN,50,NaN,81,NaN,NaN,NaN,80,78,NaN,87,NaN,74,81,93,NaN,NaN,80,NaN,NaN,NaN,91,NaN,85,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,89,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125044,70,83,80,80,NaN,NaN,NaN,67,81,63,NaN,73,NaN,-1,81,91,92,76,90,73,87,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,80,75,NaN,NaN,NaN,86,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402125045,95,98,90,88,NaN,NaN,NaN,86,86,84,NaN,88,NaN,-1,87,81,NaN,79,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,86,NaN,NaN,NaN,93,NaN,88,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,77,82,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1
402125046,82,82,NaN,90,NaN,NaN,NaN,88,88,81,90,88,NaN,-1,79,77,68,NaN,68,85,NaN,NaN,NaN,NaN,NaN,NaN,87,62,NaN,NaN,NaN,78,NaN,99,NaN,NaN,75,NaN,NaN,86,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,69,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402125047,81,70,90,75,87,NaN,NaN,NaN,80,77,NaN,72,NaN,NaN,88,91,NaN,77,84,91,NaN,NaN,NaN,NaN,85,NaN,86,NaN,NaN,80,78,80,NaN,80,NaN,NaN,77,82,NaN,93,NaN,88,NaN,86,NaN,88,NaN,NaN,NaN,NaN,NaN,86,89,87,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402125048,68,80,NaN,73,NaN,NaN,NaN,83,78,68,85,68,NaN,NaN,66,69,97,80,68,82,NaN,NaN,NaN,NaN,89,NaN,80,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
402125049,67,79,75,62,NaN,NaN,NaN,72,78,60,NaN,70,NaN,NaN,68,67,73,70,60,82,NaN,NaN,NaN,NaN,76,NaN,NaN,55,NaN,77,70,81,NaN,50,80,NaN,60,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,80,84,NaN,77,NaN,66,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1
402125050,76,85,NaN,82,NaN,88,NaN,NaN,82,87,95,80,NaN,NaN,69,80,99,73,86,NaN,NaN,NaN,NaN,NaN,75,NaN,86,NaN,NaN,75,NaN,NaN,NaN,NaN,90,NaN,68,NaN,NaN,NaN,NaN,83,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
402125051,70,91,90,90,NaN,NaN,78,NaN,85,96,NaN,91,NaN,NaN,96,95,NaN,NaN,97,NaN,85,NaN,NaN,NaN,96,NaN,99,86,NaN,87,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,90,95,NaN,NaN,NaN,NaN,85,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
