id,1405102@台灣文學專題研究@1@1,1405126@文化理論與應用@1@1,1405148@地方知識、深度報導與紀錄片製作（二）@1@1,1405162@日治時期文學專題@1@1,1405191@台語文學專題研究@1@1,1405223@文化、創意與部落產業專題@1@1,1406116@論文寫作（一）@1@1,1406131@語言研習（日文一）@1@1,1406135@語言研習（日文三）@1@1,1406156@中國文學史專題研究@1@1,1405127@臺灣文學英譯文獻閱讀@2@1,1405172@東亞漢詩文專題研究@2@1,1405216@臺灣與東亞現代性專題@2@1,1406117@論文寫作（二）@2@1,1406136@語言研習（日文四）@2@1,1406170@文字、影像與策展專題@2@1
604140001,93,87,NaN,90,NaN,NaN,90,NaN,88,NaN,NaN,NaN,-1,-1,-1,NaN
604140002,90,87,NaN,NaN,NaN,86,88,NaN,85,NaN,NaN,NaN,-1,-1,-1,NaN
604140004,90,72,NaN,NaN,NaN,80,88,NaN,88,NaN,NaN,NaN,NaN,-1,-1,-1
604140005,97,88,90,NaN,NaN,NaN,88,NaN,86,NaN,NaN,-1,NaN,-1,-1,NaN
604140008,90,87,NaN,NaN,NaN,83,88,NaN,82,NaN,NaN,NaN,-1,-1,-1,NaN
604140011,93,90,NaN,90,93,NaN,90,99,95,NaN,-1,NaN,NaN,-1,-1,-1
604140003,NaN,NaN,NaN,NaN,95,NaN,88,NaN,70,84,-1,NaN,NaN,-1,-1,-1
