id,2405007@近代幾何學導論（一）@1@1,2405315@代數曲線@1@1,2405401@代數通論（一）@1@1,2405008@近代幾何學導論（二）@2@1,2405101@複變分析（一）@2@1,2405320@代數曲線（二）@2@1,2405402@代數通論（二）@2@1,2408806@論文選讀@2@1,2405311@幾何拓樸導論@1@1,2405410@圖形學@1@1,2406457@模型式理論（一）@1@1,2406321@幾何分析專題（一）@2@1,2406458@模型式理論（二）@2@1,2406322@幾何分析專題（二）@2@1
601240001,88,87,NaN,85,NaN,81,NaN,87,NaN,NaN,95,NaN,95,NaN
601240005,75,NaN,70,80,87,NaN,78,95,NaN,NaN,NaN,NaN,NaN,NaN
601240008,75,71,70,75,NaN,78,0,87,80,NaN,89,80,72,85
601240009,85,NaN,99,87,87,NaN,99,87,NaN,NaN,85,86,NaN,84
601240003,88,NaN,85,NaN,87,NaN,90,95,83,91,86,NaN,72,NaN
