id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101033@程式設計實習（一）@1@2,4101155@線性代數@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102013@機率論@1@2,4100008@程式語言@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@2,4102068@計算方法概論@2@1,4102085@離散數學@2@1,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@2
404520090,78,60,60,61,77,79,78,NaN,-1,-1,-1,-1,-1,-1
404520072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
