id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102155@線性代數@1@2,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4100007@商用軟體應用與設計@1@1,4101155@線性代數@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103080@作業系統設計與實作@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104011@影像處理概論@2@1,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102161@電腦軟體設計@2@1,4104052@嵌入式系統軟體設計與實作@2@1,4104801@專題實驗（二）@2@1,4103061@數值分析@2@1,4102170@統計學@2@1
400410031,82,63,NaN,63,NaN,NaN,NaN,73,NaN,70,NaN,74,NaN,74,NaN,NaN,NaN,74,NaN,NaN,NaN,72,NaN,NaN,65,NaN,95,62,62,NaN,60,NaN,70,65,85,NaN,NaN,60,68,49,NaN,78,NaN,60,67,84,NaN,NaN,85,61,NaN,NaN,NaN,NaN,NaN,60,69,NaN,NaN,NaN,90,NaN,76,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
400410032,89,73,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,54,67,NaN,63,NaN,NaN,NaN,63,NaN,90,NaN,72,NaN,72,72,NaN,89,61,63,NaN,60,61,NaN,66,89,NaN,45,73,75,67,NaN,NaN,48,71,72,77,61,NaN,77,74,NaN,NaN,NaN,71,NaN,68,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410033,83,NaN,71,NaN,NaN,NaN,71,NaN,90,NaN,85,73,NaN,NaN,72,NaN,72,NaN,NaN,NaN,NaN,85,NaN,NaN,89,92,NaN,85,87,NaN,90,88,NaN,92,NaN,89,100,NaN,86,92,NaN,93,88,NaN,95,100,NaN,98,NaN,83,NaN,NaN,NaN,NaN,NaN,99,95,85,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410034,89,NaN,67,NaN,67,NaN,NaN,90,NaN,NaN,NaN,99,NaN,NaN,99,NaN,99,NaN,NaN,NaN,90,96,NaN,NaN,91,94,NaN,85,89,NaN,99,99,NaN,98,NaN,89,100,NaN,94,88,NaN,99,NaN,82,100,100,95,92,NaN,77,NaN,NaN,NaN,88,99,NaN,95,90,NaN,NaN,NaN,NaN,99,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410035,87,NaN,82,NaN,NaN,NaN,82,NaN,90,NaN,85,NaN,83,NaN,92,NaN,92,NaN,NaN,NaN,NaN,88,NaN,NaN,90,97,NaN,86,NaN,92,83,80,NaN,85,NaN,91,85,NaN,80,79,NaN,89,NaN,76,83,91,83,81,NaN,82,NaN,NaN,NaN,NaN,NaN,94,89,80,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410036,75,91,NaN,NaN,NaN,91,NaN,67,NaN,NaN,NaN,NaN,72,79,NaN,NaN,NaN,79,NaN,90,NaN,81,NaN,NaN,71,96,NaN,62,66,NaN,66,NaN,67,60,NaN,91,63,NaN,76,61,NaN,73,NaN,60,66,72,NaN,87,NaN,83,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410037,84,NaN,95,NaN,95,NaN,NaN,88,90,NaN,NaN,NaN,91,NaN,99,NaN,99,NaN,NaN,NaN,NaN,88,NaN,NaN,100,NaN,98,83,NaN,100,99,88,NaN,94,NaN,92,NaN,90,93,92,NaN,NaN,95,NaN,91,90,NaN,NaN,100,72,NaN,NaN,NaN,NaN,97,NaN,89,NaN,NaN,92,NaN,NaN,96,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
400410038,79,NaN,78,NaN,NaN,NaN,78,NaN,NaN,NaN,74,NaN,63,NaN,73,NaN,NaN,NaN,73,90,NaN,63,NaN,NaN,69,NaN,83,67,NaN,69,60,70,NaN,72,NaN,88,60,NaN,70,71,NaN,72,NaN,67,68,NaN,NaN,73,NaN,67,NaN,NaN,NaN,62,69,NaN,NaN,NaN,NaN,NaN,88,NaN,62,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
400410039,84,NaN,80,NaN,80,NaN,NaN,81,90,NaN,NaN,NaN,84,NaN,90,NaN,NaN,NaN,90,NaN,NaN,89,NaN,NaN,71,96,NaN,85,87,NaN,97,93,NaN,91,90,NaN,100,NaN,95,80,78,97,98,NaN,98,97,NaN,88,NaN,84,NaN,NaN,NaN,88,NaN,91,NaN,NaN,NaN,NaN,NaN,90,80,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410040,78,NaN,78,NaN,78,NaN,NaN,69,NaN,NaN,NaN,83,NaN,NaN,84,NaN,59,NaN,84,90,NaN,87,NaN,NaN,70,96,NaN,78,NaN,78,65,81,NaN,81,NaN,89,95,NaN,86,87,81,NaN,90,NaN,85,NaN,83,76,NaN,71,NaN,NaN,NaN,85,NaN,90,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
