id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102155@線性代數@1@2,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4100007@商用軟體應用與設計@1@1,4101155@線性代數@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103080@作業系統設計與實作@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104011@影像處理概論@2@1,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102161@電腦軟體設計@2@1,4104052@嵌入式系統軟體設計與實作@2@1,4104801@專題實驗（二）@2@1,4103061@數值分析@2@1,4102170@統計學@2@1
400410052,76,73,NaN,73,NaN,NaN,NaN,64,NaN,NaN,NaN,73,NaN,60,NaN,NaN,NaN,60,NaN,90,NaN,88,NaN,NaN,60,90,NaN,73,NaN,76,60,69,NaN,68,NaN,92,77,NaN,70,64,NaN,74,NaN,82,76,NaN,78,62,NaN,70,NaN,NaN,NaN,NaN,60,NaN,74,95,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410053,80,NaN,66,NaN,NaN,NaN,66,63,90,NaN,NaN,70,NaN,NaN,71,NaN,NaN,NaN,71,NaN,NaN,79,NaN,NaN,87,84,NaN,60,63,NaN,64,75,NaN,66,75,NaN,71,NaN,73,60,70,NaN,NaN,71,61,NaN,NaN,61,47,69,62,NaN,62,NaN,NaN,61,40,85,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410054,79,NaN,57,NaN,57,NaN,NaN,NaN,NaN,NaN,56,45,NaN,NaN,36,NaN,36,NaN,NaN,90,NaN,62,NaN,NaN,85,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410055,75,56,81,NaN,NaN,56,81,69,NaN,90,NaN,92,NaN,60,NaN,NaN,NaN,60,NaN,NaN,NaN,86,NaN,NaN,86,84,NaN,78,71,NaN,88,88,NaN,84,NaN,90,92,NaN,83,70,NaN,85,NaN,70,95,94,88,NaN,84,80,NaN,NaN,NaN,79,NaN,85,95,90,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410056,85,NaN,91,NaN,NaN,NaN,91,NaN,NaN,NaN,96,NaN,95,NaN,99,NaN,99,NaN,NaN,NaN,90,97,NaN,NaN,83,97,NaN,67,NaN,100,71,89,NaN,90,87,NaN,100,NaN,98,88,NaN,90,NaN,78,96,91,88,81,NaN,82,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,89,93,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410057,73,NaN,78,NaN,NaN,NaN,78,70,90,NaN,NaN,75,NaN,NaN,79,NaN,79,NaN,NaN,NaN,NaN,86,NaN,NaN,100,96,NaN,82,76,NaN,96,NaN,90,93,92,NaN,NaN,87,91,76,75,84,76,NaN,83,81,79,79,NaN,72,NaN,NaN,NaN,75,NaN,87,NaN,NaN,NaN,92,NaN,NaN,75,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
400410058,92,NaN,90,NaN,90,NaN,NaN,81,NaN,NaN,NaN,NaN,98,NaN,99,NaN,99,NaN,NaN,90,NaN,93,NaN,NaN,100,94,NaN,93,99,NaN,99,NaN,92,75,NaN,91,100,NaN,97,84,NaN,96,98,NaN,94,97,NaN,88,NaN,81,NaN,NaN,NaN,91,NaN,93,NaN,NaN,NaN,NaN,NaN,92,NaN,96,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410060,70,NaN,76,NaN,NaN,NaN,76,NaN,NaN,NaN,63,66,NaN,NaN,86,NaN,NaN,NaN,86,NaN,90,73,NaN,NaN,70,90,NaN,69,67,NaN,66,76,NaN,75,NaN,90,92,NaN,88,69,NaN,70,71,NaN,82,83,NaN,NaN,80,71,NaN,NaN,NaN,69,NaN,88,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN
400410062,86,NaN,64,NaN,64,NaN,NaN,74,NaN,NaN,NaN,84,NaN,NaN,63,NaN,NaN,NaN,63,90,NaN,85,NaN,NaN,92,95,NaN,79,69,NaN,87,74,NaN,76,89,NaN,68,NaN,63,83,84,NaN,NaN,60,91,NaN,77,84,NaN,71,NaN,NaN,NaN,78,NaN,92,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410063,88,NaN,73,NaN,73,NaN,NaN,78,NaN,90,NaN,90,NaN,NaN,93,NaN,93,NaN,NaN,NaN,NaN,92,NaN,NaN,92,92,NaN,89,85,NaN,91,NaN,97,88,91,NaN,96,NaN,92,88,97,87,NaN,75,95,92,NaN,91,NaN,77,NaN,NaN,NaN,81,93,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400410064,79,NaN,70,NaN,70,NaN,NaN,NaN,NaN,NaN,65,NaN,83,NaN,60,NaN,NaN,NaN,60,90,NaN,78,NaN,NaN,90,96,NaN,75,NaN,78,75,71,NaN,65,NaN,90,82,NaN,64,75,NaN,NaN,38,89,69,NaN,94,65,NaN,71,79,NaN,NaN,NaN,NaN,91,89,95,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410065,75,82,NaN,82,NaN,NaN,NaN,62,90,NaN,NaN,NaN,62,82,NaN,NaN,NaN,82,NaN,NaN,NaN,81,NaN,NaN,86,84,NaN,60,87,NaN,60,NaN,80,69,NaN,91,62,NaN,69,66,NaN,60,NaN,70,76,76,71,NaN,60,70,NaN,NaN,NaN,47,NaN,60,NaN,80,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
400410067,83,NaN,71,NaN,NaN,NaN,71,67,90,NaN,NaN,NaN,70,NaN,60,NaN,60,NaN,NaN,NaN,NaN,72,NaN,NaN,60,97,NaN,60,61,NaN,60,74,NaN,83,91,NaN,33,60,67,71,NaN,74,NaN,75,79,NaN,NaN,70,NaN,69,NaN,NaN,92,NaN,NaN,60,72,85,NaN,NaN,NaN,NaN,49,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410068,87,74,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,90,75,NaN,75,NaN,NaN,NaN,90,NaN,89,NaN,NaN,100,NaN,98,78,NaN,83,78,90,NaN,67,NaN,93,98,NaN,83,82,NaN,86,NaN,77,91,89,87,80,NaN,76,NaN,NaN,NaN,NaN,NaN,97,95,98,NaN,NaN,NaN,NaN,82,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410069,81,88,NaN,86,NaN,NaN,NaN,74,NaN,90,NaN,76,NaN,75,NaN,75,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,88,NaN,95,60,72,NaN,82,NaN,88,75,91,NaN,NaN,71,80,74,NaN,79,NaN,72,87,90,83,86,NaN,81,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410070,83,NaN,68,NaN,68,NaN,NaN,60,NaN,NaN,NaN,NaN,69,NaN,62,NaN,62,NaN,NaN,90,NaN,-1,NaN,NaN,68,NaN,96,68,73,NaN,62,67,NaN,66,NaN,80,NaN,80,78,61,NaN,NaN,NaN,63,NaN,65,NaN,NaN,60,76,NaN,NaN,-1,NaN,70,NaN,NaN,NaN,NaN,75,NaN,NaN,21,82,NaN,NaN,40,NaN,NaN,NaN,NaN,-1,-1,NaN
400410071,78,NaN,66,NaN,66,NaN,NaN,67,NaN,70,NaN,79,NaN,NaN,74,NaN,53,NaN,74,NaN,NaN,67,NaN,NaN,73,96,NaN,78,60,NaN,69,NaN,79,60,91,NaN,89,NaN,65,71,NaN,NaN,NaN,73,81,NaN,NaN,74,NaN,83,NaN,NaN,NaN,70,NaN,83,NaN,NaN,NaN,NaN,NaN,85,13,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410072,83,NaN,72,NaN,72,NaN,NaN,73,NaN,NaN,NaN,NaN,64,NaN,79,NaN,79,NaN,NaN,NaN,90,72,NaN,NaN,66,95,NaN,64,NaN,72,60,67,NaN,63,NaN,88,89,NaN,66,63,NaN,NaN,NaN,62,86,90,NaN,NaN,76,60,NaN,NaN,NaN,69,NaN,80,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410074,83,76,NaN,76,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,78,85,NaN,85,NaN,NaN,NaN,NaN,90,86,NaN,NaN,65,96,NaN,81,NaN,76,82,78,NaN,89,NaN,92,89,NaN,86,82,NaN,79,NaN,84,94,96,93,91,NaN,76,NaN,NaN,NaN,NaN,NaN,97,95,98,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410075,74,71,NaN,71,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,72,60,NaN,60,NaN,NaN,NaN,NaN,NaN,75,NaN,62,70,95,NaN,60,35,64,71,NaN,72,68,NaN,76,74,NaN,66,77,66,79,NaN,72,73,NaN,NaN,77,NaN,60,66,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410077,81,NaN,70,NaN,70,NaN,NaN,70,NaN,70,NaN,70,NaN,NaN,64,NaN,NaN,NaN,64,NaN,NaN,76,60,NaN,63,84,NaN,70,60,NaN,60,65,NaN,84,NaN,60,64,NaN,63,66,70,NaN,NaN,66,60,NaN,6,60,20,68,NaN,NaN,NaN,NaN,66,NaN,NaN,85,NaN,NaN,NaN,NaN,29,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN
400410078,83,NaN,64,NaN,NaN,NaN,64,NaN,NaN,NaN,85,79,NaN,NaN,79,NaN,NaN,NaN,79,NaN,90,76,NaN,NaN,60,NaN,95,65,NaN,86,65,67,NaN,62,NaN,90,60,NaN,73,65,NaN,NaN,NaN,79,67,67,NaN,NaN,69,79,NaN,NaN,NaN,61,NaN,68,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410079,82,NaN,87,NaN,87,NaN,NaN,72,NaN,70,NaN,NaN,96,NaN,99,NaN,NaN,NaN,99,NaN,NaN,84,NaN,NaN,79,NaN,97,82,NaN,92,83,77,NaN,81,86,NaN,77,NaN,92,82,NaN,89,NaN,68,82,80,NaN,NaN,88,69,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400410080,77,NaN,90,NaN,NaN,NaN,90,77,NaN,NaN,NaN,90,NaN,NaN,99,NaN,NaN,NaN,99,NaN,90,88,NaN,NaN,96,NaN,92,78,88,NaN,69,NaN,91,89,NaN,90,NaN,95,93,90,95,90,NaN,86,96,95,NaN,91,NaN,81,NaN,NaN,NaN,86,NaN,92,NaN,NaN,NaN,NaN,85,NaN,82,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
400410081,88,NaN,62,NaN,62,NaN,NaN,71,60,NaN,NaN,81,NaN,NaN,67,NaN,67,NaN,NaN,NaN,NaN,81,NaN,NaN,71,NaN,98,66,64,NaN,63,NaN,78,62,72,NaN,75,NaN,66,72,NaN,NaN,76,NaN,80,NaN,NaN,78,NaN,76,65,NaN,NaN,NaN,NaN,72,76,80,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410082,88,84,NaN,84,NaN,54,NaN,60,NaN,NaN,NaN,NaN,75,60,NaN,NaN,NaN,60,NaN,90,NaN,77,NaN,NaN,65,97,NaN,76,NaN,71,60,62,NaN,69,NaN,90,70,NaN,78,71,NaN,NaN,NaN,70,73,90,78,65,NaN,78,NaN,NaN,NaN,NaN,NaN,81,60,95,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410084,81,NaN,81,NaN,53,NaN,81,32,NaN,NaN,NaN,69,NaN,NaN,82,NaN,21,NaN,82,NaN,90,60,NaN,63,88,96,NaN,71,65,NaN,61,NaN,65,78,88,NaN,NaN,71,79,70,NaN,26,60,NaN,70,NaN,NaN,36,82,62,NaN,NaN,NaN,60,NaN,65,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410086,87,NaN,71,NaN,NaN,NaN,71,72,NaN,NaN,NaN,NaN,70,NaN,81,NaN,57,NaN,81,NaN,90,69,NaN,NaN,64,97,NaN,66,63,NaN,76,NaN,66,64,NaN,89,26,79,66,74,NaN,NaN,NaN,81,68,NaN,73,NaN,75,60,NaN,NaN,NaN,74,NaN,79,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410087,82,NaN,79,NaN,NaN,NaN,79,NaN,NaN,90,72,75,NaN,NaN,99,NaN,NaN,NaN,99,NaN,NaN,77,NaN,NaN,93,92,NaN,60,NaN,97,83,81,NaN,66,39,80,92,NaN,90,68,53,68,NaN,62,NaN,85,73,68,NaN,81,NaN,55,NaN,75,NaN,73,NaN,NaN,NaN,NaN,NaN,90,70,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410089,75,84,NaN,84,NaN,NaN,NaN,NaN,90,NaN,67,57,76,97,NaN,97,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,85,95,NaN,77,NaN,85,71,74,NaN,60,88,NaN,84,NaN,92,80,37,NaN,NaN,76,84,70,85,73,NaN,80,NaN,NaN,NaN,61,NaN,78,NaN,NaN,92,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
400410090,89,NaN,81,NaN,NaN,NaN,81,84,NaN,NaN,NaN,83,NaN,NaN,84,NaN,84,NaN,NaN,NaN,90,86,NaN,NaN,88,95,NaN,83,NaN,89,95,83,NaN,72,NaN,90,92,NaN,75,88,NaN,91,NaN,83,93,88,NaN,NaN,93,80,NaN,NaN,NaN,84,NaN,95,NaN,NaN,NaN,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,95,NaN,85,NaN,NaN,NaN
400410092,85,NaN,73,NaN,NaN,NaN,73,64,NaN,NaN,NaN,72,NaN,NaN,95,NaN,59,NaN,95,90,NaN,81,NaN,NaN,100,97,NaN,67,NaN,72,70,82,NaN,86,NaN,90,98,NaN,77,88,NaN,94,86,NaN,87,96,NaN,NaN,90,80,NaN,NaN,NaN,87,93,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
400410093,86,NaN,73,NaN,NaN,NaN,73,NaN,NaN,90,95,79,NaN,NaN,94,NaN,NaN,NaN,94,NaN,NaN,86,NaN,NaN,100,NaN,95,71,NaN,80,96,90,NaN,77,NaN,89,NaN,73,95,89,86,NaN,NaN,72,87,87,NaN,NaN,90,63,NaN,NaN,NaN,88,NaN,91,NaN,NaN,NaN,NaN,85,NaN,77,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400410094,90,74,NaN,NaN,NaN,74,NaN,80,NaN,NaN,NaN,87,NaN,83,NaN,NaN,NaN,83,NaN,NaN,90,93,NaN,NaN,94,84,NaN,87,NaN,90,99,85,NaN,78,NaN,90,97,NaN,96,86,NaN,NaN,NaN,87,88,96,80,NaN,93,80,NaN,NaN,NaN,86,NaN,94,NaN,NaN,NaN,92,NaN,NaN,83,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN
400410095,92,NaN,91,NaN,91,NaN,NaN,NaN,90,NaN,70,75,NaN,NaN,99,NaN,99,NaN,NaN,NaN,NaN,85,NaN,NaN,89,97,NaN,94,NaN,84,97,82,NaN,93,90,NaN,87,NaN,91,90,NaN,NaN,NaN,77,91,94,87,NaN,96,74,NaN,NaN,NaN,81,NaN,99,83,98,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410096,80,NaN,71,NaN,71,NaN,NaN,68,NaN,NaN,NaN,NaN,75,NaN,81,NaN,52,NaN,81,90,NaN,72,NaN,NaN,88,96,NaN,68,77,NaN,81,NaN,77,68,88,NaN,66,NaN,78,77,NaN,NaN,69,NaN,82,85,NaN,74,NaN,78,61,NaN,NaN,85,NaN,84,NaN,NaN,NaN,NaN,90,NaN,70,NaN,NaN,NaN,NaN,NaN,95,99,NaN,NaN,NaN,NaN
400410097,91,99,NaN,99,NaN,NaN,NaN,69,90,NaN,NaN,81,NaN,79,NaN,79,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,93,NaN,98,91,89,NaN,99,93,NaN,97,NaN,89,100,NaN,94,85,NaN,96,NaN,92,99,98,NaN,98,NaN,87,NaN,NaN,NaN,NaN,NaN,98,95,85,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410098,75,NaN,73,NaN,NaN,NaN,73,45,NaN,NaN,NaN,28,74,NaN,64,NaN,NaN,NaN,64,90,NaN,60,NaN,64,73,NaN,97,60,NaN,74,60,67,NaN,60,NaN,82,8,70,63,70,68,NaN,NaN,67,60,NaN,NaN,NaN,65,69,NaN,NaN,NaN,66,NaN,71,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410085,72,43,70,43,NaN,NaN,70,NaN,NaN,90,NaN,42,72,60,20,60,NaN,38,20,NaN,NaN,63,NaN,63,65,NaN,98,66,43,53,61,71,NaN,69,85,NaN,NaN,73,35,74,NaN,NaN,NaN,75,NaN,NaN,65,73,36,82,73,NaN,NaN,NaN,NaN,67,41,85,NaN,NaN,NaN,NaN,34,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410100,77,NaN,NaN,63,NaN,NaN,NaN,71,83,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,80,97,NaN,80,NaN,90,84,73,NaN,81,NaN,99,77,NaN,99,NaN,76,80,84,NaN,NaN,74,67,NaN,98,NaN,NaN,NaN,84,24,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400410101,NaN,83,NaN,83,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,64,79,NaN,NaN,NaN,79,NaN,78,NaN,69,NaN,NaN,64,NaN,97,60,75,NaN,60,NaN,74,68,42,82,NaN,80,77,73,86,NaN,NaN,69,74,NaN,75,71,NaN,73,NaN,NaN,70,15,74,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,74,82,NaN,NaN,NaN,82,NaN,NaN,NaN,75,NaN,NaN,100,NaN,97,95,NaN,70,62,NaN,72,72,91,NaN,69,NaN,76,79,96,86,NaN,74,77,93,NaN,NaN,74,66,NaN,NaN,NaN,63,NaN,78,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,81,NaN,NaN,NaN
400410105,82,NaN,NaN,82,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,62,87,NaN,83,NaN,NaN,77,NaN,NaN,NaN,67,82,NaN,NaN,62,60,NaN,NaN,NaN,NaN,NaN,70,68,NaN,NaN,81,34,77,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,75,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410104,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,74,NaN,87,NaN,87,NaN,NaN,NaN,NaN,73,NaN,NaN,73,NaN,88,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,89,19,64,NaN,60,NaN,73,NaN,63,NaN,NaN,NaN,75,74,NaN,NaN,NaN,60,NaN,66,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
