id,4255011@專題討論（一）@1@1,4255211@膠體與界面現象@1@1,4255245@超臨界流體操作概論@1@1,4255400@高等化工熱力學@1@1,4255531@高分子材料合成@1@1,4255560@反應工程與反應器設計@1@1,4255580@生化工程@1@1,4255725@代謝工程學@1@1,4255742@生物工程特論@1@1,4255743@生物高分子@1@1,4255760@蛋白體學原理與應用@1@1,4255802@材料鑑識@1@1,4255926@半導體製程技術@1@1,4255930@精密陶瓷製造@1@1,4257730@軟質材料@1@1,4257740@材料分析@1@1,4257750@化工單元操作應用實務@1@1,4257760@光散射之複雜流體分析@1@1,4255022@專題討論（二）@2@1,4255050@碩士論文（一）@2@1,4255210@高等輸送現象@2@1,4255250@粉粒體技術@2@1,4255251@奈米製造技術@2@1,4255330@非線性動態學@2@1,4255530@陰離子高分子聚合反應@2@1,4255570@工業觸媒@2@1,4255572@精密材料合成@2@1,4255723@電腦在生化系統之應用@2@1,4255740@生物技術@2@1,4255745@生物醫學特論@2@1,4255804@材料鑑識特論@2@1,4255924@電子構裝@2@1,4255932@分子螢光學之原理與應用@2@1,4257761@軟物質材料之多尺度模擬法@2@1,4255031@專題討論（三）@1@1,4255062@碩士論文（二）@1@1,4255510@高分子原理及反應工程@1@1,4255541@高分子流變學@1@1,4255803@材料相平衡@1@1,4255041@專題討論（四）@2@1,4255070@碩士論文（三）@2@1,4255130@化工程序最適化@2@1,4255542@高分子動態學@2@1,4255800@無機材料光譜分析@2@1
603425018,84,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,80,84,NaN,84,88,91,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,94,85,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN
603425022,90,NaN,NaN,NaN,98,95,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,90,NaN,90,88,82,NaN,99,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,88,NaN,NaN,NaN,94,88,NaN,NaN,NaN
603425023,84,88,NaN,NaN,NaN,83,70,NaN,87,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,88,92,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,78,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425024,84,NaN,NaN,NaN,83,82,NaN,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,87,NaN,84,88,74,NaN,86,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,88,89,NaN,NaN,NaN
603425025,84,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,80,89,88,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,86,88,88,NaN,87,NaN,88,90,NaN,80,NaN
603425026,84,NaN,88,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,91,NaN,85,NaN,92,88,94,86,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,88,NaN,NaN,NaN,95,87,NaN,NaN,NaN
603425028,84,NaN,NaN,NaN,91,84,NaN,NaN,NaN,NaN,NaN,NaN,92,88,NaN,NaN,NaN,NaN,84,88,93,NaN,98,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425029,89,NaN,NaN,NaN,91,82,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,86,NaN,89,90,81,NaN,99,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,90,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425030,84,NaN,NaN,NaN,87,87,76,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,89,77,NaN,NaN,NaN,NaN,NaN,86,89,NaN,81,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425033,90,NaN,NaN,70,84,84,70,88,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,89,88,63,NaN,NaN,NaN,NaN,NaN,85,87,NaN,72,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,93,88,88,NaN,NaN
603425034,84,NaN,NaN,NaN,99,92,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,84,87,92,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,93,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425035,84,NaN,NaN,NaN,95,92,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,84,87,93,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425036,84,NaN,NaN,NaN,95,95,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,87,NaN,84,88,80,NaN,80,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,93,NaN,NaN,88,88,NaN,NaN,NaN
603425037,84,NaN,NaN,82,78,83,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,78,NaN,82,NaN,84,87,62,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,76,NaN,94,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425038,80,NaN,NaN,82,76,84,NaN,NaN,NaN,NaN,NaN,NaN,89,88,NaN,NaN,90,NaN,84,88,65,NaN,80,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,86,NaN,NaN,NaN,84,75,NaN,NaN,NaN
603425039,89,NaN,NaN,NaN,88,93,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,84,NaN,84,89,78,NaN,NaN,NaN,90,90,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,88,90,NaN,NaN,NaN
603425040,84,NaN,NaN,NaN,91,93,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,87,NaN,84,88,83,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,88,88,NaN,NaN,NaN,88,88,NaN,NaN,87
603425041,89,NaN,NaN,NaN,81,79,NaN,NaN,NaN,NaN,87,NaN,90,NaN,NaN,NaN,84,NaN,89,88,70,NaN,84,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,88,87,NaN,NaN,NaN,94,87,NaN,NaN,NaN
603425042,84,NaN,86,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,70,84,88,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,93,82,NaN,79,NaN,88,82,NaN,70,NaN
603425043,84,84,NaN,NaN,NaN,83,50,NaN,85,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,87,86,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,70,92,NaN,NaN,NaN,88,90,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425044,84,NaN,NaN,NaN,83,86,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,83,NaN,83,NaN,84,87,70,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,78,NaN,88,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425045,84,NaN,NaN,75,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,70,78,NaN,84,88,80,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,88,88,NaN,NaN,65,88,88,NaN,NaN,NaN
603425046,84,NaN,NaN,NaN,77,82,NaN,NaN,NaN,NaN,84,93,NaN,NaN,NaN,NaN,84,NaN,84,88,70,NaN,80,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,88,89,NaN,NaN,NaN,88,89,NaN,NaN,NaN
603425049,91,NaN,88,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,77,NaN,85,NaN,91,89,76,86,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,90,NaN,NaN,NaN,96,88,NaN,NaN,NaN
603425050,84,NaN,NaN,NaN,88,82,NaN,NaN,NaN,86,93,NaN,NaN,NaN,88,NaN,NaN,NaN,84,88,80,NaN,NaN,NaN,NaN,NaN,84,NaN,89,NaN,NaN,NaN,NaN,NaN,83,86,NaN,NaN,NaN,88,87,NaN,NaN,NaN
603425051,84,NaN,85,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,72,NaN,83,NaN,84,88,95,84,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,85,NaN,NaN,NaN,88,90,NaN,NaN,NaN
603425052,84,NaN,NaN,NaN,83,96,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,86,NaN,84,88,79,NaN,NaN,NaN,85,90,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425053,84,NaN,NaN,NaN,85,86,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,93,NaN,83,NaN,84,87,77,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,81,NaN,88,88,NaN,NaN,NaN,88,88,NaN,NaN,NaN
603425054,89,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,81,83,NaN,84,88,79,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,88,88,NaN,NaN,84,88,88,NaN,NaN,NaN
603425055,97,NaN,NaN,90,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603425057,89,NaN,85,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,70,NaN,82,NaN,84,86,70,87,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,85,NaN,72,NaN,93,85,NaN,70,NaN
603425058,84,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,80,89,88,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,84,88,88,NaN,88,NaN,88,86,NaN,80,NaN
