id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251902@黑格爾@1@1,1251911@哲學史（一）@1@1,1251951@中國哲學概論@1@1,1252100@形上學@1@1,1252200@知識論@1@1,1252306@語言哲學@1@1,1252600@倫理學@1@1,1252701@政治哲學@1@1,1254303@知覺@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252500@科學哲學@2@1,1252610@應用倫理學@2@1,1252909@羅素@2@1,1252932@海德格@2@1,1253709@全球正義理論@2@1,1254401@模態邏輯@2@1,1252517@科學推理@1@1,1252907@羅爾斯@1@1,1253919@洛克@1@1,1254406@悖論@1@1,1251903@休謨@2@1,1252305@心靈哲學@2@1,1252306@語言哲學@2@1,1252603@理由論@2@1,1252801@法律哲學@2@1,1252906@亞里斯多德@2@1,1252927@蒯因@2@1,1253104@二十世紀初期分析哲學@2@1,1253500@科學哲學@2@1,1254611@德性倫理學@2@1,1252305@心靈哲學@1@1,1252608@美學概論@1@1,1252914@佛列格哲學@1@1,1253609@後設倫理學@1@1,1253922@笛卡爾@1@1,1253950@中國哲學概論@1@1,1254505@生物哲學：演化論的哲學問題@1@1,1254606@情感哲學@1@1,1251205@批判思考與論證@2@1,1252928@史賓諾沙@2@1,1253705@權利與義務@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254304@知覺哲學@2@1,1254408@條件句@2@1,1254602@演化倫理學@2@1,1252610@應用倫理學@1@1,1252923@尼采@1@1,1253203@懷疑論@1@1,1253506@物理論@1@1,1253701@正義理論@1@1,1253923@彌爾@1@1,1254306@概念論@1@1,1254310@自我知識@1@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1252941@實踐理性：休謨與康德@2@1,1253514@科技與社會@2@1,1253926@柏克萊@2@1,1253930@早期維根斯坦與邏輯實證論@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254618@腦神經倫理學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1252922@康德@1@1,1253610@道德心理學@1@1,1253937@存在主義@1@1,1251407@基礎邏輯（下）@2@2,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1253509@古代自然哲學與科學史@1@1,1254702@自由主義@1@1
400125043,80,82,83,NaN,76,NaN,83,87,NaN,64,NaN,NaN,NaN,NaN,86,NaN,NaN,91,89,NaN,86,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,77,60,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,72,76,74,85
400125044,69,79,NaN,NaN,69,NaN,83,60,NaN,83,86,NaN,NaN,NaN,82,NaN,NaN,67,64,85,79,NaN,77,NaN,66,NaN,NaN,68,NaN,NaN,NaN,NaN,74,85,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,81,NaN,86,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125045,89,76,78,NaN,87,94,69,71,NaN,75,88,NaN,90,NaN,NaN,NaN,NaN,73,63,NaN,87,64,NaN,NaN,NaN,NaN,NaN,NaN,90,80,NaN,NaN,75,NaN,NaN,NaN,85,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,86,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125046,72,85,NaN,NaN,79,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,78,91,85,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125047,88,90,90,NaN,88,90,74,61,NaN,79,80,NaN,NaN,88,NaN,NaN,NaN,75,81,NaN,77,71,72,62,61,NaN,NaN,NaN,NaN,NaN,60,NaN,66,60,NaN,NaN,73,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,66,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125048,77,76,NaN,NaN,75,74,75,63,NaN,72,80,NaN,NaN,NaN,82,NaN,NaN,89,79,85,65,68,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,75,NaN,65,NaN,NaN,NaN,81,65,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125049,81,77,79,NaN,71,94,85,68,NaN,91,91,NaN,NaN,NaN,NaN,89,NaN,74,82,NaN,83,NaN,86,64,85,NaN,NaN,75,NaN,NaN,NaN,NaN,78,88,NaN,NaN,83,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125050,85,76,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125051,75,83,83,NaN,79,71,84,69,NaN,86,89,NaN,NaN,NaN,82,NaN,NaN,81,85,NaN,81,69,74,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,80,90,NaN,NaN,75,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,0,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125052,89,NaN,NaN,NaN,80,94,NaN,NaN,NaN,83,NaN,NaN,89,NaN,NaN,NaN,NaN,87,NaN,85,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125054,72,89,NaN,NaN,87,88,94,82,NaN,96,NaN,NaN,NaN,NaN,NaN,81,NaN,80,91,85,97,NaN,93,NaN,NaN,NaN,NaN,90,85,NaN,NaN,NaN,87,NaN,NaN,NaN,92,90,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,87,NaN,97,NaN,NaN,87,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125021,77,69,86,NaN,71,NaN,64,61,NaN,68,72,NaN,NaN,NaN,NaN,76,NaN,70,73,NaN,73,72,NaN,NaN,70,NaN,NaN,42,NaN,NaN,80,NaN,70,NaN,NaN,NaN,80,60,NaN,NaN,60,NaN,70,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125024,NaN,79,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125034,83,81,NaN,NaN,71,NaN,71,62,NaN,77,NaN,NaN,NaN,NaN,83,NaN,NaN,94,74,85,77,68,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,85,NaN,NaN,NaN,60,NaN,85,74,NaN,80,69,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,76,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125028,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
