id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252100@形上學@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252305@心靈哲學@2@1,1252306@語言哲學@2@1,1252603@理由論@2@1,1252610@應用倫理學@2@1,1252801@法律哲學@2@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252608@美學概論@1@1,1252701@政治哲學@1@1,1252914@佛列格哲學@1@1,1253950@中國哲學概論@1@1,1254505@生物哲學：演化論的哲學問題@1@1,1251205@批判思考與論證@2@1,1252500@科學哲學@2@1,1252928@史賓諾沙@2@1,1253705@權利與義務@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254304@知覺哲學@2@1,1254408@條件句@2@1,1254602@演化倫理學@2@1,1252610@應用倫理學@1@1,1252923@尼采@1@1,1253203@懷疑論@1@1,1253506@物理論@1@1,1253701@正義理論@1@1,1253923@彌爾@1@1,1254306@概念論@1@1,1254310@自我知識@1@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1252941@實踐理性：休謨與康德@2@1,1253500@科學哲學@2@1,1253514@科技與社會@2@1,1253926@柏克萊@2@1,1253930@早期維根斯坦與邏輯實證論@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254618@腦神經倫理學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253509@古代自然哲學與科學史@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1252100@形上學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1254503@生物哲學概論@2@1
401125021,87,97,85,95,93,NaN,NaN,94,NaN,92,87,NaN,91,90,90,NaN,92,NaN,85,NaN,76,78,NaN,NaN,75,NaN,NaN,83,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,86,96,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125022,78,90,NaN,87,85,NaN,NaN,NaN,80,77,83,85,78,NaN,NaN,NaN,86,NaN,73,71,65,77,NaN,NaN,70,75,NaN,NaN,62,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,90,NaN,NaN,85,NaN,NaN,64,NaN,86,NaN,NaN,78,NaN,NaN,81,90,NaN,NaN,50,NaN,NaN,82,NaN,NaN,NaN,91,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125023,91,72,85,90,96,NaN,88,NaN,NaN,93,81,NaN,86,NaN,NaN,NaN,97,NaN,84,85,NaN,95,89,NaN,94,93,NaN,NaN,71,77,NaN,NaN,92,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,94,91,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125025,62,72,85,66,NaN,60,NaN,NaN,NaN,60,60,NaN,50,NaN,NaN,NaN,NaN,NaN,25,50,NaN,23,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125026,80,68,NaN,69,63,87,NaN,NaN,NaN,89,70,85,75,NaN,NaN,NaN,69,NaN,70,65,NaN,66,69,NaN,85,66,42,NaN,71,NaN,NaN,48,NaN,NaN,60,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,NaN,NaN,67,NaN,NaN,NaN,NaN,78,NaN,75,NaN,NaN,NaN,75,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125027,85,72,85,71,80,80,NaN,NaN,NaN,80,72,NaN,60,NaN,60,70,NaN,NaN,60,82,77,65,NaN,NaN,85,74,NaN,NaN,56,NaN,NaN,NaN,85,NaN,62,79,NaN,46,NaN,NaN,NaN,25,75,48,NaN,78,NaN,74,61,35,80,NaN,80,NaN,NaN,75,NaN,NaN,77,NaN,NaN,71,NaN,85,NaN,60,64,NaN,NaN,NaN,79,NaN,NaN,75,NaN,NaN,NaN,-1,-1,NaN,-1
401125028,84,62,NaN,68,80,NaN,85,NaN,NaN,74,67,85,63,NaN,NaN,NaN,87,NaN,61,62,NaN,66,54,84,NaN,NaN,NaN,NaN,61,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,78,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,75,78,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
401125030,97,100,NaN,87,86,NaN,88,NaN,NaN,92,99,85,88,NaN,NaN,NaN,NaN,NaN,77,75,NaN,77,NaN,81,NaN,NaN,NaN,71,74,NaN,NaN,78,NaN,NaN,NaN,NaN,94,NaN,NaN,87,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,80,86,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125031,96,100,85,91,NaN,NaN,NaN,NaN,90,94,94,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125032,80,82,NaN,74,69,NaN,NaN,87,NaN,78,60,90,75,NaN,75,NaN,77,NaN,68,61,0,82,73,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,40,75,NaN,NaN,NaN,48,NaN,NaN,73,NaN,NaN,70,72,80,66,NaN,NaN,72,76,60,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125033,87,60,85,82,70,NaN,NaN,NaN,90,74,65,NaN,72,NaN,73,NaN,NaN,NaN,80,74,63,65,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,50,50,NaN,40,60,NaN,NaN,NaN,50,NaN,NaN,85,62,NaN,NaN,NaN,66,NaN,NaN,70,NaN,NaN,NaN,31,NaN,84,NaN,85,50,NaN,NaN,-1,NaN,NaN,-1,-1
401125034,70,60,NaN,67,NaN,83,NaN,NaN,NaN,90,73,85,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125035,88,99,85,72,76,NaN,NaN,NaN,90,80,100,NaN,74,NaN,NaN,NaN,86,NaN,91,95,NaN,76,NaN,NaN,82,82,68,NaN,66,72,NaN,NaN,89,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,84,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125037,90,85,85,71,87,NaN,NaN,NaN,90,81,76,NaN,70,NaN,NaN,NaN,94,NaN,60,78,65,72,NaN,NaN,NaN,82,NaN,NaN,54,NaN,NaN,75,NaN,NaN,80,NaN,80,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,80,NaN,NaN,NaN,NaN,87,NaN,NaN,76,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125038,87,71,NaN,79,88,NaN,NaN,63,NaN,97,62,80,67,NaN,NaN,NaN,70,NaN,69,80,NaN,81,NaN,NaN,60,84,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,50,NaN,60,NaN,79,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
401125039,82,80,85,76,80,NaN,NaN,NaN,90,78,71,NaN,-1,NaN,NaN,50,NaN,NaN,66,65,NaN,22,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,50,NaN,NaN,NaN,0,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125040,95,100,NaN,96,92,NaN,88,NaN,NaN,92,97,85,96,85,93,NaN,NaN,NaN,94,NaN,73,97,NaN,96,95,NaN,NaN,NaN,NaN,82,94,85,NaN,NaN,NaN,NaN,NaN,NaN,93,98,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125041,80,86,85,90,81,90,NaN,NaN,NaN,93,78,NaN,92,NaN,80,NaN,82,NaN,76,90,79,85,NaN,NaN,NaN,93,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,83,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
