id,5301105@計算機概論@1@1,5301216@程式設計@1@1,5301888@學系服務學習@1@1,5301214@物件導向技術（一）－JAVA@2@1,5301217@資訊管理導論@2@1,5301888@學系服務學習@2@1,5303225@健康保險@2@1,5302203@資料結構@1@1,5302214@網頁程式設計@1@1,5302218@科技法律@1@1,5303230@網路社群分析與管理@1@1,5302117@XML 與網際網路服務@2@1,5302202@資料庫管理@2@1,5302205@企業資料通訊與網路@2@1,5303101@管理科學概論@1@1,5303102@系統分析與設計@1@1,5303210@資訊安全@1@1,5303224@醫務管理@1@1,5303227@電子商務@1@1,5303229@專案開發（一）@1@1,5303232@財務管理@1@1,5303233@專案開發(二)@1@1,5303111@網路行銷@2@1,5303213@會計資訊系統@2@1,5303222@多媒體系統@2@1,5303229@專案開發（一）@2@1,5303233@專案開發(二)@2@1,5304214@顧客關係管理@2@1,5302221@醫療資訊管理概論@1@1,5303228@作業系統@1@1,5304218@管理資訊系統@1@1,5304220@資訊管理個案研究@1@1,5303216@人工智慧與專家系統@2@1,5304219@策略資訊管理@2@1,5304222@資料探勘與應用@2@1
402530046,94,72,NaN,73,79,92,NaN,80,76,82,88,NaN,83,79,92,83,81,NaN,86,NaN,NaN,96,NaN,90,NaN,88,NaN,90,NaN,90,90,NaN,NaN,NaN,-1
402530047,69,67,90,78,68,NaN,NaN,61,63,83,NaN,NaN,73,60,88,63,NaN,NaN,70,NaN,81,95,87,80,61,88,NaN,-1,90,66,85,NaN,NaN,-1,-1
402530048,80,92,NaN,61,81,94,NaN,78,73,88,NaN,81,79,90,NaN,80,69,98,80,NaN,NaN,90,88,93,NaN,90,NaN,NaN,NaN,84,90,NaN,NaN,NaN,NaN
402530049,68,16,94,6,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530050,71,62,NaN,65,81,92,NaN,64,66,60,88,NaN,63,73,92,70,71,96,80,NaN,NaN,93,90,74,NaN,-1,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN
402530051,61,68,23,64,79,70,NaN,71,62,81,NaN,NaN,64,65,88,60,60,73,66,NaN,79,90,-1,-1,72,90,NaN,NaN,NaN,NaN,91,NaN,-1,NaN,NaN
402530043,NaN,NaN,94,84,84,NaN,94,72,60,75,87,47,67,68,90,65,60,86,76,NaN,83,93,84,82,NaN,-1,NaN,NaN,NaN,77,82,NaN,-1,NaN,NaN
402530052,81,74,76,77,78,NaN,NaN,NaN,NaN,93,78,NaN,80,NaN,81,65,NaN,NaN,NaN,NaN,NaN,NaN,88,82,68,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN
402530053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,66,70,12,9,35,15,NaN,0,0,0,11,NaN,0,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530056,NaN,NaN,70,66,76,NaN,NaN,67,61,72,93,NaN,75,-1,90,69,71,97,77,NaN,NaN,71,NaN,80,NaN,-1,NaN,NaN,77,NaN,82,NaN,NaN,-1,NaN
402530054,NaN,NaN,70,NaN,63,NaN,NaN,NaN,NaN,70,88,42,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,-1
402530058,65,66,75,80,-1,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,73,70,68,NaN,NaN,NaN,NaN,NaN,NaN,87,77,62,NaN,NaN,NaN,90,NaN,82,NaN,NaN,NaN,NaN
402530057,NaN,58,70,61,-1,NaN,NaN,78,NaN,64,NaN,NaN,-1,60,60,72,NaN,NaN,NaN,85,NaN,NaN,91,78,55,NaN,-1,NaN,90,75,NaN,NaN,-1,NaN,NaN
402530059,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,50,12,NaN,39,NaN,0,NaN,0,0,NaN,NaN,NaN,91,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
