id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151512@生理學實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3151888@學系服務學習@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153003@心理測驗學理論@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3153302@青少年發展@2@1,3153311@情緒心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3152508@生理學(一)@1@1,3153104@設計心理學@1@1,3153261@語言心理學@1@1,3153704@人類關係導論@1@1,3153965@諮商理論@1@1,3154918@領導心理學@1@1,3153103@認知心理學專題研究@2@1,3153104@設計心理學@2@1,3153312@兒童發展：推理與決策專題@2@1,3153751@組織行為學@2@1,3153966@諮商技術@2@1,3154903@心理學史@2@1
403315046,79,65,70,80,NaN,NaN,70,95,69,60,NaN,85,83,62,90,83,75,71,85,82,74,85,NaN,80,88,NaN,98,NaN,63,NaN,NaN,NaN,80,72,NaN,NaN,-1,NaN,-1,NaN,NaN
403315048,75,74,72,78,NaN,NaN,NaN,66,62,67,NaN,86,71,62,74,62,60,56,66,82,68,65,69,NaN,78,NaN,NaN,75,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403315050,69,87,70,91,81,NaN,72,73,75,92,NaN,85,67,74,76,74,67,67,64,85,62,71,86,69,86,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403315051,72,66,72,78,NaN,90,87,74,70,80,71,NaN,65,75,77,81,62,81,77,86,NaN,76,NaN,77,79,NaN,72,NaN,64,NaN,87,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403315052,79,69,65,NaN,NaN,NaN,NaN,84,75,80,94,85,92,88,93,85,68,83,71,84,NaN,82,80,92,94,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315054,92,81,87,87,NaN,NaN,96,100,81,74,NaN,83,97,92,93,91,80,87,90,84,NaN,90,NaN,95,94,NaN,91,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403315055,79,74,70,82,NaN,90,NaN,73,68,75,NaN,NaN,68,81,71,75,71,73,76,79,NaN,68,77,70,88,NaN,NaN,NaN,63,NaN,NaN,83,88,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315056,76,79,74,87,NaN,NaN,NaN,74,65,68,NaN,89,96,68,86,77,67,83,94,79,NaN,86,NaN,88,93,NaN,NaN,NaN,68,NaN,NaN,100,NaN,81,NaN,-1,NaN,NaN,NaN,NaN,NaN
403315060,83,90,61,95,NaN,NaN,NaN,92,90,85,NaN,-1,87,89,85,81,73,68,73,89,NaN,79,NaN,81,86,NaN,NaN,NaN,NaN,NaN,79,NaN,90,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403315059,NaN,NaN,60,94,NaN,85,NaN,73,NaN,NaN,NaN,NaN,-1,72,79,71,68,70,66,91,NaN,60,NaN,74,79,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403315063,92,71,NaN,97,NaN,NaN,NaN,75,-1,-1,NaN,-1,-1,-1,NaN,NaN,73,NaN,NaN,NaN,NaN,77,NaN,-1,-1,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403315062,NaN,NaN,NaN,88,NaN,95,NaN,81,NaN,NaN,NaN,NaN,-1,-1,77,71,NaN,71,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,68,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
