id,3151910@心理學閱讀技巧@1@1,3151002@普通心理學（二）@2@1,3151505@解剖與生理學@2@1,3152506@生理心理學（二）@2@1,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3152004@心理學實驗法@1@1,3152505@生理心理學（一）@1@1,3152701@社會心理學@1@1,3151004@心理及教育統計學（二）@2@1,3151910@心理學閱讀技巧@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152702@性格心理學@2@1
404110029,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110005,NaN,88,NaN,-1,93,65,86,85,88,-1,-1,-1,-1,-1
404110011,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110004,NaN,-1,NaN,71,87,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1
404110025,NaN,-1,NaN,NaN,NaN,77,NaN,NaN,NaN,-1,-1,NaN,NaN,-1
404110017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404110018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
