id,3955001@教育研究法@1@1,3955007@國際化與教育政策研究@1@1,3955008@台灣教育與文化研究@1@1,3955009@國際教育與發展@1@1,3955020@性別與教育領導研究@1@1,3955010@課程領導與管理研究@2@1,3955011@教育領導與變革研究@2@1,3955013@教育人力資源發展研究@2@1,3955021@學術英文寫作@2@1,3955022@社會企業與教育@2@1,3955006@教育評鑑研究@1@1,3955015@教育方案規劃研究@1@1,3955017@中南美洲/東南亞/非洲教育專題研究@2@1
604745001,95,95,93,94,95,NaN,93,95,93,NaN,NaN,95,-1
604745002,96,94,NaN,92,94,95,93,94,NaN,93,94,94,-1
604745003,83,75,86,NaN,90,92,92,91,NaN,90,92,91,NaN
604745005,86,NaN,90,90,NaN,95,91,89,NaN,86,90,90,NaN
604745007,89,84,88,83,90,97,93,90,88,90,NaN,92,NaN
604745008,94,84,94,93,94,95,94,95,94,NaN,NaN,92,NaN
604745009,91,NaN,92,91,NaN,95,92,90,NaN,92,92,92,NaN
604745012,89,83,89,88,87,95,92,89,89,NaN,NaN,92,NaN
604745013,91,NaN,89,89,NaN,93,-1,89,NaN,93,88,92,-1
