id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901101@運動心理學@1@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902005@運動場館實習（三）@1@1,3902007@運動英語聽講（一）@1@1,3902101@應用教練心理學@1@1,3902103@運動生理學@1@1,3902105@運動社會學@1@1,3902107@運動場地規畫與管理@1@1,3903101@體適能與運動處方@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901102@運動教育學@2@1,3902004@專長術科（四）@2@1,3902006@運動場館實習（四）@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3902106@運動管理學@2@1,3902108@運動賽會與管理@2@1,3903005@體育英文@2@1,3903007@運動資訊處理@2@1,3903102@運動技術分析@2@1,3903104@運動營養學@2@1,3903105@運動行銷學@2@1,3903110@個人與團體運動指導訓練@2@1,3903112@游泳@2@1,3903114@網球@2@1,3903116@高爾夫@2@1,3901007@運動場館實習（一）@1@1,3903001@專長術科（五）@1@1,3903103@運動選材學@1@1,3903106@運動按摩學@1@1,3903107@運動員健康管理@1@1,3903113@籃球@1@1,3903115@桌球@1@1,3904005@運動專業英語術語@1@1,3904101@運動技能學習@1@1,3904109@肌力訓練@1@1,3904110@足球@1@1,3904113@跆拳道@1@1,3901008@運動場館實習（二）@2@1,3901103@體育學原理@2@1,3902002@運動傷害與急救@2@1,3903004@專長術科（六）@2@1,3903117@有氧舞蹈@2@1,3904116@排球@2@1,3904117@羽球@2@1,3904119@國術@2@1,3904120@體育研究法@2@1,3904001@專長術科（七）@1@1,3904008@運動資訊處理（二）@1@1,3904103@體育統計學@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904121@安全教育與急救@1@1,3904122@運動健身器材科技@1@1,3901104@棒(壘)球@2@1,3901105@體操@2@1,3904002@專長術科（八）@2@1,3904114@競技運動競賽實務@2@1,3904123@運動健康心理學@2@1,3901105@體操@1@1,3901109@撞球@1@1,3903118@運動健康促進@1@1,3904118@體育課程設計@1@1,3901005@專長術科（一）@1@1,3901006@專長術科（二）@2@1
499736019,91,81,78,60,90,87,89,NaN,77,83,92,70,80,84,74,89,97,88,90,NaN,95,NaN,89,83,86,NaN,88,NaN,76,81,82,NaN,88,90,88,87,80,NaN,NaN,85,NaN,NaN,76,NaN,88,NaN,76,85,NaN,93,NaN,NaN,84,87,81,90,93,NaN,82,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,87,89
499736020,96,87,60,68,90,91,90,NaN,95,80,90,89,NaN,79,85,89,86,88,94,92,90,70,NaN,76,89,NaN,91,NaN,NaN,80,81,84,88,92,NaN,NaN,NaN,88,83,86,NaN,75,84,80,90,92,83,89,87,88,84,82,NaN,91,87,NaN,NaN,89,84,NaN,NaN,90,84,NaN,NaN,NaN,NaN,NaN,NaN,87,88
499736023,55,79,78,0,91,50,30,NaN,0,NaN,0,NaN,NaN,NaN,61,60,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,94
499736025,65,70,NaN,60,90,92,76,88,NaN,73,NaN,NaN,86,88,74,60,90,82,90,NaN,82,61,NaN,83,80,NaN,80,NaN,NaN,84,80,70,95,75,NaN,80,60,93,75,80,NaN,NaN,74,74,96,NaN,60,83,83,NaN,NaN,NaN,NaN,80,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,87,NaN,NaN,NaN,NaN,80,89
499736026,85,94,NaN,72,88,83,88,89,NaN,86,NaN,90,NaN,75,84,89,88,85,92,NaN,87,NaN,NaN,84,84,NaN,85,NaN,NaN,86,NaN,NaN,88,88,NaN,NaN,NaN,NaN,80,85,NaN,NaN,87,80,88,NaN,80,86,NaN,84,83,NaN,NaN,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,88,86
499736027,70,85,80,66,87,87,90,87,69,83,84,85,86,85,69,87,91,86,90,79,86,60,94,77,86,NaN,NaN,78,85,85,85,NaN,86,91,86,NaN,85,90,87,79,NaN,NaN,87,NaN,88,NaN,71,93,NaN,NaN,NaN,NaN,NaN,85,80,NaN,NaN,88,NaN,NaN,85,73,89,90,NaN,NaN,NaN,NaN,NaN,85,89
499736028,65,66,NaN,75,83,88,86,NaN,46,78,75,89,88,86,65,77,80,87,92,NaN,90,60,NaN,60,90,NaN,87,84,85,86,88,86,88,84,81,81,70,83,87,68,NaN,NaN,80,NaN,94,NaN,70,87,NaN,NaN,86,NaN,NaN,84,80,NaN,88,NaN,81,89,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,85,81
499736030,80,70,69,68,88,87,76,NaN,45,86,80,76,82,73,75,65,87,85,88,79,85,61,92,67,84,NaN,NaN,NaN,NaN,92,78,81,88,85,85,78,61,85,71,76,NaN,86,82,74,90,NaN,62,82,NaN,NaN,NaN,NaN,NaN,92,83,NaN,82,NaN,79,86,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,84,82
499736031,90,92,78,70,92,88,89,NaN,73,83,93,95,88,88,79,79,89,87,91,84,88,60,81,88,94,NaN,88,71,86,NaN,86,80,90,88,85,88,84,86,84,79,NaN,88,78,NaN,95,NaN,90,88,NaN,89,NaN,NaN,NaN,88,80,NaN,NaN,NaN,86,87,NaN,85,92,NaN,NaN,NaN,NaN,NaN,NaN,84,86
499736033,72,65,63,65,90,85,70,NaN,NaN,66,82,NaN,75,84,71,77,85,85,77,NaN,85,64,86,87,92,NaN,88,NaN,NaN,85,78,84,80,88,80,83,81,90,75,84,NaN,NaN,NaN,NaN,84,NaN,75,86,NaN,84,NaN,NaN,NaN,85,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,80,85
499736034,75,80,75,72,90,89,88,NaN,60,77,90,NaN,88,82,72,80,89,89,91,62,NaN,70,93,70,85,90,NaN,NaN,95,90,86,82,84,90,NaN,90,NaN,NaN,80,78,86,NaN,NaN,88,92,NaN,87,88,NaN,91,86,88,NaN,88,80,NaN,85,NaN,NaN,NaN,NaN,86,89,NaN,NaN,NaN,NaN,NaN,NaN,85,88
499736022,78,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,60,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,60
499736024,50,62,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,0,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,50
499736029,73,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN
