id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901007@運動場館實習（一）@1@1,3901101@運動心理學@1@1,3901888@學系服務學習@1@1,3904109@肌力訓練@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901006@專長術科（二）@2@1,3901008@運動場館實習（二）@2@1,3901103@體育學原理@2@1,3901888@學系服務學習@2@1,3903116@高爾夫@2@1,3904114@競技運動競賽實務@2@1,3904120@體育研究法@2@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902005@運動場館實習（三）@1@1,3902009@運動英語聽講@1@1,3902101@應用教練心理學@1@1,3902103@運動生理學@1@1,3902105@運動社會學@1@1,3902107@運動場地規畫與管理@1@1,3903103@運動選材學@1@1,3903106@運動按摩學@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3903115@桌球@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904113@跆拳道@1@1,3904121@安全教育與急救@1@1,3901102@運動教育學@2@1,3901104@棒(壘)球@2@1,3901105@體操@2@1,3902002@運動傷害與急救@2@1,3902004@專長術科（四）@2@1,3902006@運動場館實習（四）@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3902108@運動賽會與管理@2@1,3903101@體適能與運動處方@2@1,3903102@運動技術分析@2@1,3903104@運動營養學@2@1,3903105@運動行銷學@2@1,3903112@游泳@2@1,3903114@網球@2@1,3903117@有氧舞蹈@2@1,3904116@排球@2@1,3904117@羽球@2@1,3904119@國術@2@1,3904123@運動健康心理學@2@1,3901105@體操@1@1,3901109@撞球@1@1,3901110@體育行政@1@1,3903001@專長術科（五）@1@1,3903113@籃球@1@1,3903118@運動健康促進@1@1,3904008@運動資訊處理（二）@1@1,3904103@體育統計學@1@1,3904110@足球@1@1,3904118@體育課程設計@1@1,3904122@運動健身器材科技@1@1,3902106@運動管理學@2@1,3902113@瑜珈@2@1,3903004@專長術科（六）@2@1,3903005@體育英文@2@1,3903007@運動資訊處理@2@1,3902010@運動專業實習（一）@1@1,3904001@專長術科（七）@1@1,3904005@運動專業英語術語@1@1,3902011@運動專業實習（二）@2@1,3904017@專長術科（八）-田徑@2@1,3904018@專長術科（八）-游泳@2@1,3904019@專長術科（八）-網球@2@1,3904020@專長術科（八）-羽球@2@1,3904021@專長術科（八）-高爾夫@2@1,3904022@專長術科（八）-跆拳道@2@1,3904023@專長術科（八）-射箭@2@1,3904024@專長術科（八）-定向越野@2@1,3904011@專長術科（七）-網球@1@1
401736017,90,90,86,93,62,88,NaN,87,88,88,98,NaN,NaN,86,93,NaN,86,85,92,97,NaN,87,96,83,NaN,97,88,83,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,80,88,95,NaN,NaN,87,NaN,86,92,93,95,85,NaN,NaN,86,NaN,NaN,84,72,NaN,82,NaN,NaN,87,89,NaN,NaN,87,88,NaN,86,82,80,NaN,86,90,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401736018,90,85,85,88,NaN,NaN,NaN,87,78,88,90,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401736020,88,88,90,88,54,NaN,NaN,84,82,90,87,85,80,NaN,NaN,NaN,75,79,88,86,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,81,NaN,NaN,88,80,86,83,NaN,86,84,86,NaN,NaN,77,87,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,82,85,88,NaN,NaN,NaN,NaN,NaN,93,90,81,82,NaN,81,85,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN
401736021,65,80,85,88,NaN,82,NaN,70,73,86,80,75,NaN,85,NaN,NaN,79,91,88,75,84,NaN,NaN,NaN,76,87,88,NaN,85,90,NaN,NaN,NaN,93,NaN,85,60,89,84,NaN,NaN,NaN,97,87,90,NaN,87,90,NaN,87,87,NaN,88,NaN,NaN,NaN,90,NaN,NaN,86,NaN,66,NaN,NaN,NaN,NaN,90,71,80,NaN,NaN,84,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,88
401736022,86,88,84,95,82,NaN,92,85,92,85,95,88,80,87,91,NaN,88,88,92,87,NaN,92,95,83,NaN,NaN,NaN,88,76,NaN,89,93,86,NaN,NaN,85,85,90,95,88,90,84,95,NaN,95,92,86,85,90,85,95,82,94,NaN,NaN,98,92,85,94,88,94,90,NaN,NaN,89,93,91,74,88,NaN,89,77,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401736023,85,82,84,80,NaN,80,90,83,85,92,88,75,NaN,88,NaN,NaN,78,86,80,96,NaN,NaN,NaN,NaN,91,83,88,NaN,85,83,NaN,NaN,86,NaN,NaN,NaN,70,89,83,NaN,NaN,NaN,96,NaN,83,NaN,81,86,85,87,92,NaN,NaN,NaN,86,NaN,89,82,90,75,80,NaN,NaN,NaN,NaN,92,90,62,80,NaN,89,82,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
401736024,82,80,85,86,75,NaN,NaN,77,87,92,82,60,80,70,NaN,NaN,62,85,83,60,66,78,NaN,60,66,86,78,89,NaN,62,NaN,NaN,67,NaN,NaN,NaN,72,92,76,70,NaN,NaN,NaN,87,78,88,89,78,NaN,NaN,86,NaN,NaN,NaN,98,NaN,89,80,NaN,72,NaN,NaN,NaN,80,NaN,NaN,90,74,80,NaN,84,76,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
401736025,93,88,86,92,72,88,98,87,92,90,90,95,NaN,87,NaN,NaN,85,85,91,91,NaN,92,96,92,NaN,95,90,90,NaN,NaN,NaN,NaN,NaN,95,NaN,90,96,89,86,NaN,NaN,NaN,NaN,86,95,97,92,85,NaN,96,84,83,NaN,NaN,84,98,88,84,NaN,94,NaN,NaN,NaN,NaN,94,NaN,92,77,95,NaN,90,90,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401736026,91,88,90,85,69,NaN,NaN,86,84,90,88,75,80,87,NaN,NaN,90,94,86,92,NaN,81,NaN,77,91,95,88,86,NaN,NaN,NaN,94,NaN,NaN,NaN,87,85,95,86,80,NaN,84,90,NaN,80,93,88,87,NaN,NaN,NaN,NaN,NaN,NaN,77,97,95,90,NaN,87,NaN,95,NaN,85,92,95,92,70,95,NaN,90,80,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN
401736027,91,85,82,83,60,80,72,87,79,90,84,82,NaN,80,NaN,NaN,68,78,80,85,NaN,81,NaN,74,NaN,95,NaN,NaN,82,75,NaN,NaN,NaN,NaN,NaN,NaN,74,85,83,NaN,NaN,NaN,NaN,NaN,82,74,88,78,NaN,83,87,NaN,84,NaN,73,NaN,86,NaN,82,80,NaN,NaN,NaN,NaN,NaN,85,86,69,84,NaN,87,82,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401736028,85,90,87,93,44,NaN,88,91,91,86,90,88,84,83,NaN,NaN,96,88,91,99,86,91,96,NaN,NaN,90,NaN,90,75,NaN,94,92,86,NaN,NaN,NaN,90,86,95,88,NaN,NaN,88,NaN,95,95,79,82,92,90,97,83,NaN,NaN,77,NaN,83,90,94,92,96,85,82,NaN,92,NaN,84,88,95,NaN,79,89,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401736029,88,91,87,93,80,80,92,89,87,88,85,75,NaN,87,NaN,NaN,85,88,86,90,NaN,NaN,95,90,NaN,96,86,NaN,NaN,NaN,NaN,94,87,NaN,88,NaN,85,90,87,NaN,92,NaN,98,NaN,82,NaN,89,88,NaN,89,89,NaN,NaN,NaN,NaN,NaN,88,85,96,84,93,95,NaN,NaN,NaN,94,88,74,88,NaN,86,80,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
401736030,80,80,84,86,72,NaN,90,87,81,82,86,70,80,87,NaN,NaN,60,90,84,87,68,NaN,NaN,65,NaN,92,80,90,NaN,86,83,NaN,73,NaN,NaN,NaN,70,90,82,NaN,85,83,NaN,NaN,NaN,74,84,84,NaN,84,86,NaN,84,NaN,74,NaN,86,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,82,88,70,81,NaN,88,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN
401736031,80,88,83,93,79,80,88,89,70,85,85,79,NaN,86,NaN,NaN,60,87,86,78,NaN,86,NaN,84,NaN,89,78,89,NaN,85,NaN,NaN,77,NaN,NaN,NaN,78,90,84,NaN,85,83,85,NaN,88,81,90,82,87,92,83,NaN,NaN,NaN,71,NaN,86,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,88,78,84,NaN,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN
401736032,91,83,83,87,60,NaN,94,85,83,85,87,80,82,87,NaN,NaN,85,90,90,83,NaN,74,NaN,60,NaN,95,85,81,NaN,99,88,87,NaN,NaN,NaN,82,78,90,87,95,NaN,82,90,NaN,91,79,83,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,93,90,NaN,85,NaN,91,NaN,NaN,75,98,88,74,86,NaN,88,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN
401736033,77,90,NaN,NaN,NaN,70,NaN,74,NaN,NaN,NaN,NaN,NaN,86,83,NaN,70,93,80,79,NaN,84,79,70,NaN,NaN,78,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,85,82,NaN,NaN,NaN,NaN,80,78,NaN,88,78,NaN,NaN,NaN,NaN,NaN,76,71,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401736034,60,NaN,NaN,NaN,82,70,NaN,67,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,65,NaN,NaN,88,NaN,76,NaN,NaN,NaN,60,82,NaN,77,80,75,NaN,NaN,65,NaN,79,NaN,NaN,NaN,97,NaN,NaN,67,86,NaN,NaN,80,NaN,NaN,NaN,NaN,93,69,89,NaN,94,84,NaN,NaN,NaN,NaN,47,93,92,60,80,90,92,61,86,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN
