id,1101083@寫作指導@1@1,1101311@語言學概論（一）@1@1,1101411@國學導讀（一）@1@1,1101546@西遊記@1@1,1101811@文學概論（一）@1@1,1101821@儒家文獻選讀（一）@1@1,1101845@現代歐美劇場文本選讀@1@1,1101888@學系服務學習@1@1,1102028@書法美學@1@1,1102123@經學通論@1@1,1102523@現代小說@1@1,1102653@歐美漢學史@1@1,1103411@禮記（一）@1@1,1104147@紅樓夢@1@1,1104511@台灣文學史@1@1,1101412@國學導讀（二）@2@1,1101520@現代散文@2@1,1101543@中國小說選@2@1,1101812@文學概論（二）@2@1,1101822@儒家文獻選讀（二）@2@1,1101888@學系服務學習@2@1,1102029@篆刻美學@2@1,1102124@經學史@2@1,1102145@莊子@2@1,1102150@史記@2@1,1103723@樂府詩@2@1,1103815@現代成長小說選讀@2@1,1104151@深入經典－桃花扇@2@1,1104950@文物精品與文化中國@2@1,1101123@兒童哲學與故事講述@1@1,1101931@書畫與視覺設計（一）@1@1,1102011@文字學（一）@1@1,1102021@中國文學史（一）@1@1,1102041@書法與篆刻美學（一）@1@1,1102314@客家語概論@1@1,1102511@詩選及習作（一）@1@1,1102615@史傳名著選讀@1@1,1102711@歷代文選及習作（一）@1@1,1103626@文學、電影與大陸當代戲劇@1@1,1103829@陰陽五行文獻選讀@1@1,1104142@明清傳奇與崑劇@1@1,1101538@中國寓言選讀@2@1,1101932@書畫與視覺設計（二）@2@1,1102012@文字學（二）@2@1,1102022@中國文學史（二）@2@1,1102042@書法與篆刻美學（二）@2@1,1102313@閩南語概論@2@1,1102512@詩選及習作（二）@2@1,1102525@唐人小說選讀@2@1,1102613@左傳@2@1,1102653@歐美漢學史@2@1,1102712@歷代文選及習作（二）@2@1,1103200@明清小說@2@1,1103249@當代文學思潮@2@1,1103255@西方現代文學理論@2@1,1103412@禮記（二）@2@1,1104113@禪宗思想導讀@2@1,1101211@詩選及習作（一）@1@1,1102030@詩與畫：文學閱讀與圖像觀看@1@1,1102916@文學與劇場改編@1@1,1103111@中國思想史（一）@1@1,1103141@中國俗文學（一）@1@1,1103260@魯迅文學作品選讀@1@1,1103311@聲韻學（一）@1@1,1103521@六朝志怪小說@1@1,1103613@中國戲劇選讀@1@1,1103627@西方戲劇選讀@1@1,1103705@詞選及習作@1@1,1103954@劇本寫作與搬演@1@1,1103955@社會關懷與劇場應用@1@1,1104125@韓非子@1@1,1104219@左氏春秋@1@1,1104313@訓詁學@1@1,1104611@當代文化思潮@1@1,1101083@寫作指導@2@1,1101212@詩選及習作（二）@2@1,1101312@語言學概論（二）@2@1,1102540@漢籍英譯選讀@2@1,1103112@中國思想史（二）@2@1,1103142@中國俗文學（二）@2@1,1103225@文學批評@2@1,1103312@聲韻學（二）@2@1,1103522@聊齋誌異選讀@2@1,1103626@文學、電影與大陸當代戲劇@2@1,1103703@曲選及習作@2@1,1103826@周易@2@1,1103940@文獻學@2@1,1104154@中國話劇選讀@2@1,1104761@音樂文創與文案書寫@2@1,1101613@民間文學@1@1,1101934@書法基礎入門@1@1,1102051@水墨創作@1@1,1102514@詩經@1@1,1102525@唐人小說選讀@1@1,1102661@台灣現代主義小說選讀@1@1,1102720@詞選及習作@1@1,1102823@老子@1@1,1103256@晚清文學選讀@1@1,1103417@大戴禮記@1@1,1103628@華文戲劇選讀@1@1,1103830@陰陽五行文獻選讀@1@1,1103833@宋明理學經典選讀：王陽明傳習錄@1@1,1103957@劇本寫作與搬演@1@1,1104152@畢業製作與展演@1@1,1101617@閩南俗曲@2@1,1101935@書道與視覺設計@2@1,1102043@篆刻藝術@2@1,1102510@曲選及習作@2@1,1102633@現代詩@2@1,1102917@當代戲劇文本與實驗劇場@2@1,1103151@民俗學概論@2@1,1103204@金瓶梅@2@1,1103752@專家詞：蘇東坡詞@2@1,1103910@應用文書寫作@2@1,1103956@劇本創作實務@2@1,1104148@紅樓夢@2@1,1104224@楚辭@2@1,1104511@台灣文學史@2@1,1104612@張愛玲小說選讀@2@1,1103021@中國文學史（一）@1@1,1102162@孟子：雄辯身影@2@1,1103022@中國文學史（二）@2@1,1103913@書寫、影像與編輯@2@1
401110021,NaN,NaN,78,74,88,NaN,80,95,NaN,NaN,NaN,NaN,90,NaN,NaN,77,84,86,69,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,70,69,82,NaN,81,NaN,75,NaN,NaN,NaN,90,NaN,84,78,NaN,90,96,75,NaN,NaN,85,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,70,NaN,NaN,82,NaN,89,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,82,80,NaN,85,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110023,NaN,NaN,73,91,84,NaN,87,95,NaN,NaN,91,NaN,71,NaN,NaN,74,92,88,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,94,NaN,63,68,NaN,NaN,86,80,68,73,NaN,84,69,NaN,60,71,NaN,NaN,93,86,NaN,NaN,81,91,91,NaN,NaN,75,NaN,NaN,88,75,NaN,NaN,60,90,NaN,73,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,91,73,90,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,75,NaN,NaN,NaN,NaN,90,NaN,NaN,70,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,96,NaN,NaN,NaN,NaN
401110027,NaN,NaN,65,19,73,65,65,95,NaN,NaN,73,NaN,NaN,NaN,NaN,-1,65,70,61,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,68,91,84,68,84,66,NaN,NaN,NaN,NaN,NaN,60,75,70,NaN,80,31,60,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,64,22,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,60,NaN,76,72,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110028,NaN,NaN,77,NaN,84,78,85,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,75,84,85,77,79,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,70,75,NaN,NaN,90,NaN,74,NaN,NaN,NaN,89,90,82,82,NaN,NaN,84,NaN,NaN,NaN,84,NaN,84,NaN,NaN,NaN,NaN,NaN,93,79,NaN,NaN,79,NaN,86,92,86,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,82,89,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110031,NaN,NaN,76,79,86,69,92,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,84,NaN,63,NaN,NaN,NaN,NaN,84,80,78,NaN,NaN,NaN,NaN,89,66,69,87,NaN,87,88,73,NaN,NaN,NaN,88,NaN,80,84,84,92,94,89,82,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,81,NaN,82,93,88,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,73,NaN,78,85,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
401110033,NaN,NaN,75,84,87,NaN,NaN,90,NaN,NaN,84,NaN,NaN,NaN,NaN,77,78,88,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,76,88,NaN,82,NaN,83,NaN,NaN,NaN,85,NaN,82,78,81,NaN,79,78,82,84,82,NaN,83,NaN,NaN,NaN,NaN,84,NaN,73,NaN,NaN,72,NaN,NaN,NaN,86,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,79,NaN,NaN,82,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
401110040,NaN,NaN,78,72,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,87,NaN,71,NaN,86,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,68,63,90,NaN,82,NaN,80,NaN,NaN,NaN,NaN,80,88,80,90,90,84,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,79,NaN,80,90,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,81,94,82,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
401110043,NaN,NaN,68,NaN,68,71,NaN,92,NaN,76,NaN,NaN,60,NaN,NaN,64,78,60,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,67,NaN,NaN,65,84,75,NaN,NaN,NaN,NaN,NaN,61,61,NaN,NaN,68,NaN,NaN,NaN,75,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,84,76,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,60,NaN,73,60,NaN,68,68,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110046,NaN,NaN,76,49,88,79,NaN,NaN,90,NaN,NaN,NaN,75,NaN,NaN,82,NaN,NaN,68,67,90,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,61,67,NaN,NaN,78,NaN,74,NaN,NaN,81,81,NaN,66,71,NaN,NaN,82,NaN,NaN,NaN,87,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,70,67,NaN,68,65,87,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,65,64,73,53,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110047,NaN,NaN,80,83,88,86,82,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,86,60,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,78,NaN,95,85,91,83,NaN,NaN,NaN,92,NaN,90,84,NaN,NaN,81,96,87,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,87,86,94,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,80,93,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
