id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3302911@公文程式與製作@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302912@行政法實務專題@2@1,3303392@英國政府與政治@2@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302300@中國大陸政府與政治（一）@1@1,3302370@中國外交史@1@1,3302411@國際人權與女權@1@1,3303491@國際組織與非國家組織@1@1,3303510@公共政策@1@1,3303645@當代社會分析@1@1,3303660@正義理論@1@1,3304671@繪本、小說、與多元文化教育@1@1,3301152@棒球政治學@2@1,3301511@政治社會學@2@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302340@中國大陸政府與政治（二）@2@1,3302390@現代國際政治史@2@1,3302920@社會企業發展與實作@2@1,3302930@初級政治學德語(一)@2@1,3303502@公共人力資源管理@2@1,3304321@國際談判與協商@2@1,3304361@政策分析@2@1,3304624@國際移民@2@1,3304680@公民社會基本觀念@2@1,3302931@初級政治學德語（二）@1@1,3303000@政治學統計方法（一）@1@1,3303000@政治學統計方法（一）@1@2,3303010@西洋政治思想史@1@1,3303361@組織理論與行為@1@1,3303460@公共人事行政導論@1@1,3303641@當代中國社會@1@1,3304370@公共管理@1@1,3304601@歐洲整合與政治思想@1@1,3304690@從電影分析著名工業污染事件@1@1,3302401@政治意識型態@2@1,3302411@國際人權與女權@2@1,3302932@初級政治學德語（三）@2@1,3303030@政治學統計方法（二）@2@1,3303030@政治學統計方法（二）@2@2,3303040@中國政治思想史@2@1,3303394@德國政府與政治@2@1,3303610@國際關係理論導讀@2@1,3303650@當代西方政治思潮@2@1,3304333@環境政治@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304340@台灣政經發展@2@1,3304641@危機管理@2@1,3301511@政治社會學@1@1,3302933@初級政治學德語（四）@1@1,3303421@財務行政@1@1,3304321@國際談判與協商@1@1,3304390@全球化@1@1,3304612@國際倫理學@1@1,3302934@初級政治學德語（五）@2@1,3302940@公民教育@2@1,3303022@公共政策個案分析@2@1,3303503@危機管理@2@1
402330034,82,81,76,NaN,79,86,100,NaN,91,89,82,NaN,89,90,100,87,85,77,84,80,95,86,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,91,81,73,83,NaN,86,NaN,NaN,94,NaN,90,NaN,NaN,NaN,NaN,75,72,NaN,85,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,72,81,NaN,NaN,NaN,85,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330035,71,75,72,NaN,81,78,60,73,NaN,78,82,NaN,70,69,80,NaN,NaN,NaN,76,64,75,61,NaN,80,76,80,92,NaN,NaN,NaN,NaN,NaN,85,75,73,67,NaN,88,NaN,NaN,NaN,NaN,92,90,NaN,NaN,75,NaN,60,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330036,61,70,81,NaN,90,48,80,NaN,74,69,79,NaN,71,61,90,85,NaN,75,71,70,77,68,NaN,90,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,87,68,67,72,NaN,84,88,87,90,NaN,88,NaN,NaN,88,NaN,62,70,64,86,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,63,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402330037,87,80,NaN,75,84,81,100,72,NaN,81,NaN,80,84,80,100,NaN,NaN,NaN,88,83,98,88,NaN,86,80,84,88,NaN,NaN,NaN,NaN,NaN,91,71,89,74,NaN,88,NaN,93,NaN,NaN,NaN,NaN,NaN,94,76,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,70,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,90,NaN,NaN,-1,NaN,NaN,NaN
402330038,76,70,NaN,75,84,70,90,NaN,NaN,90,NaN,80,83,63,100,81,NaN,NaN,85,72,85,72,NaN,74,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,86,64,77,73,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,87,NaN,NaN,NaN,NaN,87,NaN,NaN,85,NaN,NaN,-1,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
402330039,80,78,NaN,65,92,69,100,74,NaN,83,NaN,80,85,76,100,NaN,NaN,NaN,87,77,94,84,NaN,89,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,86,95,94,NaN,94,NaN,87,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330040,80,63,NaN,68,89,82,100,NaN,NaN,79,NaN,80,96,75,100,81,NaN,NaN,86,75,98,86,NaN,84,81,90,92,NaN,NaN,NaN,NaN,NaN,93,82,78,80,NaN,87,NaN,95,NaN,NaN,90,NaN,NaN,94,77,NaN,77,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,75,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,90,NaN,81,NaN,NaN,NaN,NaN
402330041,84,80,84,NaN,86,78,70,76,NaN,79,NaN,65,61,66,70,NaN,NaN,NaN,81,76,96,80,72,70,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,90,78,68,70,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,72,87,NaN,NaN,85,NaN,NaN,81,86,NaN,NaN,NaN,60,92,NaN,NaN,84,90,NaN,78,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402330042,80,78,90,NaN,83,74,100,NaN,NaN,77,NaN,73,79,78,100,88,NaN,NaN,89,75,82,73,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,89,66,94,80,NaN,NaN,NaN,NaN,93,NaN,93,NaN,NaN,NaN,66,NaN,72,78,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,62,NaN,NaN,NaN,89,-1,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330043,92,74,NaN,80,96,87,100,80,NaN,85,NaN,78,89,84,100,NaN,NaN,NaN,92,84,82,89,NaN,83,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,93,83,81,88,NaN,93,NaN,96,NaN,NaN,94,NaN,NaN,95,86,NaN,73,90,94,NaN,90,NaN,NaN,NaN,NaN,NaN,86,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
