id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302340@中國大陸政府與政治（二）@2@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302370@中國外交史@1@1,3303361@組織理論與行為@1@1,3303491@國際組織與非國家組織@1@1,3303510@公共政策@1@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302390@現代國際政治史@2@1,3302401@政治意識型態@2@1,3303394@德國政府與政治@2@1,3303610@國際關係理論導讀@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304361@政策分析@2@1,3304641@危機管理@2@1,3301511@政治社會學@1@1,3302920@社會企業發展與實作@1@1,3303000@政治學統計方法（一）@1@1,3303000@政治學統計方法（一）@1@2,3303010@西洋政治思想史@1@1,3303394@德國政府與政治@1@1,3303421@財務行政@1@1,3303460@公共人事行政導論@1@1,3304321@國際談判與協商@1@1,3304370@公共管理@1@1,3304390@全球化@1@1,3304612@國際倫理學@1@1,3304690@從電影分析著名工業污染事件@1@1,3302940@公民教育@2@1,3303022@公共政策個案分析@2@1,3303023@政策分析@2@1,3303030@政治學統計方法（二）@2@1,3303030@政治學統計方法（二）@2@2,3303040@中國政治思想史@2@1,3303503@危機管理@2@1,3304340@台灣政經發展@2@1,3304671@繪本、小說、與多元文化教育@2@1
403330030,88,94,92,NaN,93,78,100,NaN,88,89,NaN,98,85,100,85,NaN,85,84,84,77,76,NaN,NaN,91,91,64,-1,74,80,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,72,77,NaN,83,84,NaN,NaN,NaN,85,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN
403330031,82,100,NaN,65,85,84,100,90,70,NaN,89,99,91,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403330032,77,100,75,NaN,81,71,80,NaN,62,67,NaN,72,83,100,85,NaN,79,89,80,83,91,NaN,NaN,89,90,78,71,82,77,NaN,90,NaN,NaN,NaN,NaN,NaN,86,80,NaN,61,NaN,NaN,NaN,88,NaN,NaN,78,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
403330033,78,100,85,NaN,83,61,100,90,65,66,NaN,74,80,100,NaN,NaN,84,67,64,74,85,NaN,NaN,89,92,67,61,80,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,68,NaN,76,NaN,NaN,90,NaN,81,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN
403330034,74,100,NaN,62,86,63,100,NaN,70,NaN,72,81,71,100,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403330035,78,100,96,NaN,87,76,100,90,77,92,NaN,86,88,90,NaN,NaN,98,79,83,89,92,NaN,88,NaN,95,91,79,90,95,NaN,NaN,NaN,NaN,90,91,NaN,NaN,NaN,91,83,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403330036,78,100,NaN,65,94,70,100,NaN,75,99,NaN,92,79,100,85,NaN,69,76,75,78,88,NaN,90,NaN,91,60,75,78,92,NaN,NaN,NaN,-1,90,91,NaN,NaN,90,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403330037,99,100,90,NaN,95,NaN,100,90,80,79,NaN,85,NaN,100,NaN,NaN,66,82,53,68,NaN,NaN,NaN,90,88,60,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,66,NaN,NaN,80,NaN,63,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
403330038,74,100,81,NaN,87,78,100,NaN,74,79,NaN,93,77,100,85,NaN,84,76,74,77,90,NaN,NaN,93,93,78,83,82,79,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,80,75,NaN,NaN,95,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
403330039,55,100,75,NaN,77,70,60,90,60,60,NaN,20,70,60,NaN,NaN,81,73,18,67,60,NaN,NaN,NaN,0,28,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403330041,62,100,NaN,60,77,48,100,90,55,-1,NaN,78,70,100,NaN,NaN,60,71,NaN,75,80,NaN,NaN,NaN,81,28,-1,75,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,22,NaN,41,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN
403330042,62,100,NaN,60,83,63,60,NaN,68,NaN,75,87,84,100,85,NaN,88,73,73,83,82,NaN,NaN,90,92,60,79,80,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,72,NaN,NaN,NaN,83,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
403330043,78,100,89,NaN,72,80,100,90,62,89,NaN,71,83,90,NaN,NaN,74,83,66,NaN,NaN,81,NaN,91,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,57,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1
403330044,72,100,NaN,61,75,80,100,NaN,49,NaN,77,77,79,100,85,NaN,66,67,72,65,82,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,60,NaN,56,NaN,NaN,NaN,NaN,NaN,73,82,68,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403330045,77,100,NaN,65,78,82,100,90,-1,NaN,90,73,83,100,NaN,NaN,88,76,68,88,84,NaN,NaN,90,87,74,83,83,82,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,74,NaN,80,90,NaN,76,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN
403330046,64,100,88,NaN,91,64,100,NaN,-1,81,NaN,70,81,100,85,NaN,85,85,64,88,95,NaN,NaN,91,92,78,73,88,88,NaN,90,NaN,NaN,NaN,91,NaN,NaN,80,NaN,72,NaN,77,NaN,87,NaN,NaN,87,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403330047,65,100,NaN,72,90,69,100,90,71,NaN,75,73,77,100,NaN,NaN,71,85,60,83,95,NaN,NaN,88,94,60,-1,78,80,NaN,89,NaN,NaN,NaN,NaN,NaN,86,50,NaN,67,NaN,NaN,NaN,87,NaN,NaN,77,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
403330048,68,94,87,NaN,90,72,100,NaN,68,NaN,79,96,71,100,85,NaN,82,71,63,88,85,NaN,NaN,93,90,60,-1,84,85,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,66,54,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403330049,76,100,NaN,67,80,63,100,90,74,NaN,77,85,76,100,NaN,NaN,75,78,74,50,76,NaN,NaN,NaN,87,63,66,70,76,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,56,55,93,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403330050,79,100,NaN,78,92,60,70,NaN,70,NaN,72,89,-1,80,85,NaN,82,75,64,70,75,NaN,NaN,NaN,90,67,-1,71,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,46,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN
403330051,84,100,NaN,75,91,63,100,90,85,NaN,79,82,71,100,NaN,NaN,88,86,78,77,95,NaN,NaN,NaN,95,63,76,71,87,NaN,NaN,87,85,NaN,NaN,NaN,NaN,61,NaN,65,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
