id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3102016@社會問題@1@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102141@社會團體工作導論@1@1,3102151@社會工作概論@1@1,3103069@方案設計與評估@1@1,3103088@樂活呷百二－高齡化社會問題與對策@1@1,3101022@社會學（二）@2@1,3101034@社會福利概論（二）@2@1,3101051@社會心理學@2@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102135@法學緒論@2@1,3102145@社區工作@2@1,3102152@社會工作管理@2@1,3102153@長期照護保險與財務@2@1,3103035@社會福利行政@2@1,3101053@健康保險概論@1@1,3102143@人類行為與社會環境@1@1,3102155@非營利組織管理@1@1,3103014@社會研究法（一）@1@1,3103016@社會福利財政@1@1,3103075@社會福利區位分析@1@1,3103090@社會風險管理導論@1@1,3104025@社會政策與立法@1@1,3104057@社會保險財務@1@1,3101024@經濟學（二）@2@1,3102156@障礙研究：理論與議題@2@1,3103018@社會研究法（二）@2@1,3103031@社會福利資料分析@2@1,3103042@社會不均@2@1,3103066@家庭政策@2@1,3103077@社會福利實習（一）：A組@2@1,3103078@社會福利實習（一）：B組@2@1,3103079@社會福利實習（一）：C組@2@1,3104058@福利國家發展@2@1,3102157@高齡社會：機會與挑戰@1@1,3102158@社會福利區位分析@1@1,3103092@社會福利服務@1@1,3104051@社會福利實習（二）：A組@1@1,3104052@社會福利實習（二）：B組@1@1,3104053@社會福利實習（二）：C組@1@1,3104059@健康與現代社會@1@1,3101054@心理學@2@1,3102159@貧窮與福祉@2@1,3102160@公益創投與社會企業@2@1,3103071@健康保險理論與實務@2@1,3104060@長期照護制度@2@1,3101054@心理學@1@1,3102161@兒童褔利服務@1@1,3103093@社會保險財務@1@1,3104902@社會政策與社會立法@1@1,3102012@社會福利經濟分析@2@1,3101048@非營利組織管理@1@1,3101049@社會福利資訊管理@1@1,3101013@人口學@2@1,3101048@非營利組織管理@2@1
499310033,92,89,72,82,79,74,72,76,89,NaN,72,65,73,81,70,83,74,87,81,NaN,76,NaN,79,NaN,83,79,88,85,81,NaN,72,NaN,85,NaN,76,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,78,NaN
499310034,90,84,74,92,70,84,83,79,85,NaN,81,68,NaN,67,80,84,75,NaN,NaN,NaN,84,NaN,72,NaN,80,61,91,NaN,89,NaN,80,NaN,81,92,88,NaN,NaN,NaN,89,88,92,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,75,NaN
499310035,87,99,74,90,92,88,81,86,85,NaN,81,72,85,91,85,NaN,89,NaN,77,NaN,89,NaN,NaN,NaN,83,82,94,NaN,87,NaN,88,NaN,83,NaN,85,NaN,NaN,NaN,90,85,89,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,87,80,NaN
499310036,88,74,76,86,77,91,84,89,93,NaN,81,82,80,80,86,82,82,87,91,NaN,80,NaN,75,NaN,88,92,NaN,NaN,82,NaN,76,NaN,84,NaN,84,NaN,NaN,NaN,89,88,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,71
499310037,91,94,77,89,81,88,84,86,81,NaN,77,73,60,90,81,88,79,89,74,NaN,89,NaN,75,NaN,83,86,NaN,NaN,86,82,65,NaN,82,NaN,83,82,87,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83
499310038,92,100,79,89,94,94,88,94,89,NaN,81,79,90,94,84,86,88,91,79,NaN,93,NaN,83,NaN,84,95,92,NaN,94,NaN,89,NaN,91,NaN,90,NaN,NaN,90,NaN,86,91,NaN,NaN,NaN,84,NaN,83,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,83
499310039,88,68,75,80,67,68,NaN,NaN,NaN,NaN,62,56,NaN,50,61,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN
499310040,85,65,80,80,90,78,80,83,87,NaN,71,75,82,87,75,85,82,91,NaN,NaN,81,NaN,85,NaN,80,90,85,86,85,NaN,72,NaN,87,NaN,70,86,NaN,NaN,87,85,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,65,NaN,NaN
499310041,89,81,74,84,87,86,84,82,92,NaN,78,73,90,84,86,82,92,92,85,NaN,81,NaN,78,NaN,85,84,NaN,NaN,89,NaN,76,NaN,91,NaN,87,NaN,NaN,92,NaN,90,NaN,NaN,NaN,NaN,92,NaN,91,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,73
499310042,82,96,74,80,84,88,80,80,86,NaN,70,68,82,86,81,85,89,91,82,NaN,85,NaN,79,NaN,86,84,NaN,NaN,83,NaN,73,NaN,84,90,84,NaN,87,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,62
499310043,88,82,72,86,74,84,82,85,84,NaN,72,69,78,80,82,82,74,87,80,86,90,NaN,79,NaN,81,82,NaN,NaN,85,94,77,NaN,88,87,85,NaN,91,NaN,NaN,88,NaN,NaN,NaN,90,NaN,NaN,85,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN
499310044,89,85,75,82,77,77,75,85,86,NaN,73,69,82,80,66,84,86,91,77,NaN,90,NaN,87,NaN,77,90,86,NaN,86,88,62,NaN,87,NaN,85,83,NaN,84,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72
499310045,80,84,71,84,68,72,73,82,83,NaN,67,69,72,68,67,79,88,89,68,NaN,86,NaN,73,NaN,73,79,86,NaN,75,NaN,70,NaN,74,NaN,71,NaN,NaN,90,NaN,80,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70
499310046,83,82,77,84,91,90,81,72,86,NaN,77,69,78,85,81,91,84,92,84,NaN,87,NaN,78,NaN,82,83,NaN,NaN,86,NaN,76,NaN,87,NaN,86,NaN,NaN,NaN,NaN,86,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,78
499310047,89,97,84,84,79,95,84,89,85,NaN,75,79,72,88,87,84,93,88,84,NaN,91,NaN,75,NaN,84,90,NaN,NaN,82,NaN,88,NaN,90,NaN,85,88,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,93,NaN,NaN,NaN,NaN,NaN,NaN,89,78,79,NaN
499310048,82,84,78,76,92,81,90,84,85,NaN,69,70,81,90,79,86,84,88,73,NaN,93,NaN,74,NaN,76,90,88,NaN,89,NaN,74,NaN,83,87,84,NaN,89,NaN,NaN,88,90,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,65
499310049,88,87,78,89,94,88,80,87,92,NaN,74,79,NaN,87,88,89,88,92,84,NaN,92,NaN,83,NaN,87,90,NaN,NaN,86,NaN,92,NaN,89,NaN,80,NaN,85,NaN,NaN,89,89,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,83
499310050,88,66,72,76,79,84,80,85,81,NaN,74,71,74,70,72,NaN,81,73,72,NaN,77,NaN,NaN,NaN,70,83,NaN,NaN,81,NaN,66,NaN,75,NaN,72,NaN,NaN,NaN,NaN,74,78,NaN,NaN,NaN,NaN,NaN,76,NaN,81,81,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73
499310051,90,83,81,84,74,86,86,90,90,NaN,79,78,72,88,82,86,82,88,85,NaN,89,NaN,82,NaN,85,82,NaN,NaN,82,NaN,77,NaN,88,NaN,85,92,NaN,NaN,86,89,NaN,NaN,NaN,NaN,NaN,84,95,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79
499310052,86,74,76,81,60,72,81,76,81,NaN,77,70,70,75,61,80,78,85,79,NaN,85,NaN,72,NaN,85,66,NaN,NaN,78,86,73,NaN,88,NaN,70,81,89,NaN,NaN,88,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,77,NaN
499310053,91,90,77,89,91,86,80,87,93,NaN,75,72,NaN,86,80,89,89,94,78,NaN,87,NaN,84,NaN,81,85,NaN,NaN,90,NaN,73,NaN,88,NaN,85,NaN,92,NaN,NaN,89,94,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,95,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN
499310054,82,74,70,78,72,62,73,82,77,NaN,68,61,60,65,70,78,84,87,70,NaN,84,NaN,73,NaN,63,70,NaN,NaN,84,NaN,66,NaN,71,NaN,80,NaN,NaN,NaN,88,89,84,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,73
499310055,89,89,77,82,76,87,86,86,84,NaN,74,75,88,86,87,84,92,89,80,NaN,82,NaN,78,NaN,83,91,NaN,NaN,82,NaN,73,NaN,90,NaN,84,NaN,NaN,85,NaN,88,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,85,76,NaN
499310056,86,86,77,86,74,90,85,90,84,NaN,87,74,87,80,91,88,84,90,86,NaN,87,NaN,80,NaN,80,85,86,NaN,83,NaN,74,NaN,88,NaN,86,NaN,89,NaN,NaN,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72
