id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3101035@社會工作概論@1@1,3101054@心理學@1@1,3101888@學系服務學習@1@1,3102010@人類行為與社會環境@1@1,3101013@人口學@2@1,3101022@社會學（二）@2@1,3101024@經濟學（二）@2@1,3101034@社會福利概論（二）@2@1,3101888@學系服務學習@2@1,3102152@社會工作管理@2@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102135@法學緒論@1@1,3102157@高齡社會：機會與挑戰@1@1,3102162@社會團體工作@1@1,3101035@社會工作概論@2@1,3101051@社會心理學@2@1,3102016@社會問題@2@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102164@精神與智能障礙者的社區照顧@2@1,3103035@社會福利行政@2@1
404310045,78,79,75,NaN,NaN,86,NaN,76,69,72,70,NaN,-1,52,61,71,81,66,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404310046,81,83,79,60,83,NaN,NaN,NaN,87,90,77,85,-1,86,88,80,86,84,NaN,-1,-1,-1,-1,NaN,NaN,-1
404310047,77,77,72,NaN,70,86,NaN,NaN,60,73,58,NaN,-1,65,68,80,81,74,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404310048,89,81,82,NaN,77,NaN,NaN,88,80,79,68,85,-1,87,78,81,86,82,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404310049,89,86,78,78,89,86,82,93,96,93,83,NaN,-1,93,88,78,85,89,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310050,71,74,78,60,79,NaN,NaN,86,73,69,72,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404310051,84,91,79,67,83,86,84,93,91,93,74,NaN,-1,89,91,79,91,82,NaN,-1,-1,-1,-1,-1,NaN,NaN
404310052,87,83,84,NaN,90,NaN,NaN,85,96,89,84,85,-1,94,92,85,88,93,-1,NaN,-1,-1,-1,NaN,-1,NaN
404310053,NaN,76,75,NaN,NaN,70,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,68,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
404310055,NaN,87,77,NaN,NaN,84,NaN,NaN,-1,-1,-1,NaN,-1,76,82,81,83,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404310054,NaN,NaN,NaN,NaN,NaN,NaN,56,NaN,-1,-1,-1,NaN,-1,47,72,75,77,80,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
