id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302002@民法繼承@2@1,6303015@金融法@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302012@營業稅法@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6304016@著作權法@1@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302020@民法債編總論（二）@2@1,6302024@法學英文@2@1,6302025@所得稅法@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303020@信託法@2@1,6303042@破產法暨消費者債務清理條例@2@1,6304006@證券交易法@2@1
404630040,82,85,75,89,NaN,85,95,84,86,74,-1,NaN,70,87,91,77,81,NaN,84,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404630041,86,91,64,NaN,96,82,81,66,NaN,NaN,-1,71,85,85,89,77,70,NaN,88,68,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN
404630042,97,87,73,NaN,NaN,86,84,69,87,87,-1,NaN,88,84,85,80,81,NaN,85,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
404630043,89,87,69,87,92,87,97,76,86,NaN,-1,NaN,85,89,99,85,87,NaN,94,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
404630044,92,79,61,81,NaN,78,91,83,84,87,-1,NaN,69,78,NaN,76,80,60,81,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404630045,71,78,67,NaN,84,84,95,78,NaN,NaN,70,NaN,80,85,88,89,84,91,87,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN
404630046,89,87,92,NaN,85,78,84,66,NaN,50,-1,NaN,80,80,99,78,84,90,81,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
404630047,95,89,74,87,92,93,95,60,88,NaN,-1,NaN,95,82,90,86,83,99,92,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404630048,94,77,68,83,NaN,86,80,65,84,87,74,NaN,77,88,90,84,76,NaN,84,69,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
404630049,90,89,75,90,88,88,80,64,NaN,NaN,NaN,NaN,80,84,92,80,84,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404630050,65,87,76,NaN,NaN,-1,81,60,75,87,-1,NaN,80,73,NaN,65,70,NaN,66,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
404630051,80,79,79,NaN,90,64,89,60,NaN,NaN,81,-1,57,76,84,72,88,74,79,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404630052,93,86,71,77,NaN,68,89,60,85,87,-1,NaN,74,79,70,77,63,77,77,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
404630053,88,93,62,83,92,90,87,64,82,NaN,-1,NaN,84,87,86,84,80,NaN,91,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN
404630054,81,81,62,87,NaN,82,85,84,NaN,87,-1,NaN,46,73,90,66,81,NaN,64,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
404630055,72,85,64,73,90,55,91,69,65,NaN,-1,NaN,82,67,NaN,79,77,NaN,83,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1
404630056,85,73,55,NaN,NaN,71,70,60,84,64,63,NaN,65,82,NaN,74,73,NaN,75,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN
404630059,96,82,NaN,NaN,91,-1,-1,NaN,-1,NaN,-1,NaN,85,80,NaN,76,68,73,85,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
