id,5205001@組織理論與管理@1@1,5205004@人力資源管理@1@1,5205006@行銷管理@1@1,5205008@財務管理@1@1,5205016@運籌管理@1@1,5205069@消費者行為@1@1,5205097@服務業行銷管理@1@1,5205110@組織學習@1@1,5205127@決策分析@1@1,5205159@人文領導與企業倫理@1@1,5205002@研究方法@2@1,5205015@策略管理@2@1,5205054@管理科學@2@1,5205058@投資分析@2@1,5205106@組織發展@2@1,5205109@管理時事英文選讀@2@1,5205122@網路行銷@2@1,5205153@系統思考@2@1,5205199@人力資源發展@2@1,5205210@管理專案實習（一）@2@1,5205215@行銷文案寫作與溝通@2@1,5205216@企業實習@2@1,5206142@電腦套裝軟體應用@2@1,5205005@管理資訊系統@1@1,5205040@多變量分析@1@1,5205056@系統模擬@1@1,5205057@廣告管理@1@1,5205061@專案管理@1@1,5205067@國際企業@1@1,5205200@人力招募與甄選@1@1,5205205@管理專題講座@1@1,5205211@影像．故事．行銷創意@1@1,5205212@管理專案實習（二）@1@1,5205217@國際經營個案@1@1,5205146@環境與市場分析@2@1,5205158@金融市場與機構@2@1,5205203@國際人力資源管理@2@1,5205218@零售管理@2@1,5206200@財務與投資專題研討@2@1,5205164@品牌管理@1@1,5205209@企業形象與招募專題@1@1,5205219@高階財務管理@1@1,5205064@公司理財研討@2@1,5205107@國際財務管理@2@1
603520031,84,78,86,86,86,NaN,NaN,NaN,NaN,88,83,87,NaN,84,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,79,NaN,88,NaN,94,NaN,NaN,85,NaN,90,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520032,84,72,91,86,86,NaN,NaN,NaN,NaN,85,90,89,NaN,88,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,71,NaN,94,NaN,94,NaN,NaN,85,NaN,85,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520033,83,74,91,85,85,NaN,NaN,NaN,NaN,88,90,92,NaN,86,NaN,NaN,NaN,NaN,NaN,92,90,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,90,89,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520037,86,81,92,93,86,NaN,NaN,NaN,NaN,NaN,87,83,NaN,85,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,84,70,72,NaN,NaN,NaN,72,NaN,86,NaN,81,80,NaN,86,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
603520038,84,78,86,84,86,NaN,NaN,NaN,NaN,NaN,76,87,NaN,NaN,95,NaN,NaN,NaN,93,84,NaN,NaN,86,75,NaN,86,NaN,NaN,NaN,87,86,NaN,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520039,81,80,85,75,87,NaN,NaN,NaN,NaN,80,79,86,NaN,NaN,70,78,NaN,NaN,NaN,84,NaN,NaN,NaN,70,NaN,88,NaN,NaN,NaN,NaN,87,NaN,73,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520041,77,71,88,88,86,78,NaN,NaN,NaN,NaN,82,91,NaN,86,NaN,NaN,NaN,NaN,NaN,85,90,NaN,NaN,80,NaN,NaN,NaN,NaN,82,NaN,84,NaN,90,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN
603520047,83,74,NaN,95,92,NaN,NaN,NaN,NaN,NaN,93,93,93,NaN,NaN,80,NaN,NaN,NaN,82,NaN,85,85,80,81,NaN,NaN,NaN,94,NaN,85,NaN,90,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520050,81,76,90,87,86,NaN,NaN,NaN,NaN,NaN,85,81,NaN,85,NaN,NaN,NaN,NaN,NaN,88,90,90,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,84,88,73,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520051,78,75,86,85,89,NaN,NaN,NaN,NaN,NaN,78,85,NaN,86,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,88,70,NaN,86,NaN,93,NaN,NaN,82,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520052,84,81,89,75,86,80,NaN,NaN,NaN,83,94,96,NaN,86,NaN,NaN,96,NaN,NaN,88,92,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,73,76,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520053,80,78,87,88,85,NaN,NaN,NaN,NaN,NaN,91,86,NaN,86,NaN,NaN,NaN,NaN,NaN,83,90,89,NaN,70,NaN,NaN,86,NaN,NaN,NaN,82,NaN,79,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520054,81,80,91,87,88,NaN,NaN,NaN,NaN,87,88,90,NaN,NaN,NaN,83,NaN,NaN,NaN,84,90,NaN,NaN,72,NaN,NaN,90,NaN,NaN,NaN,84,88,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520055,83,81,86,70,84,77,NaN,NaN,NaN,NaN,86,82,76,NaN,NaN,NaN,94,NaN,NaN,82,90,91,NaN,80,NaN,NaN,NaN,NaN,86,NaN,84,NaN,80,84,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520056,85,76,88,82,85,NaN,NaN,74,NaN,80,87,89,NaN,NaN,70,80,NaN,NaN,NaN,86,NaN,90,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,90,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520049,76,75,87,86,89,NaN,NaN,NaN,NaN,NaN,84,71,80,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,88,70,NaN,90,NaN,NaN,82,NaN,75,NaN,76,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN
603520057,78,85,90,96,84,NaN,NaN,NaN,NaN,87,83,78,NaN,NaN,NaN,NaN,85,NaN,NaN,83,NaN,90,86,70,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN
603520021,84,92,93,88,94,NaN,NaN,NaN,NaN,NaN,88,88,80,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,95,74,77,92,93,NaN,NaN,NaN,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603520010,87,88,NaN,95,90,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,-1
