id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901009@專長術科（一）-田徑@1@1,3901010@專長術科（一）-游泳@1@1,3901011@專長術科（一）-網球@1@1,3901012@專長術科（一）-羽球@1@1,3901014@專長術科（一）-跆拳道@1@1,3901015@專長術科（一）-射箭@1@1,3901016@專長術科（一）-定向越野@1@1,3901025@專長術科（一）-綜合@1@1,3901101@運動心理學@1@1,3901109@撞球@1@1,3901888@學系服務學習@1@1,3902001@運動訓練法@1@1,3902105@運動社會學@1@1,3902112@國術@1@1,3903105@運動行銷學@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3904103@體育統計學@1@1,3904108@運動裁判法@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901017@專長術科（二）-田徑@2@1,3901018@專長術科（二）-游泳@2@1,3901019@專長術科（二）-網球@2@1,3901020@專長術科（二）-羽球@2@1,3901022@專長術科（二）-跆拳道@2@1,3901023@專長術科（二）-射箭@2@1,3901024@專長術科（二）-定向越野@2@1,3901026@專長術科（二）-綜合@2@1,3901102@運動教育學@2@1,3901103@體育學原理@2@1,3901888@學系服務學習@2@1,3902104@應用運動生理學@2@1,3902106@運動管理學@2@1,3903101@體適能與運動處方@2@1,3903104@運動營養學@2@1,3903112@游泳@2@1,3903114@網球@2@1,3903117@有氧舞蹈@2@1,3904117@羽球@2@1,3904118@體育課程設計@2@1
405736019,85,82,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,68,70,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,90,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405736020,88,90,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405736021,95,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,85,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
405736022,92,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,85,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405736023,90,90,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405736024,78,84,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
405736026,78,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN
405736027,70,81,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
405736028,70,75,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,87,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405736029,77,81,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,80,70,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,84,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405736030,78,82,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405736032,75,82,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,82,NaN,82,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405736033,80,83,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405736034,93,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,78,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405736035,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,73,NaN,70,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,86,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405736036,75,83,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,88,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405736037,95,82,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,66,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405736038,83,80,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
