id,5261104@初級會計學（一）@1@1,5261888@學系服務學習@1@1,5261105@初級會計學（二）@2@1,5261608@資料庫管理@2@1,5261888@學系服務學習@2@1,5262100@中級會計學（一）@1@1,5262207@採購管理@1@1,5263504@租稅法規@1@1,5263605@企業資源規劃@1@1,5263613@政府會計@1@1,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262300@系統分析與設計@2@1,5263109@審計學（一）@2@1,5263102@高級會計學（一）@1@1,5263106@成本及管理會計學（二）@1@1,5263615@中級會計學(三)@1@1,5264001@審計學（二）@1@1,5264002@財務報表分析@1@1,5264017@電子商務@1@1,5264020@資訊安全與管理@1@1,5261105@初級會計學（二）@2@3,5263002@企業分析與評價@2@1,5263108@高級會計學（二）@2@1,5264000@會計資訊系統@2@1,5262203@公司法@1@1,5262407@統計學（二）@1@1,5263001@中級會計學(三)@1@1,5264019@電腦審計@1@1,5261611@商用軟體應用與設計@2@1,5262205@政府會計@2@1,5262208@網頁應用與程式設計@2@1
402526039,90,90,79,72,NaN,76,82,60,84,NaN,62,83,77,72,77,71,NaN,93,78,NaN,84,NaN,NaN,-1,90,NaN,NaN,88,82,NaN,NaN,-1
402526040,96,NaN,91,83,95,83,90,76,91,NaN,84,75,85,86,73,82,84,90,89,NaN,85,NaN,95,77,88,76,NaN,NaN,92,NaN,-1,NaN
402526041,81,90,91,70,NaN,72,87,76,88,75,79,78,86,92,81,76,80,88,84,NaN,78,NaN,96,88,90,NaN,NaN,NaN,79,NaN,NaN,NaN
402526042,86,NaN,98,73,95,81,83,69,77,NaN,71,68,83,84,78,82,82,77,72,NaN,83,NaN,88,81,87,60,NaN,NaN,80,NaN,NaN,NaN
402526043,82,90,95,73,NaN,76,73,75,76,NaN,78,74,70,76,88,79,77,73,77,NaN,80,NaN,78,76,83,69,92,NaN,85,NaN,-1,NaN
402526044,77,NaN,91,64,95,68,76,65,67,NaN,71,74,74,66,61,71,70,76,82,NaN,74,NaN,81,60,84,NaN,94,NaN,85,NaN,-1,-1
402526045,71,90,82,60,NaN,71,78,64,69,67,65,66,76,73,82,76,NaN,80,71,NaN,78,NaN,NaN,-1,90,NaN,NaN,87,84,NaN,NaN,NaN
402526046,75,NaN,81,60,95,65,81,60,84,NaN,75,75,79,76,79,68,64,77,75,83,87,NaN,NaN,60,98,NaN,NaN,NaN,80,NaN,NaN,NaN
402526047,74,90,68,69,NaN,63,76,87,78,60,68,60,75,83,74,75,64,84,75,NaN,79,NaN,NaN,73,83,NaN,NaN,NaN,81,NaN,NaN,-1
402526048,75,NaN,76,73,95,64,84,61,92,NaN,91,75,92,93,89,83,84,87,80,NaN,79,NaN,NaN,78,88,NaN,NaN,NaN,79,NaN,-1,NaN
402526049,69,90,76,71,NaN,62,87,74,83,NaN,62,65,82,71,68,68,62,71,60,NaN,79,NaN,83,-1,90,60,NaN,NaN,74,NaN,NaN,NaN
402526050,83,NaN,89,68,95,71,72,60,81,NaN,69,79,71,60,67,73,56,73,67,NaN,74,NaN,84,60,83,NaN,NaN,89,85,NaN,-1,NaN
402526052,91,NaN,98,82,95,86,91,71,76,NaN,85,86,83,95,85,79,79,88,80,NaN,87,NaN,NaN,75,86,64,NaN,NaN,88,NaN,NaN,NaN
402526053,71,90,64,71,NaN,75,79,63,83,NaN,60,76,78,67,56,64,NaN,70,65,NaN,79,NaN,NaN,-1,88,60,NaN,79,81,NaN,-1,NaN
402526054,99,NaN,98,87,95,86,88,82,91,NaN,91,96,85,77,92,91,84,80,65,NaN,76,NaN,93,76,83,NaN,NaN,NaN,82,NaN,NaN,NaN
402526055,95,90,99,84,NaN,97,91,82,87,NaN,97,98,89,97,99,95,92,98,92,NaN,83,NaN,95,91,86,NaN,NaN,NaN,91,NaN,-1,NaN
402526056,99,NaN,99,86,95,89,82,79,90,NaN,96,98,81,95,99,98,93,87,83,NaN,81,NaN,97,99,90,71,NaN,NaN,84,-1,NaN,NaN
402526001,NaN,90,40,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402526059,NaN,90,NaN,87,NaN,68,75,94,94,75,79,78,80,79,79,77,85,81,74,NaN,84,NaN,NaN,66,96,NaN,NaN,NaN,85,NaN,NaN,NaN
402526061,NaN,90,NaN,89,NaN,74,76,87,80,68,78,84,81,84,76,83,80,83,72,NaN,79,NaN,NaN,69,86,NaN,NaN,NaN,86,-1,NaN,NaN
402526058,NaN,NaN,NaN,76,90,75,80,75,88,NaN,76,86,74,71,73,77,77,90,82,NaN,75,NaN,NaN,68,88,NaN,NaN,NaN,85,NaN,NaN,NaN
