id,1101211@詩選及習作（一）@1@1,1101311@語言學概論（一）@1@1,1101411@國學導讀（一）@1@1,1101546@西遊記@1@1,1101811@文學概論（一）@1@1,1101888@學系服務學習@1@1,1102041@書法與篆刻美學（一）@1@1,1102145@莊子@1@1,1102514@詩經@1@1,1102916@文學與劇場改編@1@1,1103260@魯迅文學作品選讀@1@1,1103411@禮記（一）@1@1,1101083@寫作指導@2@1,1101212@詩選及習作（二）@2@1,1101312@語言學概論（二）@2@1,1101412@國學導讀（二）@2@1,1101812@文學概論（二）@2@1,1101825@儒家文獻選讀@2@1,1101888@學系服務學習@2@1,1101933@書道與日常應用@2@1,1102124@經學史@2@1,1102540@漢籍英譯選讀@2@1,1102613@左傳@2@1,1103412@禮記（二）@2@1,1103626@文學、電影與大陸當代戲劇@2@1,1103826@周易@2@1,1104761@音樂文創與文案書寫@2@1,1101613@民間文學@1@1,1101934@書法基礎入門@1@1,1101951@茶道與文學@1@1,1102011@文字學（一）@1@1,1102051@水墨創作@1@1,1102523@現代小說@1@1,1102525@唐人小說選讀@1@1,1102615@史傳名著選讀@1@1,1102661@台灣現代主義小說選讀@1@1,1102711@歷代文選及習作（一）@1@1,1102720@詞選及習作@1@1,1102823@老子@1@1,1103311@聲韻學（一）@1@1,1103417@大戴禮記@1@1,1103628@華文戲劇選讀@1@1,1103705@詞選及習作@1@1,1103830@陰陽五行文獻選讀@1@1,1101520@現代散文@2@1,1101617@閩南俗曲@2@1,1101935@書道與視覺設計@2@1,1102012@文字學（二）@2@1,1102033@佛學概論@2@1,1102043@篆刻藝術@2@1,1102161@論語：孔子全傳@2@1,1102510@曲選及習作@2@1,1102633@現代詩@2@1,1102712@歷代文選及習作（二）@2@1,1102917@當代戲劇文本與實驗劇場@2@1,1103151@民俗學概論@2@1,1103204@金瓶梅@2@1,1103249@當代文學思潮@2@1,1103312@聲韻學（二）@2@1,1103703@曲選及習作@2@1,1103752@專家詞：蘇東坡詞@2@1,1103910@應用文書寫作@2@1,1104148@紅樓夢@2@1,1104224@楚辭@2@1,1104511@台灣文學史@2@1,1104612@張愛玲小說選讀@2@1,1101084@寫作指導：散文@1@1,1101618@臺灣民俗（一）@1@1,1101846@戲劇概論@1@1,1102052@水墨創作：山水@1@1,1102270@神話學@1@1,1102636@現代詩與文化創意@1@1,1103021@中國文學史（一）@1@1,1103111@中國思想史（一）@1@1,1103271@日本漢學史@1@1,1103333@古文字學@1@1,1103826@周易@1@1,1103951@民俗文獻選讀@1@1,1103958@劇本創作實務（一）@1@1,1104611@當代文化思潮@1@1,1101113@中國哲學概論@2@1,1101619@臺灣民俗（二）@2@1,1102125@經學史：當代詮釋@2@1,1102153@史記@2@1,1102162@孟子：雄辯身影@2@1,1102918@大陸現當代文學電影@2@1,1103022@中國文學史（二）@2@1,1103112@中國思想史（二）@2@1,1103255@西方現代文學理論@2@1,1103421@左傳@2@1,1103521@六朝志怪小說@2@1,1103815@現代成長小說選讀@2@1,1103834@法家與時代轉型@2@1,1103913@書寫、影像與編輯@2@1,1103959@劇本創作實務（二）@2@1,1104218@東周列國志@2@1
403110034,82,90,70,82,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110035,86,NaN,86,86,81,92,NaN,NaN,90,NaN,NaN,NaN,88,78,NaN,85,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,88,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,76,91,NaN,93,85,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,85,NaN,77,NaN,NaN,85,NaN,-1,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,60,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403110036,80,80,70,90,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,70,80,63,NaN,94,NaN,NaN,NaN,NaN,NaN,82,NaN,85,NaN,NaN,NaN,75,90,NaN,NaN,NaN,NaN,91,85,NaN,83,NaN,90,NaN,NaN,NaN,NaN,NaN,80,NaN,93,NaN,NaN,NaN,87,70,NaN,NaN,NaN,-1,87,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,93,NaN,NaN,65,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110037,84,NaN,74,82,71,92,NaN,NaN,85,NaN,85,NaN,70,69,NaN,73,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,69,80,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,-1,NaN,73,NaN,61,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,90,NaN,85,81,77,NaN,NaN,NaN,NaN,NaN,76,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403110038,73,NaN,68,NaN,70,NaN,79,60,NaN,NaN,NaN,NaN,NaN,69,NaN,80,61,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110039,87,65,62,68,88,92,81,60,NaN,NaN,84,NaN,60,92,72,79,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,69,90,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,94,85,75,88,65,NaN,NaN,NaN,NaN,-1,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110040,85,NaN,89,90,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,85,NaN,96,83,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,89,NaN,76,90,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,-1,93,86,93,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,84,80,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110041,78,NaN,66,64,76,92,NaN,NaN,NaN,NaN,NaN,NaN,50,63,NaN,74,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,66,NaN,NaN,NaN,75,75,NaN,60,NaN,NaN,NaN,NaN,87,NaN,NaN,66,NaN,93,NaN,78,86,73,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,93,68,63,NaN,NaN,70,NaN,NaN,76,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403110042,80,NaN,77,77,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,78,NaN,77,83,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,86,85,85,75,NaN,93,NaN,NaN,NaN,NaN,83,NaN,NaN,75,NaN,96,NaN,79,NaN,70,NaN,77,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,68,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
403110043,82,NaN,61,77,71,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,74,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,79,NaN,NaN,86,74,82,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,-1,NaN,82,87,70,NaN,NaN,NaN,NaN,-1,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,76,NaN,90,71,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403110045,78,88,76,NaN,87,92,86,NaN,73,NaN,NaN,NaN,88,90,NaN,80,71,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,84,NaN,NaN,NaN,72,80,NaN,77,NaN,NaN,NaN,NaN,89,NaN,NaN,75,NaN,NaN,NaN,87,NaN,67,NaN,NaN,84,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,47,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110047,64,NaN,62,NaN,74,92,NaN,NaN,NaN,NaN,86,NaN,NaN,61,NaN,71,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,62,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,85,72,63,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,-1,NaN
403110048,84,NaN,81,93,73,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,87,NaN,84,86,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,82,NaN,86,NaN,NaN,65,NaN,NaN,85,NaN,85,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,72,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,88,69,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403110049,83,78,88,81,76,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,70,88,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,78,NaN,84,82,76,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,92,NaN,84,91,67,NaN,NaN,NaN,75,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403110050,85,NaN,80,90,84,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,78,NaN,79,74,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,92,NaN,NaN,NaN,NaN,81,70,NaN,95,NaN,NaN,NaN,85,NaN,NaN,NaN,78,NaN,-1,NaN,86,NaN,69,90,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,90,93,NaN,NaN,74,74,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403110051,85,NaN,NaN,NaN,73,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110052,82,75,71,80,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,77,72,61,78,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,88,NaN,NaN,80,NaN,74,87,NaN,96,NaN,NaN,NaN,NaN,89,NaN,NaN,72,NaN,90,NaN,63,87,83,NaN,NaN,NaN,77,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,72,92,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110053,81,NaN,83,87,85,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,94,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403110054,85,NaN,68,76,79,NaN,NaN,91,81,NaN,NaN,90,NaN,77,NaN,68,76,72,94,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,83,63,NaN,76,93,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,86,NaN,NaN,79,NaN,NaN,77,NaN,86,78,NaN,NaN,NaN,NaN,NaN,81,85,NaN,NaN,NaN,92,NaN,74,82,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
403110002,78,NaN,78,78,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,82,73,77,94,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,87,86,NaN,83,78,76,NaN,83,NaN,NaN,NaN,NaN,NaN,65,NaN,76,NaN,NaN,86,79,NaN,60,NaN,NaN,79,77,-1,NaN,79,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89,NaN,NaN,71,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403110022,NaN,NaN,75,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
