id,1101083@寫作指導@1@1,1101113@中國哲學概論@1@1,1101311@語言學概論（一）@1@1,1101411@國學導讀（一）@1@1,1101617@閩南俗曲@1@1,1101711@神話學（一）@1@1,1101811@文學概論（一）@1@1,1101888@學系服務學習@1@1,1101915@書法（一）@1@1,1103621@當代戲曲@1@1,1104150@古典崑劇與當代展演@1@1,1101312@語言學概論（二）@2@1,1101412@國學導讀（二）@2@1,1101520@現代散文@2@1,1101523@魯迅文學作品選讀@2@1,1101538@中國寓言選讀@2@1,1101543@中國小說選@2@1,1101712@神話學（二）@2@1,1101812@文學概論（二）@2@1,1101841@戲曲名家劇作研讀@2@1,1101888@學系服務學習@2@1,1101916@書法（二）@2@1,1102124@經學史@2@1,1103340@書法史@2@1,1103622@製作與展演@2@1,1103623@經典與改編：跨文化戲劇閱讀@2@1,1103815@現代成長小說選讀@2@1,1101821@儒家文獻選讀（一）@1@1,1101845@現代歐美劇場文本選讀@1@1,1102011@文字學（一）@1@1,1102021@中國文學史（一）@1@1,1102028@書法美學@1@1,1102123@經學通論@1@1,1102511@詩選及習作（一）@1@1,1102523@現代小說@1@1,1102615@史傳名著選讀@1@1,1102653@歐美漢學史@1@1,1102711@歷代文選及習作（一）@1@1,1102915@戲劇製作@1@1,1103624@現代中國戲劇@1@1,1103951@民俗文獻選讀@1@1,1101822@儒家文獻選讀（二）@2@1,1102012@文字學（二）@2@1,1102022@中國文學史（二）@2@1,1102029@篆刻美學@2@1,1102145@莊子@2@1,1102150@史記@2@1,1102512@詩選及習作（二）@2@1,1102514@詩經@2@1,1102613@左傳@2@1,1102712@歷代文選及習作（二）@2@1,1104151@深入經典－桃花扇@2@1,1104152@畢業製作與展演@2@1,1104735@專家詞：蘇東坡詞@2@1,1104950@文物精品與文化中國@2@1,1101123@兒童哲學與故事講述@1@1,1101613@民間文學@1@1,1102041@書法與篆刻美學（一）@1@1,1102314@客家語概論@1@1,1103111@中國思想史（一）@1@1,1103311@聲韻學（一）@1@1,1103411@禮記（一）@1@1,1103626@文學、電影與大陸當代戲劇@1@1,1103705@詞選及習作@1@1,1103827@周易@1@1,1103829@陰陽五行文獻選讀@1@1,1103940@文獻學@1@1,1103952@劇本創作實務@1@1,1104142@明清傳奇與崑劇@1@1,1104218@東周列國志@1@1,1102042@書法與篆刻美學（二）@2@1,1102313@閩南語概論@2@1,1102525@唐人小說選讀@2@1,1103112@中國思想史（二）@2@1,1103200@明清小說@2@1,1103249@當代文學思潮@2@1,1103255@西方現代文學理論@2@1,1103312@聲韻學（二）@2@1,1103412@禮記（二）@2@1,1103703@曲選及習作@2@1,1103736@專家詩：蘇東坡詩@2@1,1103828@宋明理學@2@1,1103953@社會問題與劇本創作@2@1,1104113@禪宗思想導讀@2@1,1102030@詩與畫：文學閱讀與圖像觀看@1@1,1102145@莊子@1@1,1102514@詩經@1@1,1102916@文學與劇場改編@1@1,1103141@中國俗文學（一）@1@1,1103260@魯迅文學作品選讀@1@1,1103521@六朝志怪小說@1@1,1103613@中國戲劇選讀@1@1,1103627@西方戲劇選讀@1@1,1103954@劇本寫作與搬演@1@1,1103955@社會關懷與劇場應用@1@1,1104125@韓非子@1@1,1104219@左氏春秋@1@1,1104313@訓詁學@1@1,1104611@當代文化思潮@1@1,1101083@寫作指導@2@1,1101933@書道與日常應用@2@1,1102154@國語@2@1,1102540@漢籍英譯選讀@2@1,1103142@中國俗文學（二）@2@1,1103225@文學批評@2@1,1103522@聊齋誌異選讀@2@1,1103626@文學、電影與大陸當代戲劇@2@1,1103940@文獻學@2@1,1103956@劇本創作實務@2@1,1104154@中國話劇選讀@2@1,1104761@音樂文創與文案書寫@2@1,1101934@書法基礎入門@1@1,1102051@水墨創作@1@1,1102661@台灣現代主義小說選讀@1@1,1102823@老子@1@1,1103417@大戴禮記@1@1,1102033@佛學概論@2@1
400110002,85,NaN,66,64,NaN,55,87,NaN,NaN,NaN,NaN,91,69,79,NaN,NaN,85,NaN,71,NaN,80,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,66,72,NaN,NaN,71,NaN,85,NaN,69,NaN,NaN,NaN,NaN,60,60,NaN,NaN,NaN,72,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,60,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,34,43,NaN,NaN,NaN,63,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,67,NaN,89,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110004,88,70,75,80,68,78,83,NaN,85,NaN,NaN,81,40,40,34,46,NaN,51,44,NaN,80,73,NaN,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110005,75,73,29,72,NaN,75,69,59,NaN,NaN,NaN,0,62,68,74,63,88,0,63,NaN,80,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,54,62,NaN,NaN,52,68,0,NaN,10,NaN,NaN,NaN,NaN,60,53,NaN,45,NaN,NaN,26,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110008,90,82,73,83,NaN,85,88,NaN,NaN,NaN,NaN,NaN,74,90,84,87,80,NaN,71,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,84,NaN,NaN,87,NaN,88,NaN,75,NaN,NaN,NaN,NaN,78,84,NaN,NaN,88,78,81,86,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,84,85,NaN,92,NaN,94,NaN,87,NaN,88,NaN,NaN,78,88,NaN,95,NaN,90,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110009,90,85,69,81,NaN,79,78,60,NaN,NaN,NaN,NaN,80,88,85,93,89,NaN,90,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,78,84,NaN,80,NaN,90,85,89,NaN,NaN,NaN,NaN,87,81,86,NaN,NaN,78,NaN,84,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,86,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,87,NaN,NaN,86,90,NaN,88,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110015,87,NaN,NaN,81,NaN,75,88,60,76,82,NaN,NaN,67,89,NaN,NaN,90,NaN,71,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,72,60,NaN,NaN,76,84,50,NaN,66,85,87,NaN,NaN,69,63,NaN,NaN,NaN,80,NaN,NaN,76,83,86,NaN,NaN,84,83,NaN,NaN,70,74,NaN,NaN,90,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,64,NaN,90,84,72,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,85,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110017,84,NaN,NaN,86,NaN,NaN,86,60,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,90,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110019,84,NaN,77,83,NaN,69,66,60,NaN,NaN,NaN,NaN,71,90,NaN,91,88,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,79,84,NaN,88,NaN,86,84,84,NaN,NaN,NaN,NaN,86,75,92,NaN,90,77,86,85,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,86,NaN,NaN,91,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,89,82,NaN,NaN,NaN,91,NaN,93,93,NaN,NaN,NaN,89,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,88,NaN,NaN,NaN,92,NaN,82,NaN,92,NaN,90,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
400110020,85,NaN,65,80,NaN,73,89,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,92,89,NaN,82,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,86,NaN,NaN,84,92,86,83,73,NaN,NaN,NaN,NaN,81,70,NaN,NaN,82,65,NaN,86,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,83,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,85,77,NaN,NaN,79,NaN,84,82,NaN,NaN,NaN,NaN,NaN,89,NaN,83,86,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,85,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
400110022,75,NaN,NaN,84,NaN,90,77,NaN,71,NaN,NaN,NaN,60,80,77,NaN,75,69,76,NaN,80,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,62,68,NaN,NaN,73,79,NaN,NaN,83,NaN,NaN,NaN,NaN,67,60,NaN,50,NaN,81,NaN,65,77,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,68,66,60,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,78,NaN,62,70,76,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,79,80,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110025,88,79,72,83,NaN,NaN,85,60,NaN,NaN,NaN,NaN,65,86,NaN,84,82,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,79,NaN,NaN,72,NaN,84,NaN,70,NaN,NaN,NaN,NaN,74,72,NaN,NaN,81,75,NaN,86,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,77,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,56,62,NaN,NaN,NaN,65,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
400110033,70,NaN,NaN,75,NaN,NaN,68,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110034,84,NaN,81,75,NaN,50,86,NaN,NaN,NaN,NaN,NaN,73,NaN,84,81,85,NaN,67,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,78,82,NaN,74,NaN,70,76,74,NaN,NaN,NaN,NaN,69,66,NaN,NaN,NaN,67,NaN,75,84,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,72,78,NaN,NaN,71,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,72,75,NaN,NaN,73,70,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110037,84,84,NaN,87,NaN,70,82,60,NaN,NaN,NaN,NaN,73,NaN,85,NaN,89,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,78,84,NaN,83,84,NaN,83,74,NaN,NaN,NaN,NaN,88,78,93,NaN,87,84,NaN,89,79,83,NaN,NaN,NaN,88,NaN,NaN,NaN,78,84,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,87,98,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110039,86,65,NaN,72,NaN,NaN,81,60,NaN,NaN,NaN,NaN,63,81,79,78,83,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,72,85,NaN,77,NaN,85,83,77,NaN,NaN,NaN,NaN,75,70,80,NaN,81,78,NaN,84,75,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,76,77,87,NaN,80,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,72,76,NaN,NaN,73,85,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110042,86,NaN,77,89,NaN,NaN,83,NaN,86,NaN,NaN,NaN,74,NaN,85,87,89,NaN,81,NaN,80,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110044,85,NaN,NaN,85,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,69,85,NaN,NaN,84,NaN,69,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110046,50,10,7,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110047,85,NaN,73,86,NaN,87,85,60,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,89,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,81,NaN,NaN,86,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,81,73,NaN,NaN,84,86,NaN,86,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,91,90,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,94,NaN,85,93,84,93,NaN,NaN,NaN,88,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110014,NaN,82,63,85,NaN,78,84,NaN,NaN,NaN,NaN,NaN,67,88,82,90,90,NaN,86,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,71,NaN,NaN,74,81,NaN,NaN,77,NaN,NaN,NaN,NaN,74,72,NaN,NaN,80,76,75,87,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,61,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,68,80,NaN,NaN,70,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,80,NaN,NaN,NaN,NaN,NaN,78,76,86,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
400110018,NaN,80,82,86,NaN,84,75,NaN,NaN,NaN,NaN,NaN,75,89,83,89,88,NaN,81,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,80,NaN,NaN,89,85,NaN,NaN,77,NaN,NaN,NaN,NaN,78,72,NaN,NaN,86,83,NaN,88,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,90,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,86,78,NaN,NaN,NaN,92,NaN,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,78,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110021,NaN,81,64,79,NaN,76,80,60,77,NaN,NaN,NaN,76,86,NaN,84,NaN,85,80,NaN,NaN,88,92,NaN,NaN,NaN,NaN,NaN,NaN,78,83,92,NaN,80,85,NaN,85,84,NaN,NaN,NaN,NaN,74,73,86,NaN,85,84,75,88,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,83,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,80,NaN,78,NaN,68,NaN,92,NaN,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110024,NaN,78,NaN,83,NaN,93,86,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,85,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,72,NaN,NaN,62,85,NaN,83,82,NaN,NaN,NaN,NaN,76,69,NaN,NaN,86,71,NaN,88,67,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,87,71,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,95,83,81,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65
400110027,NaN,77,60,79,NaN,81,66,60,72,NaN,NaN,NaN,64,87,85,75,80,54,74,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,60,66,78,NaN,65,80,NaN,83,77,NaN,NaN,NaN,NaN,60,69,83,NaN,77,74,NaN,83,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,71,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,89,NaN,64,NaN,80,80,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,4,NaN,NaN
400110029,NaN,88,67,82,NaN,80,86,60,NaN,NaN,NaN,NaN,61,86,NaN,NaN,86,76,76,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,77,87,NaN,NaN,86,NaN,NaN,83,76,NaN,NaN,NaN,NaN,73,75,NaN,NaN,85,76,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,85,75,NaN,NaN,79,73,NaN,76,NaN,NaN,NaN,87,NaN,NaN,76,76,NaN,87,75,NaN,80,NaN,73,NaN,NaN,NaN,NaN,75,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110032,NaN,88,NaN,76,NaN,70,86,NaN,NaN,NaN,NaN,NaN,71,73,NaN,NaN,NaN,80,67,66,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,65,NaN,NaN,53,80,NaN,38,62,NaN,NaN,NaN,NaN,60,68,NaN,0,NaN,8,40,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,64,NaN,NaN,40,72,73,67,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,0,47,NaN,0,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110035,NaN,71,NaN,90,NaN,NaN,85,60,NaN,NaN,NaN,NaN,85,83,NaN,NaN,75,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,69,NaN,NaN,71,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,82,74,NaN,NaN,79,95,65,78,73,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,80,82,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,57,89,NaN,84,86,84,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,76,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110036,NaN,84,NaN,86,NaN,88,85,NaN,NaN,NaN,NaN,NaN,80,86,NaN,NaN,NaN,86,85,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,79,89,NaN,84,84,NaN,86,82,NaN,NaN,NaN,NaN,79,73,90,NaN,81,82,83,90,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,88,NaN,NaN,89,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,87,89,NaN,88,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
