id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352021@統計分析與應用@1@1,2352023@礦物與岩石學@1@1,2353023@地震教育@1@1,2352008@程式設計與應用@2@1,2352009@土壤力學@2@1,2352011@水文學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2353006@環境化學@2@1,2353036@地震預警與地震前兆@2@1,2354018@石油地質@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353033@專題研究（一）@1@1,2353035@有限差分法及其應用@1@1,2353037@震源與破裂過程@1@1,2354017@時序分析@1@1,2353005@大地測量@2@1,2353011@地球物理探勘@2@1,2353013@環境工程（一）@2@1,2353020@專題研究（二）@2@1,2353030@環境土壤學@2@1,2353038@沉積學@2@1,2354021@石油地質@2@1,2353039@統計分析與應用@1@1,2353040@台灣地質@1@1,2354009@環境工程（二）@1@1,2354019@野外地球物理@1@1,2354021@石油地質@1@1,2352024@地磁學@2@1,2354017@時序分析@2@1
401235028,81,NaN,78,NaN,80,NaN,86,80,70,74,NaN,69,65,63,64,NaN,68,NaN,NaN,76,66,NaN,80,87,65,NaN,NaN,71,NaN,77,NaN,76,NaN,NaN,86,NaN,85,61,NaN,NaN,NaN,76,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235029,60,83,NaN,93,81,91,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235030,73,NaN,85,NaN,78,NaN,88,90,74,61,NaN,77,60,79,76,84,74,85,55,69,50,NaN,73,78,NaN,NaN,66,70,70,78,NaN,78,NaN,82,90,79,74,65,71,NaN,NaN,75,86,NaN,81,NaN,NaN,NaN,71,NaN
401235031,70,NaN,NaN,90,76,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235033,93,86,NaN,93,89,93,NaN,NaN,90,75,NaN,80,78,76,78,NaN,90,NaN,92,63,NaN,82,84,81,NaN,NaN,77,84,84,88,93,90,NaN,NaN,90,NaN,78,NaN,89,NaN,70,NaN,85,NaN,NaN,90,NaN,NaN,NaN,NaN
401235034,61,NaN,71,NaN,81,78,NaN,95,85,67,78,NaN,NaN,34,64,87,50,66,64,63,60,51,67,60,NaN,NaN,NaN,72,75,68,NaN,NaN,83,NaN,94,82,63,63,NaN,82,NaN,71,83,62,70,90,NaN,NaN,NaN,NaN
401235035,81,NaN,85,89,77,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235036,78,81,NaN,NaN,90,NaN,84,90,60,69,78,71,60,80,83,85,70,NaN,50,69,29,72,72,68,NaN,NaN,NaN,84,NaN,81,NaN,80,83,NaN,88,NaN,NaN,62,NaN,88,NaN,74,85,NaN,78,NaN,NaN,NaN,NaN,NaN
401235037,71,NaN,85,93,76,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235038,70,88,NaN,NaN,84,91,NaN,95,71,83,73,70,60,54,60,NaN,63,63,61,62,70,NaN,76,60,NaN,NaN,NaN,78,69,76,NaN,82,NaN,NaN,NaN,69,72,NaN,NaN,NaN,NaN,80,NaN,70,82,NaN,85,NaN,NaN,NaN
401235039,84,NaN,83,90,89,86,NaN,NaN,82,79,NaN,86,86,84,83,87,94,95,NaN,94,94,NaN,NaN,88,99,NaN,NaN,91,97,NaN,94,NaN,86,92,94,95,91,85,NaN,85,NaN,94,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235041,61,NaN,83,89,73,NaN,86,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235042,67,NaN,72,NaN,72,NaN,77,75,74,66,NaN,60,70,64,60,79,NaN,NaN,45,82,35,NaN,71,68,NaN,NaN,NaN,63,75,NaN,NaN,NaN,NaN,NaN,92,77,63,NaN,NaN,NaN,69,66,NaN,NaN,NaN,77,NaN,82,70,NaN
401235043,69,NaN,64,84,80,0,60,NaN,73,61,NaN,87,NaN,62,78,64,NaN,64,52,74,NaN,69,69,69,64,NaN,NaN,64,87,72,NaN,NaN,86,NaN,86,67,NaN,NaN,60,NaN,NaN,56,86,NaN,NaN,77,NaN,NaN,NaN,NaN
401235045,63,NaN,78,95,87,85,NaN,NaN,74,64,89,84,NaN,63,61,NaN,NaN,73,80,70,NaN,77,NaN,69,78,NaN,65,68,NaN,71,NaN,NaN,NaN,NaN,90,NaN,73,NaN,73,NaN,75,72,84,NaN,NaN,85,NaN,NaN,NaN,NaN
401235047,73,NaN,85,97,87,NaN,92,NaN,67,70,NaN,60,NaN,73,62,87,72,75,66,89,66,NaN,77,68,NaN,NaN,NaN,81,NaN,84,NaN,80,87,83,88,67,81,60,NaN,90,NaN,88,86,NaN,NaN,NaN,85,NaN,NaN,NaN
401235048,80,88,NaN,NaN,83,NaN,91,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235051,69,NaN,78,93,75,86,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235052,78,83,NaN,NaN,88,84,NaN,90,85,73,87,89,NaN,70,75,NaN,90,89,59,87,69,82,NaN,83,NaN,NaN,NaN,84,77,86,NaN,84,NaN,85,90,60,79,78,NaN,NaN,NaN,74,85,NaN,89,NaN,NaN,NaN,NaN,NaN
401235054,76,85,NaN,NaN,67,91,NaN,90,73,82,85,79,71,64,68,NaN,NaN,82,71,67,70,NaN,NaN,76,NaN,90,NaN,74,NaN,77,NaN,80,95,88,90,NaN,NaN,81,NaN,95,NaN,NaN,84,NaN,69,NaN,NaN,NaN,NaN,NaN
401235027,NaN,68,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235040,NaN,NaN,78,NaN,NaN,NaN,NaN,80,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235056,75,NaN,84,NaN,81,87,NaN,85,72,62,NaN,68,76,40,66,NaN,62,79,75,66,NaN,NaN,60,75,NaN,NaN,60,63,NaN,62,NaN,64,NaN,NaN,NaN,NaN,60,NaN,67,NaN,60,NaN,-1,61,NaN,81,NaN,NaN,55,-1
401235057,62,NaN,82,NaN,66,83,NaN,75,60,72,NaN,67,90,78,65,NaN,NaN,80,NaN,65,60,NaN,60,60,NaN,NaN,75,72,NaN,61,NaN,64,NaN,NaN,NaN,NaN,67,NaN,83,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN
401235058,85,NaN,88,NaN,76,89,NaN,90,NaN,68,NaN,72,80,69,91,82,89,78,66,86,76,NaN,69,67,NaN,NaN,NaN,68,NaN,73,NaN,69,87,NaN,NaN,NaN,NaN,62,NaN,87,60,NaN,NaN,NaN,86,NaN,NaN,82,NaN,NaN
401235059,66,NaN,84,NaN,64,86,NaN,95,60,65,NaN,74,65,68,73,79,70,70,75,66,NaN,NaN,64,60,NaN,NaN,NaN,64,73,NaN,NaN,NaN,NaN,NaN,84,NaN,68,NaN,60,NaN,67,NaN,NaN,NaN,NaN,83,NaN,NaN,62,NaN
