id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352011@水文學@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352021@統計分析與應用@1@1,2352023@礦物與岩石學@1@1,2353023@地震教育@1@1,2352008@程式設計與應用@2@1,2352009@土壤力學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2352024@地磁學@2@1,2353005@大地測量@2@1,2353006@環境化學@2@1,2353020@專題研究（二）@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353033@專題研究（一）@1@1,2353035@有限差分法及其應用@1@1,2353037@震源與破裂過程@1@1,2353039@統計分析與應用@1@1,2353040@台灣地質@1@1,2354017@時序分析@1@1,2354021@石油地質@1@1,2353011@地球物理探勘@2@1,2353013@環境工程（一）@2@1,2353030@環境土壤學@2@1,2353036@地震預警與地震前兆@2@1,2353038@沉積學@2@1,2354009@環境工程（二）@1@1,2354019@野外地球物理@1@1,2354017@時序分析@2@1,2354021@石油地質@2@1
402235023,66,NaN,86,95,77,NaN,86,NaN,60,60,72,64,79,NaN,23,71,NaN,NaN,50,79,NaN,NaN,81,98,86,67,NaN,NaN,72,NaN,NaN,83,87,NaN,NaN,84,63,70,NaN,NaN,NaN,65,87,NaN,-1,85,84,NaN,-1
402235024,72,81,NaN,NaN,84,90,NaN,80,73,80,81,NaN,77,89,19,66,78,62,NaN,72,74,60,88,NaN,78,69,88,NaN,74,NaN,81,NaN,70,NaN,NaN,88,83,85,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,-1
402235025,60,NaN,79,95,80,81,NaN,NaN,NaN,76,67,68,88,63,66,70,79,88,68,62,NaN,NaN,NaN,60,76,67,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,82,75,NaN,60,73,NaN,NaN,65,NaN,NaN,NaN,NaN
402235026,64,81,NaN,NaN,75,84,NaN,70,67,74,67,60,74,NaN,60,62,83,NaN,77,61,70,NaN,75,NaN,68,78,NaN,NaN,65,NaN,73,NaN,72,NaN,NaN,84,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402235027,60,NaN,82,70,64,NaN,60,NaN,53,64,67,NaN,71,NaN,NaN,61,83,-1,68,78,NaN,NaN,72,NaN,70,-1,NaN,NaN,60,75,NaN,68,60,NaN,NaN,81,74,85,NaN,79,NaN,NaN,NaN,NaN,65,74,85,NaN,NaN
402235028,99,70,NaN,NaN,68,80,NaN,75,95,60,74,NaN,NaN,60,7,81,68,96,72,66,60,65,NaN,80,NaN,60,92,NaN,60,68,NaN,NaN,82,92,90,NaN,77,65,NaN,NaN,NaN,73,60,NaN,NaN,NaN,86,NaN,NaN
402235029,46,NaN,84,65,62,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235031,66,NaN,86,95,73,NaN,86,NaN,90,76,63,NaN,75,88,41,61,82,80,86,82,60,NaN,74,93,NaN,-1,92,NaN,74,NaN,74,88,NaN,92,93,86,94,NaN,NaN,NaN,NaN,81,70,NaN,NaN,96,85,NaN,NaN
402235032,29,82,NaN,NaN,67,82,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235033,65,NaN,85,75,68,NaN,83,NaN,71,66,71,66,69,78,NaN,65,81,NaN,70,65,69,NaN,72,81,NaN,91,92,89,67,NaN,67,NaN,76,NaN,NaN,88,84,NaN,79,NaN,53,75,99,NaN,92,90,NaN,NaN,-1
