id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352023@礦物與岩石學@1@1,2353023@地震教育@1@1,2353031@地形學@1@1,2352008@程式設計與應用@2@1,2352009@土壤力學@2@1,2352011@水文學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2353006@環境化學@2@1,2353038@沉積學@2@1
404235002,71,NaN,83,NaN,94,79,NaN,90,75,74,93,NaN,76,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1,NaN
404235003,42,80,NaN,90,80,NaN,74,NaN,62,82,88,NaN,65,79,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN
404235004,75,NaN,89,NaN,82,74,NaN,85,60,68,92,NaN,80,76,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN
404235005,71,84,NaN,90,72,NaN,76,NaN,87,74,88,80,88,77,NaN,-1,NaN,NaN,-1,-1,NaN,-1,-1,NaN
404235006,60,NaN,87,NaN,84,87,NaN,80,68,72,77,78,70,80,NaN,-1,NaN,-1,-1,-1,NaN,-1,-1,NaN
404235007,63,80,NaN,90,72,NaN,66,NaN,66,68,78,60,73,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235009,60,75,NaN,90,70,NaN,61,NaN,22,60,60,NaN,65,70,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
404235011,87,81,NaN,90,76,NaN,82,NaN,54,76,80,61,67,83,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN
404235013,79,79,NaN,90,72,NaN,78,NaN,60,78,60,NaN,72,76,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
404235014,64,NaN,68,NaN,80,68,NaN,80,54,60,NaN,60,71,61,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404235015,78,76,NaN,85,85,NaN,63,NaN,60,74,60,NaN,67,68,72,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN
404235016,74,NaN,86,NaN,73,69,NaN,80,64,72,81,70,60,80,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN
404235018,60,NaN,75,NaN,78,67,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235019,67,80,NaN,80,80,NaN,75,NaN,67,76,72,64,64,80,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1,NaN
404235020,58,NaN,85,NaN,92,81,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235021,64,84,NaN,90,71,NaN,79,NaN,78,70,87,77,68,82,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN
404235023,60,82,NaN,90,77,NaN,74,NaN,NaN,66,NaN,NaN,55,76,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN
404235024,85,NaN,86,NaN,97,82,NaN,75,NaN,62,80,NaN,81,63,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404235025,60,88,NaN,80,84,NaN,83,NaN,70,62,60,81,69,68,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404235026,68,84,56,NaN,79,72,NaN,80,20,80,NaN,NaN,70,81,71,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1
404235027,61,86,NaN,90,74,NaN,82,NaN,63,56,74,NaN,61,74,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1,NaN
404235028,30,NaN,88,NaN,70,82,NaN,80,36,60,85,NaN,61,80,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN
404235029,74,83,NaN,90,87,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235030,21,NaN,70,NaN,70,60,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235031,15,77,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235032,50,78,49,NaN,75,64,NaN,80,NaN,64,66,60,49,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
404235034,74,NaN,85,NaN,91,82,NaN,90,63,68,87,88,70,86,NaN,-1,-1,NaN,-1,-1,-1,-1,-1,NaN
404235035,78,83,NaN,90,87,NaN,74,NaN,68,84,NaN,NaN,82,82,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1,NaN
404235036,52,NaN,74,NaN,76,64,NaN,90,60,66,60,75,67,75,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404235037,48,87,NaN,90,77,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235038,44,NaN,74,NaN,77,84,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235041,36,85,NaN,90,83,NaN,86,NaN,71,70,93,NaN,71,82,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN
404235042,39,NaN,75,NaN,73,70,NaN,30,60,70,60,70,70,61,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN
404235043,86,86,NaN,90,92,NaN,82,NaN,98,78,92,90,95,82,NaN,-1,-1,-1,-1,-1,-1,-1,-1,NaN
404235044,68,NaN,90,NaN,85,83,NaN,90,73,70,91,NaN,74,83,NaN,-1,-1,NaN,-1,-1,-1,-1,-1,NaN
404235045,48,83,NaN,90,83,NaN,83,NaN,67,74,94,NaN,61,79,NaN,-1,NaN,-1,-1,-1,-1,-1,-1,NaN
404235046,41,NaN,73,NaN,64,65,NaN,90,0,56,60,20,43,0,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404235047,74,83,NaN,90,83,NaN,80,NaN,61,64,90,NaN,76,80,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1,NaN
404235049,60,76,NaN,80,78,NaN,74,NaN,42,70,60,60,63,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404235050,60,NaN,83,NaN,78,77,NaN,80,74,64,87,60,68,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN
404235051,67,84,NaN,90,80,NaN,74,NaN,77,68,NaN,NaN,81,83,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN
404235052,34,NaN,75,NaN,74,56,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235017,NaN,82,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235053,NaN,77,NaN,80,70,69,NaN,NaN,60,64,60,20,42,63,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN
404235008,40,NaN,57,NaN,79,-1,NaN,-1,NaN,68,72,NaN,52,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN
404235010,30,NaN,82,NaN,70,68,NaN,80,39,60,75,NaN,48,62,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,NaN
404235012,NaN,NaN,61,NaN,72,52,NaN,75,NaN,68,76,62,48,65,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN
404235022,45,NaN,60,NaN,NaN,-1,NaN,-1,67,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235048,NaN,NaN,86,NaN,60,52,NaN,90,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404235057,99,85,NaN,NaN,NaN,-1,NaN,-1,84,70,81,90,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN
404235058,82,86,NaN,NaN,NaN,-1,NaN,-1,75,66,92,NaN,68,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,-1,NaN
