id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151033@西洋文學概論：希臘羅馬神話@1@1,1151035@西洋文學概論：歐洲文學@1@1,1151888@學系服務學習@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151034@西洋文學概論：聖經文學@2@1,1151036@西洋文學概論：文學導讀@2@1,1151888@學系服務學習@2@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152067@法文（三）@1@1,1152069@德文（三）@1@1,1152071@日文（三）@1@1,1152075@西班牙文（三）@1@1,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152068@法文（四）@2@1,1152070@德文（四）@2@1,1152072@日文（四）@2@1,1152076@西班牙文（四）@2@1,1152078@英語聽講（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154224@小說選讀@2@1,1154228@希臘戲劇@2@1,1151021@西洋文學概論（一）@1@1,1152101@德文（三）@1@1,1152103@西班牙文（三）@1@1,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153001@美國文學（一）@1@1,1153011@英國文學：中世紀@1@1,1154213@台灣與愛爾蘭－全球化下的兩個島嶼@1@1,1154235@奇幻文學選讀@1@1,1154251@第二/外語教學實作@1@1,1154252@多元文化主義與現代文學@1@1,1151022@西洋文學概論（二）@2@1,1152102@德文(四)@2@1,1152104@西班牙文(四)@2@1,1152106@法文(四)@2@1,1153002@美國文學（二）@2@1,1153012@英國文學：十八世紀@2@1,1154140@旅行與文學@2@1,1154168@翻譯@2@1,1154172@閱讀與討論@2@1,1154243@愛爾蘭戲劇@2@1,1154254@世紀末文學選讀@2@1,1154255@後現代小說與電影@2@1,1154099@戲劇與電影@1@1,1154222@媒體英文@1@1,1154223@旅遊英文@1@1,1154234@電腦輔助語言學習@1@1,1154246@西方戲劇：易卜生@1@1,1154247@閱讀愛爾蘭@1@1,1154248@戲劇演出與實務@1@1,1154091@言談分析@2@1,1154097@性別與閱讀@2@1,1154187@高階閱讀@2@1,1154257@媒體、閱讀與旅行@2@1,1154258@大眾小說@2@1,1154185@懸疑小說：偵探@1@1,1154261@雙語數位出版實作@1@1,1154091@言談分析@1@1,1154256@心理小說@2@1
400115032,NaN,86,NaN,NaN,NaN,NaN,75,NaN,NaN,81,NaN,76,NaN,NaN,85,NaN,NaN,NaN,NaN,76,NaN,NaN,73,72,NaN,88,65,NaN,81,NaN,NaN,NaN,NaN,77,NaN,88,NaN,81,NaN,81,NaN,72,NaN,NaN,NaN,NaN,66,NaN,85,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,73,87,88,NaN,NaN,NaN,NaN,NaN,NaN,82,75,NaN,75,NaN,77,NaN,NaN,NaN,NaN,63,NaN,91,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115035,NaN,88,NaN,60,90,NaN,NaN,86,NaN,NaN,NaN,73,88,NaN,90,NaN,71,94,NaN,NaN,86,NaN,NaN,77,NaN,NaN,81,75,NaN,NaN,NaN,90,NaN,NaN,NaN,89,NaN,86,NaN,78,75,NaN,NaN,NaN,92,NaN,NaN,NaN,90,NaN,73,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,86,80,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,82,NaN,82,NaN,NaN,NaN,NaN,87,85,NaN,NaN,87,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115037,NaN,88,NaN,NaN,NaN,81,65,NaN,NaN,76,76,NaN,88,NaN,90,NaN,NaN,NaN,NaN,86,NaN,NaN,84,NaN,90,NaN,84,NaN,83,NaN,NaN,NaN,NaN,75,92,NaN,NaN,80,NaN,77,NaN,87,NaN,NaN,NaN,NaN,77,87,NaN,NaN,76,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,73,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,89,93,NaN,75,NaN,NaN,NaN,NaN,NaN,95,92,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
400115038,NaN,88,NaN,NaN,NaN,82,66,NaN,NaN,77,72,NaN,NaN,NaN,90,NaN,NaN,NaN,90,82,NaN,NaN,83,73,NaN,87,66,NaN,86,NaN,NaN,NaN,NaN,78,86,NaN,NaN,76,NaN,74,NaN,85,NaN,NaN,NaN,NaN,77,88,NaN,NaN,74,88,93,NaN,NaN,NaN,NaN,NaN,91,73,76,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,84,NaN,NaN,NaN,84,NaN,NaN,88,NaN,88,NaN,98,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
400115040,NaN,86,NaN,NaN,93,NaN,84,NaN,NaN,86,80,NaN,NaN,NaN,88,NaN,NaN,95,NaN,88,NaN,NaN,92,82,NaN,90,84,NaN,NaN,76,NaN,88,NaN,70,93,NaN,NaN,NaN,83,90,NaN,NaN,86,NaN,86,NaN,76,89,NaN,NaN,80,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,86,88,87,89,NaN,NaN,NaN,NaN,NaN,NaN,87,87,NaN,NaN,NaN,85,NaN,84,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN
400115046,NaN,84,NaN,70,NaN,NaN,NaN,NaN,NaN,79,75,NaN,NaN,NaN,88,NaN,68,NaN,NaN,NaN,NaN,NaN,85,NaN,88,87,68,NaN,NaN,74,70,NaN,NaN,NaN,NaN,76,NaN,NaN,75,76,NaN,77,NaN,62,NaN,NaN,NaN,NaN,NaN,81,70,84,80,83,NaN,NaN,NaN,NaN,NaN,72,87,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115047,NaN,86,NaN,73,NaN,89,60,NaN,77,NaN,74,NaN,88,NaN,88,NaN,70,NaN,95,NaN,NaN,81,NaN,NaN,86,NaN,77,82,NaN,NaN,NaN,NaN,85,NaN,89,NaN,NaN,75,NaN,75,84,NaN,NaN,NaN,NaN,87,NaN,89,NaN,NaN,76,92,92,NaN,NaN,NaN,NaN,NaN,NaN,80,85,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,89,NaN,96,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
400115053,NaN,88,NaN,92,99,15,85,NaN,0,NaN,71,NaN,87,NaN,87,NaN,94,96,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,6,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115012,NaN,NaN,83,NaN,97,86,NaN,91,NaN,NaN,NaN,86,NaN,NaN,NaN,83,NaN,99,88,NaN,90,NaN,NaN,81,NaN,90,88,NaN,NaN,84,NaN,97,NaN,NaN,96,NaN,NaN,NaN,87,86,NaN,NaN,89,NaN,96,NaN,NaN,98,NaN,NaN,NaN,86,94,NaN,NaN,NaN,NaN,NaN,NaN,88,89,90,93,NaN,NaN,NaN,NaN,NaN,NaN,90,97,90,NaN,NaN,89,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
400115016,NaN,NaN,75,86,NaN,NaN,NaN,87,NaN,NaN,NaN,86,NaN,NaN,NaN,80,87,NaN,NaN,NaN,88,NaN,NaN,74,NaN,91,79,NaN,77,NaN,86,NaN,NaN,NaN,93,NaN,NaN,79,94,81,NaN,80,NaN,84,NaN,NaN,NaN,87,NaN,NaN,74,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,86,87,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,70,86,86,NaN,NaN,91,NaN,NaN,NaN,93,93,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
