id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201031@基礎物理數學@1@1,2201888@學系服務學習@1@1,2202011@應用數學（一）@1@1,2202060@近代物理@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202031@電磁學（一）@1@1,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2202060@近代物理@2@1,2203090@物理專題（一）@2@1,2201025@程式語言@1@1,2203006@近代物理實驗學@1@1,2203008@進階實驗技術@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203090@物理專題（一）@1@1,2204091@物理專題（二）@1@1,2201002@普通物理實驗（二）@2@10,2203005@進階光學實驗學@2@1,2203006@近代物理實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203071@應用電子學（一）@2@1,2204021@進階光學@2@1,2204091@物理專題（二）@2@1,2204092@物理專題（三）@2@1,2204001@固態物理導論（一）@1@1,2204010@基本粒子物理導論@1@1,2204092@物理專題（三）@1@1,2204093@物理專題（四）@1@1,2204040@原子分子物理導論@2@1,2204093@物理專題（四）@2@1
402220042,80,65,69,NaN,67,54,67,45,28,80,NaN,83,60,68,80,NaN,72,78,-1,76,NaN,85,68,NaN,70,66,NaN,NaN,NaN,NaN,NaN,81,-1,62,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402220043,98,80,83,70,80,74,76,70,50,NaN,95,NaN,74,NaN,NaN,76,74,-1,60,NaN,NaN,NaN,NaN,NaN,60,79,90,NaN,NaN,NaN,69,NaN,-1,60,NaN,-1,90,NaN,NaN,NaN,85,NaN,NaN,NaN
402220044,69,80,62,NaN,72,16,85,65,39,80,NaN,81,62,NaN,91,NaN,70,64,66,63,NaN,NaN,NaN,NaN,77,66,NaN,NaN,NaN,71,-1,NaN,-1,62,71,-1,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN
402220045,77,85,NaN,70,84,75,81,75,65,NaN,89,NaN,66,NaN,NaN,83,90,75,69,NaN,NaN,NaN,NaN,88,69,90,NaN,NaN,NaN,84,NaN,NaN,72,82,95,NaN,NaN,NaN,93,86,NaN,NaN,-1,NaN
402220046,96,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402220047,66,70,NaN,70,88,65,71,70,72,NaN,83,NaN,65,NaN,NaN,85,88,63,62,NaN,90,NaN,NaN,90,64,70,NaN,90,NaN,85,-1,NaN,64,62,82,98,NaN,84,82,NaN,NaN,90,NaN,NaN
402220048,64,85,82,NaN,90,78,88,70,49,80,NaN,85,73,NaN,91,NaN,94,67,71,NaN,90,NaN,88,88,67,75,NaN,85,NaN,93,NaN,NaN,70,88,NaN,-1,NaN,90,80,NaN,NaN,90,NaN,NaN
402220050,84,75,NaN,NaN,85,67,93,65,73,80,NaN,78,75,NaN,89,NaN,91,60,62,NaN,90,NaN,75,NaN,82,71,NaN,75,NaN,-1,NaN,80,-1,60,71,-1,NaN,85,65,80,NaN,NaN,NaN,NaN
402220051,90,65,41,70,63,47,74,65,60,NaN,79,NaN,60,NaN,NaN,81,67,61,-1,64,NaN,NaN,NaN,NaN,51,61,NaN,NaN,NaN,69,NaN,74,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402220053,NaN,NaN,96,NaN,85,76,NaN,NaN,NaN,-1,NaN,80,60,NaN,88,NaN,89,66,63,NaN,NaN,NaN,80,NaN,61,68,90,NaN,83,70,NaN,88,65,62,-1,-1,85,NaN,68,NaN,NaN,NaN,NaN,NaN
402220052,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN,NaN,NaN,NaN,84,80,NaN,87,NaN,91,65,80,NaN,NaN,NaN,NaN,85,75,68,NaN,NaN,NaN,NaN,84,NaN,NaN,74,NaN,76,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
