id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202020@理論力學@1@1,2202031@電磁學（一）@1@1,2203090@物理專題（一）@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202011@應用數學（一）@2@1,2202012@應用數學（二）@2@1,2202032@電磁學（二）@2@1,2202060@近代物理@2@2,2203090@物理專題（一）@2@1,2201001@普通物理實驗（一）@1@9,2201011@普通物理（一）@1@5,2201888@學系服務學習@1@1,2202060@近代物理@1@1,2203005@進階光學實驗學@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203071@應用電子學（一）@1@1,2204091@物理專題（二）@1@1,2201012@普通物理（二）@2@2,2202020@理論力學@2@1,2203006@近代物理實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2204021@進階光學@2@1,2204092@物理專題（三）@2@1,2203006@近代物理實驗學@1@1,2204010@基本粒子物理導論@1@1,2204040@原子分子物理導論@1@1,2204093@物理專題（四）@1@1,2201002@普通物理實驗（二）@2@10,2201012@普通物理（二）@2@6,2203005@進階光學實驗學@2@1,2204001@固態物理導論（一）@2@1,2204091@物理專題（二）@2@1,2204093@物理專題（四）@2@1,2204001@固態物理導論（一）@1@1,2204092@物理專題（三）@1@1,2203071@應用電子學（一）@2@1,2204040@原子分子物理導論@2@1
499220049,84,80,NaN,83,NaN,95,94,87,90,82,94,96,NaN,91,NaN,94,87,88,NaN,NaN,NaN,NaN,NaN,NaN,77,85,NaN,90,NaN,NaN,80,NaN,79,80,NaN,75,NaN,90,83,70,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
499220002,71,60,65,NaN,73,70,35,70,NaN,65,65,54,86,NaN,NaN,69,71,56,NaN,NaN,NaN,NaN,60,63,62,67,NaN,NaN,NaN,60,63,64,60,60,71,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220006,90,85,NaN,NaN,87,60,68,69,NaN,81,74,65,86,NaN,NaN,65,60,84,85,NaN,NaN,NaN,NaN,77,60,71,85,85,NaN,NaN,NaN,NaN,60,65,NaN,85,NaN,84,NaN,85,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN
499220008,63,75,NaN,NaN,86,70,86,76,NaN,86,81,74,93,NaN,NaN,64,74,73,NaN,NaN,NaN,NaN,NaN,84,81,77,83,NaN,NaN,NaN,NaN,83,76,73,NaN,NaN,NaN,83,60,NaN,NaN,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN,NaN
499220010,92,85,NaN,NaN,95,65,68,71,NaN,90,81,82,88,NaN,NaN,68,60,76,90,NaN,NaN,NaN,NaN,NaN,60,75,NaN,80,NaN,NaN,83,76,63,75,83,80,NaN,90,79,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN
499220012,84,60,NaN,NaN,86,60,61,62,NaN,84,66,60,94,NaN,NaN,70,70,81,NaN,NaN,NaN,NaN,NaN,80,67,77,82,NaN,NaN,NaN,87,NaN,80,82,NaN,NaN,NaN,85,76,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN
499220016,82,80,NaN,NaN,94,65,77,65,NaN,78,84,69,90,NaN,NaN,80,71,72,90,NaN,NaN,NaN,NaN,NaN,63,61,NaN,NaN,NaN,NaN,78,NaN,83,70,89,NaN,NaN,83,NaN,NaN,NaN,NaN,73,66,NaN,NaN,NaN,NaN,NaN,NaN
499220020,65,70,NaN,NaN,96,65,61,77,NaN,76,75,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220022,66,85,NaN,NaN,96,95,92,86,NaN,95,86,85,86,NaN,NaN,99,90,90,85,NaN,NaN,NaN,NaN,88,82,94,87,80,NaN,NaN,NaN,93,100,86,NaN,90,NaN,90,88,85,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
499220024,79,65,NaN,NaN,83,65,62,73,75,85,76,68,86,NaN,NaN,60,67,68,NaN,NaN,NaN,NaN,NaN,66,60,74,87,NaN,NaN,NaN,70,NaN,71,72,NaN,NaN,NaN,85,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
