id,3155204@NIRS專題研究@2@1,3155705@態度心理學@2@1,3155017@高等統計學@1@1,3155312@「青年」發展專題研究@1@1,3155505@神經解剖學@1@1,3155608@渾沌理論在生命科學上的運用@1@1,3155610@神經科學實驗技術@1@1,3155704@社會認知專論@1@1,3155713@華人本土心理學@1@1,3155714@性格發展研究法@1@1,3156106@獨立研究：近紅外光腦血流分析@1@1,3157303@認知發展與演化@1@1,3157707@社會心理學研究法@1@1,3155020@線性統計模式@2@1,3155105@實驗設計@2@1,3155123@視覺認知專論@2@1,3155311@利社會行為發展@2@1,3155407@發展心理學深論@2@1,3155706@高等組織行為學@2@1,3155711@性格發展@2@1,3155910@試題反應理論@2@1,3156705@獨立研究：工商心理學@2@1,3157503@認知神經科學導讀@2@1,3157504@演化心理學@2@1,3155016@電腦適性測驗@1@1,3155108@認知研究方法的應用@1@1,3155417@當代發展心理學專論@1@1,3155709@知識論與方法論@1@1,3156107@獨立研究：人因工程@1@1,3156403@獨立研究：發展心理學專題研究@1@1,3156407@獨立研究：社會認知發展專題研究@1@1,3156701@獨立研究：社會心理學專題研究@1@1,3157704@結構方程模型@1@1,3157710@高等性格心理學@1@1,3155716@本土社會科學理論的建構@2@1,3155717@跨文化心理學專題@2@1,3155817@大腦功能性磁振造影與研究(專論)@2@1,3155833@心理及社會學量化模式@2@1,3156702@獨立研究：態度與說服專題研究@2@1,3156706@獨立研究：性格歷程專題研究@2@1,3156922@專題獨立研究：心理測量專題研究@2@1,3157304@家庭發展專題研究@2@1,3155107@人因工程介紹@1@1,3156703@獨立研究：社會認知專題研究@1@1,3156704@獨立研究：態度心理學專題研究@1@1,3156705@獨立研究：工商心理學@1@1,3155510@神經心理病理學@2@1,3156703@獨立研究：社會認知專題研究@2@1,3156704@獨立研究：態度心理學專題研究@2@1,3157805@測驗編製與分析@2@1,3157911@科學論文寫作@2@1,3155527@實驗動物管理@1@1,3156501@獨立研究：生理心理學專題@1@1
601315003,92,88,74,NaN,93,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,95,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,90,90,92
601315001,NaN,87,87,NaN,NaN,NaN,80,89,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,95,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315004,NaN,NaN,80,82,NaN,NaN,88,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,65,92,84,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315005,NaN,NaN,91,NaN,NaN,92,NaN,NaN,84,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315006,NaN,NaN,91,NaN,NaN,NaN,91,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315007,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN,NaN,NaN,NaN,89,89,NaN,NaN,86,98,NaN,NaN,85,NaN,NaN,NaN,78,NaN,NaN,91,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315008,NaN,85,88,NaN,NaN,85,81,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315009,NaN,87,70,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,81,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,85,36,NaN,NaN,NaN
601315010,NaN,NaN,70,NaN,NaN,NaN,81,NaN,81,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,87,NaN,NaN,88,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315011,NaN,88,83,NaN,NaN,NaN,NaN,89,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,88,NaN,78,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315013,NaN,84,86,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,90,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,92,NaN,93,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315014,NaN,85,82,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,88,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315015,NaN,NaN,94,NaN,87,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315016,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315017,NaN,NaN,90,NaN,NaN,95,87,NaN,87,NaN,NaN,NaN,NaN,NaN,91,87,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315018,NaN,89,71,NaN,NaN,NaN,80,94,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,89,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315020,NaN,73,70,NaN,NaN,NaN,73,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,92,NaN,NaN,NaN,86,NaN,NaN,68,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN
601315021,NaN,NaN,90,83,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,95,NaN,82,NaN,NaN,NaN,90,NaN,NaN,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315022,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,84,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,88,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,80,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601315023,NaN,10,22,NaN,NaN,NaN,NaN,41,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,30,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
