id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1203419@文藝復興史@1@1,1203551@英國史（一）@1@1,1203629@北亞草原民族歷史與文化@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202352@中國上古史（二）@2@1,1202599@內陸亞細亞史@2@1,1203359@明史@2@1,1203921@中國中古史專題討論（一）@2@1,1203959@歐洲統合史@2@1,1203969@西域文明與敦煌文化@2@1,1204612@中國藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1,1202151@世界現代史（一）@1@1,1202231@台灣史（一）@1@1,1202311@魏晉南北朝史（一）@1@1,1202331@中國現代史（一）@1@1,1202411@世界中古史（一）@1@1,1202521@戰後台灣史（一）@1@1,1202691@藏族史（一）@1@1,1202699@中國經濟史@1@1,1202821@日文（一）@1@1,1203161@史學方法（一）@1@1,1203341@隋唐史（一）@1@1,1203421@世界近世文明史（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203981@戰爭與記憶（一）@1@1,1204681@台灣藝術史（一）@1@1,1204949@《資治通鑑》選讀@1@1,1202152@世界現代史（二）@2@1,1202232@台灣史（二）@2@1,1202312@魏晉南北朝史（二）@2@1,1202332@中國現代史（二）@2@1,1202412@世界中古史（二）@2@1,1202522@戰後台灣史（二）@2@1,1203162@史學方法（二）@2@1,1203342@隋唐史（二）@2@1,1203379@春秋戰國史@2@1,1203422@世界近世文明史（二）@2@1,1203564@德國文化史（二）@2@1,1203852@滿文閱讀入門（二）@2@1,1204439@世界上古史：古埃及卷@2@1,1204842@中國歷史地理（二）@2@1,1202141@中國近代史（一）@1@1,1202341@宋史（一）@1@1,1202449@美國現代文化史@1@1,1203351@明史（一）@1@1,1203439@古代希臘史@1@1,1203563@德國文化史（一）@1@1,1203691@明清文化史（一）@1@1,1203711@中國史學史（一）@1@1,1203721@西洋史學史（一）@1@1,1204611@中國藝術史（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202329@清史@2@1,1202342@宋史（二）@2@1,1203311@遼夏金史（一）@2@1,1203352@明史(二)@2@1,1203449@古代羅馬史@2@1,1203532@日本史（二）@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1204682@台灣藝術史（二）@2@1,1204759@世界現代建築史與文化理論@2@1,1204959@博物館學@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202329@清史@1@1,1202583@俄國史(一)@1@1,1202822@日文（二）@1@1,1203312@遼夏金史（二）@1@1,1203639@世界古代法律與社會@1@1,1204929@近代中國城市文化的變遷@1@1,1204979@藝術創作技法@1@1,1202584@俄國史(二)@2@1,1202823@日文（三）@2@1,1203531@日本史（一）@2@1,1203552@英國史（二）@2@1,1203829@鄉土史研究法@2@1,1204641@中國庶民文化史（一）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204841@中國歷史地理（一）@2@1,1204989@希臘羅馬神話與歷史@2@1,1204631@中國共產黨史（一）@1@1,1203809@三國史事與人物@2@1,1202901@古希臘文（一）@1@1,1203509@古代地中海史@1@1
400120037,80,82,81,85,NaN,NaN,NaN,NaN,78,84,80,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120038,68,77,70,NaN,NaN,91,89,NaN,82,68,77,85,NaN,NaN,80,NaN,85,87,NaN,NaN,80,72,90,79,NaN,NaN,86,NaN,NaN,74,NaN,74,NaN,NaN,NaN,NaN,74,67,91,80,NaN,NaN,83,NaN,NaN,72,88,NaN,NaN,NaN,NaN,87,70,NaN,NaN,92,NaN,76,72,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,87,80,NaN,NaN,82,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120039,75,82,80,85,NaN,96,93,NaN,85,81,95,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,90,77,82,78,76,NaN,NaN,NaN,NaN,78,72,NaN,83,NaN,NaN,NaN,76,83,NaN,83,72,NaN,83,86,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,73,95,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,82,88,92,NaN,NaN,NaN,80,NaN,87,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120040,71,72,90,NaN,NaN,90,94,NaN,76,89,90,85,NaN,NaN,70,NaN,NaN,89,NaN,NaN,81,80,90,83,98,NaN,NaN,NaN,NaN,85,NaN,NaN,82,NaN,NaN,NaN,76,76,92,86,90,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,92,NaN,77,70,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,88,79,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120041,67,80,87,85,NaN,72,85,NaN,75,62,72,NaN,NaN,NaN,80,NaN,86,NaN,34,NaN,75,78,89,85,NaN,NaN,NaN,NaN,NaN,80,80,NaN,NaN,NaN,NaN,NaN,76,81,NaN,88,NaN,NaN,73,81,NaN,NaN,87,NaN,90,78,NaN,NaN,67,NaN,83,NaN,NaN,74,67,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,83,69,63,NaN,87,60,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120042,79,71,76,NaN,NaN,NaN,NaN,80,77,80,79,85,NaN,NaN,68,NaN,70,NaN,NaN,NaN,85,78,90,83,NaN,NaN,NaN,NaN,NaN,74,NaN,90,87,NaN,NaN,NaN,80,80,91,88,76,NaN,77,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,89,NaN,66,75,NaN,85,NaN,NaN,NaN,NaN,NaN,80,75,83,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120043,72,70,80,85,NaN,88,88,NaN,79,71,78,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,91,74,72,NaN,83,NaN,NaN,NaN,NaN,NaN,73,83,80,NaN,NaN,NaN,NaN,74,75,NaN,87,NaN,NaN,78,85,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,80,84,NaN,70,71,NaN,88,NaN,NaN,NaN,NaN,70,NaN,77,75,78,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120044,80,83,70,NaN,NaN,60,NaN,NaN,73,80,74,85,NaN,NaN,NaN,NaN,NaN,83,64,73,74,72,86,64,NaN,NaN,80,NaN,NaN,78,NaN,80,NaN,NaN,NaN,NaN,66,66,66,71,61,NaN,61,NaN,NaN,45,82,NaN,NaN,NaN,NaN,72,NaN,75,NaN,NaN,NaN,62,63,4,75,NaN,NaN,NaN,NaN,50,75,60,81,60,60,74,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN
400120045,63,67,83,85,NaN,NaN,82,NaN,77,69,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,70,88,85,NaN,NaN,NaN,NaN,NaN,78,83,85,88,NaN,NaN,NaN,66,68,83,78,NaN,NaN,81,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,88,NaN,69,74,74,NaN,NaN,NaN,NaN,NaN,NaN,82,75,75,74,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120046,73,67,90,NaN,NaN,NaN,85,NaN,79,66,80,85,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,73,73,88,76,NaN,NaN,NaN,NaN,NaN,79,86,86,89,NaN,NaN,NaN,75,78,88,86,NaN,NaN,85,87,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,95,NaN,71,66,NaN,96,NaN,NaN,NaN,NaN,NaN,81,83,91,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
400120047,69,85,89,85,NaN,NaN,94,NaN,86,83,83,NaN,NaN,76,NaN,NaN,78,NaN,NaN,NaN,81,NaN,90,81,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,89,NaN,NaN,NaN,78,NaN,87,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120048,87,76,90,NaN,NaN,NaN,NaN,NaN,79,79,93,85,NaN,NaN,75,NaN,78,92,92,92,82,82,89,83,NaN,85,NaN,NaN,NaN,79,NaN,NaN,92,NaN,84,NaN,80,83,93,87,NaN,84,85,NaN,NaN,NaN,NaN,92,85,NaN,78,NaN,70,NaN,85,NaN,NaN,78,64,87,NaN,85,NaN,NaN,NaN,NaN,NaN,74,90,76,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120049,76,68,79,90,NaN,NaN,90,NaN,80,89,84,NaN,NaN,NaN,83,NaN,82,NaN,89,NaN,86,77,91,72,72,NaN,NaN,NaN,NaN,82,79,NaN,87,NaN,NaN,NaN,65,82,91,87,NaN,51,84,NaN,NaN,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,76,93,NaN,70,80,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,86,80,91,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120050,67,62,82,NaN,NaN,NaN,NaN,80,71,60,80,85,80,NaN,NaN,NaN,NaN,88,84,80,81,74,NaN,72,NaN,73,NaN,NaN,NaN,75,NaN,86,78,NaN,90,NaN,60,75,86,87,NaN,74,79,NaN,NaN,NaN,NaN,NaN,60,NaN,70,NaN,NaN,NaN,83,NaN,NaN,68,68,87,90,NaN,NaN,NaN,NaN,NaN,NaN,75,86,80,89,NaN,87,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
400120052,78,78,90,NaN,NaN,NaN,93,88,82,80,84,85,NaN,NaN,70,NaN,NaN,92,NaN,NaN,88,77,91,81,NaN,75,NaN,NaN,NaN,72,NaN,83,88,NaN,NaN,NaN,66,79,89,87,86,70,79,78,NaN,NaN,NaN,NaN,NaN,NaN,73,82,NaN,NaN,79,NaN,NaN,76,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,85,76,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120053,74,83,87,85,NaN,NaN,93,NaN,83,85,89,NaN,NaN,NaN,88,NaN,91,NaN,91,NaN,95,90,89,86,98,NaN,NaN,NaN,96,88,89,95,NaN,NaN,92,NaN,92,90,92,84,98,NaN,95,NaN,NaN,NaN,95,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,85,81,91,92,NaN,NaN,NaN,NaN,NaN,NaN,87,90,85,94,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,92,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120054,69,67,80,NaN,NaN,NaN,91,NaN,73,70,77,85,NaN,NaN,85,NaN,81,92,NaN,91,80,74,89,82,NaN,NaN,88,NaN,NaN,79,85,84,NaN,NaN,NaN,NaN,69,71,85,83,NaN,NaN,79,NaN,NaN,74,88,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,91,NaN,75,78,84,95,NaN,NaN,NaN,NaN,NaN,NaN,77,83,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120055,69,66,70,90,NaN,NaN,90,86,81,66,78,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,93,72,90,81,NaN,NaN,89,NaN,NaN,79,NaN,87,NaN,NaN,NaN,NaN,81,75,89,84,NaN,NaN,75,80,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,89,NaN,74,69,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,85,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120057,NaN,NaN,NaN,85,NaN,NaN,82,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,70,NaN,79,NaN,NaN,NaN,78,NaN,69,83,80,NaN,NaN,NaN,NaN,60,70,NaN,77,60,NaN,72,82,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,58,NaN,NaN,85,NaN,66,62,NaN,NaN,NaN,NaN,70,NaN,NaN,71,81,81,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
