id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1203419@文藝復興史@1@1,1203551@英國史（一）@1@1,1203629@北亞草原民族歷史與文化@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202352@中國上古史（二）@2@1,1202599@內陸亞細亞史@2@1,1203359@明史@2@1,1203921@中國中古史專題討論（一）@2@1,1203959@歐洲統合史@2@1,1203969@西域文明與敦煌文化@2@1,1204612@中國藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1,1202151@世界現代史（一）@1@1,1202231@台灣史（一）@1@1,1202311@魏晉南北朝史（一）@1@1,1202331@中國現代史（一）@1@1,1202411@世界中古史（一）@1@1,1202521@戰後台灣史（一）@1@1,1202691@藏族史（一）@1@1,1202699@中國經濟史@1@1,1202821@日文（一）@1@1,1203161@史學方法（一）@1@1,1203341@隋唐史（一）@1@1,1203421@世界近世文明史（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203981@戰爭與記憶（一）@1@1,1204681@台灣藝術史（一）@1@1,1204949@《資治通鑑》選讀@1@1,1202152@世界現代史（二）@2@1,1202232@台灣史（二）@2@1,1202312@魏晉南北朝史（二）@2@1,1202332@中國現代史（二）@2@1,1202412@世界中古史（二）@2@1,1202522@戰後台灣史（二）@2@1,1203162@史學方法（二）@2@1,1203342@隋唐史（二）@2@1,1203379@春秋戰國史@2@1,1203422@世界近世文明史（二）@2@1,1203564@德國文化史（二）@2@1,1203852@滿文閱讀入門（二）@2@1,1204439@世界上古史：古埃及卷@2@1,1204842@中國歷史地理（二）@2@1,1202141@中國近代史（一）@1@1,1202341@宋史（一）@1@1,1202449@美國現代文化史@1@1,1203351@明史（一）@1@1,1203439@古代希臘史@1@1,1203563@德國文化史（一）@1@1,1203691@明清文化史（一）@1@1,1203711@中國史學史（一）@1@1,1203721@西洋史學史（一）@1@1,1204611@中國藝術史（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202329@清史@2@1,1202342@宋史（二）@2@1,1203311@遼夏金史（一）@2@1,1203352@明史(二)@2@1,1203449@古代羅馬史@2@1,1203532@日本史（二）@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1204682@台灣藝術史（二）@2@1,1204759@世界現代建築史與文化理論@2@1,1204959@博物館學@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202329@清史@1@1,1202583@俄國史(一)@1@1,1202822@日文（二）@1@1,1203312@遼夏金史（二）@1@1,1203639@世界古代法律與社會@1@1,1204929@近代中國城市文化的變遷@1@1,1204979@藝術創作技法@1@1,1202584@俄國史(二)@2@1,1202823@日文（三）@2@1,1203531@日本史（一）@2@1,1203552@英國史（二）@2@1,1203829@鄉土史研究法@2@1,1204641@中國庶民文化史（一）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204841@中國歷史地理（一）@2@1,1204989@希臘羅馬神話與歷史@2@1,1204631@中國共產黨史（一）@1@1,1203809@三國史事與人物@2@1,1202901@古希臘文（一）@1@1,1203509@古代地中海史@1@1
400120023,86,80,79,85,NaN,NaN,90,NaN,84,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120024,93,95,92,NaN,NaN,NaN,92,NaN,89,96,91,85,NaN,NaN,NaN,86,93,90,NaN,NaN,92,95,91,92,94,93,NaN,NaN,NaN,92,92,NaN,NaN,NaN,NaN,NaN,87,89,NaN,94,95,89,96,93,NaN,87,NaN,NaN,NaN,NaN,NaN,93,NaN,80,NaN,NaN,NaN,84,84,NaN,NaN,NaN,NaN,91,NaN,85,NaN,93,93,87,94,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120025,77,90,85,85,83,NaN,NaN,89,82,94,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,80,90,81,NaN,NaN,NaN,NaN,97,83,NaN,89,NaN,NaN,NaN,NaN,80,72,90,84,NaN,NaN,92,85,NaN,85,84,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,93,88,63,79,89,NaN,81,NaN,NaN,NaN,NaN,NaN,77,85,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120027,69,82,77,85,NaN,NaN,54,52,76,76,76,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,85,68,NaN,76,84,73,NaN,70,NaN,65,NaN,30,NaN,NaN,NaN,NaN,78,80,79,80,59,67,82,45,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,84,92,67,60,67,NaN,NaN,68,79,NaN,NaN,NaN,90,NaN,72,60,NaN,NaN,NaN,60,NaN,42,NaN,62,NaN,NaN,NaN,0,NaN,NaN,0,50,NaN,87,NaN,60,NaN,NaN,NaN,NaN,NaN
400120028,76,71,86,NaN,NaN,NaN,NaN,87,75,60,82,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,70,75,76,60,NaN,NaN,NaN,NaN,77,NaN,85,82,NaN,NaN,NaN,60,67,86,82,63,NaN,74,NaN,NaN,83,86,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,68,68,65,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,84,73,76,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
400120029,66,64,75,85,NaN,NaN,87,NaN,76,64,82,NaN,NaN,NaN,70,NaN,75,88,NaN,NaN,82,64,89,78,NaN,NaN,87,NaN,NaN,78,NaN,80,NaN,NaN,NaN,NaN,79,76,89,86,NaN,NaN,79,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,84,71,NaN,NaN,85,NaN,70,77,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,71,81,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120030,60,60,70,NaN,NaN,79,87,89,60,82,82,85,NaN,NaN,85,NaN,77,83,NaN,NaN,88,71,75,62,94,38,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,72,67,85,70,68,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,80,86,NaN,65,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,75,67,NaN,NaN,80,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120031,60,64,78,85,NaN,NaN,NaN,NaN,75,68,85,NaN,75,NaN,NaN,NaN,80,NaN,90,93,75,70,88,69,94,NaN,NaN,83,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,85,77,92,81,NaN,NaN,81,NaN,NaN,84,91,NaN,NaN,NaN,NaN,81,68,NaN,NaN,NaN,86,63,68,82,87,69,NaN,NaN,NaN,NaN,NaN,83,85,76,NaN,91,88,NaN,79,71,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN
400120033,60,63,86,85,NaN,78,86,88,80,75,82,NaN,NaN,NaN,NaN,NaN,89,91,NaN,NaN,74,78,90,82,69,NaN,NaN,75,NaN,74,NaN,90,NaN,NaN,NaN,NaN,86,81,91,83,78,71,75,80,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,80,NaN,NaN,87,65,73,NaN,NaN,83,NaN,NaN,NaN,85,NaN,80,85,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,68,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120034,67,72,74,NaN,NaN,81,77,82,72,81,68,85,NaN,NaN,78,NaN,75,83,NaN,0,74,69,83,73,66,NaN,NaN,NaN,NaN,74,NaN,86,NaN,NaN,NaN,NaN,64,60,82,80,72,NaN,60,70,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,67,68,NaN,80,NaN,NaN,61,64,NaN,NaN,NaN,75,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120035,67,64,79,85,NaN,NaN,93,NaN,72,68,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,60,67,87,66,76,60,NaN,NaN,NaN,63,NaN,82,NaN,NaN,NaN,NaN,80,67,91,76,NaN,75,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,76,73,NaN,90,NaN,NaN,67,NaN,NaN,70,60,86,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400120036,71,74,75,NaN,NaN,90,88,NaN,72,60,73,85,NaN,47,NaN,NaN,83,91,86,NaN,80,78,85,74,55,NaN,NaN,NaN,NaN,72,NaN,77,NaN,NaN,87,NaN,68,76,86,87,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,80,NaN,86,NaN,NaN,NaN,85,88,NaN,71,71,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,80,75,87,NaN,93,70,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
