id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202331@中國現代史（一）@1@1,1202901@古希臘文（一）@1@1,1203371@秦漢史（一）@1@1,1203419@文藝復興史@1@1,1203509@古代地中海史@1@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1204611@中國藝術史（一）@1@1,1204691@西洋藝術史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202332@中國現代史（二）@2@1,1202531@美洲史(一)@2@1,1202821@日文（一）@2@1,1202823@日文（三）@2@1,1203352@明史(二)@2@1,1203372@秦漢史（二）@2@1,1203431@世界上古史（一）@2@1,1204612@中國藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1
405120036,85,88,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120037,63,76,86,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120038,88,85,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120039,76,78,68,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405120040,60,72,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120041,85,82,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120042,68,71,74,NaN,83,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405120043,76,86,93,100,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,86,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120045,82,84,95,95,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,84,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120047,71,84,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120049,74,78,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
405120050,89,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405120051,68,74,76,85,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120052,79,86,89,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120053,79,84,91,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120054,76,81,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120055,10,70,65,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
