id,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1152001@語言學概論（一）@1@1,1151028@日文（二）@2@1,1152002@語言學概論（二）@2@1,1151017@英文作文（一）@1@3,1151031@英語聽講（一）@1@3,1152063@英文作文（三）@1@2,1152107@日文（三）@1@1,1153013@英國文學：文藝復興@1@1,1154241@奇幻文學與電影@1@1,1154246@西方戲劇：易卜生@1@1,1151018@英文作文（二）@2@3,1151032@英語聽講（二）@2@3,1152064@英文作文（四）@2@1,1152108@日文 (四)@2@1,1153014@英國文學：維多利亞@2@1,1154259@進階英語聽講@2@1
403330043,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403330036,NaN,88,82,65,90,71,84,83,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403330031,NaN,NaN,NaN,79,NaN,-1,NaN,85,88,93,84,93,NaN,NaN,-1,-1,-1,-1,NaN
403330020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,-1
403330002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
