id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151021@西洋文學概論（一）@1@1,1151021@西洋文學概論（一）@1@2,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151888@學系服務學習@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151022@西洋文學概論（二）@2@1,1151022@西洋文學概論（二）@2@2,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151888@學系服務學習@2@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1152101@德文（三）@1@1,1152103@西班牙文（三）@1@1,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153011@英國文學：中世紀@1@1,1153015@英國文學：浪漫主義@1@1,1154241@奇幻文學與電影@1@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152078@英語聽講（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1152102@德文(四)@2@1,1152104@西班牙文(四)@2@1,1152106@法文(四)@2@1,1152108@日文 (四)@2@1,1153012@英國文學：十八世紀@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154172@閱讀與討論@2@1,1154224@小說選讀@2@1,1153001@美國文學（一）@1@1,1153013@英國文學：文藝復興@1@1,1154091@言談分析@1@1,1154099@戲劇與電影@1@1,1154146@英語語法@1@1,1154222@媒體英文@1@1,1154246@西方戲劇：易卜生@1@1,1154266@現/當代美國小說@1@1,1154267@愛爾蘭文學與電影@1@1,1153002@美國文學（二）@2@1,1154097@性別與閱讀@2@1,1154140@旅行與文學@2@1,1154168@翻譯@2@1,1154187@高階閱讀@2@1,1154256@心理小說@2@1,1154259@進階英語聽講@2@1,1154260@英語的故事:英語演化成今日英語的故事@2@1,1154268@西方戲劇及劇場學@2@1
403115001,82,NaN,NaN,67,NaN,NaN,96,NaN,NaN,80,NaN,NaN,86,78,NaN,NaN,NaN,78,NaN,92,NaN,NaN,84,NaN,NaN,NaN,70,84,NaN,NaN,75,NaN,NaN,91,NaN,NaN,NaN,76,80,NaN,75,84,NaN,NaN,NaN,NaN,65,93,NaN,NaN,NaN,74,-1,NaN,NaN,-1,66,NaN,NaN,NaN,NaN,77,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403115004,87,NaN,NaN,88,NaN,NaN,99,97,NaN,NaN,NaN,95,NaN,87,NaN,NaN,NaN,89,NaN,96,92,NaN,NaN,NaN,95,89,79,NaN,NaN,93,NaN,NaN,92,96,NaN,NaN,83,84,NaN,NaN,75,NaN,NaN,90,NaN,NaN,93,95,NaN,NaN,83,-1,NaN,88,NaN,-1,82,NaN,NaN,NaN,95,89,NaN,NaN,88,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403115011,87,NaN,NaN,NaN,80,NaN,NaN,91,NaN,85,NaN,NaN,88,87,NaN,NaN,NaN,76,NaN,NaN,84,NaN,87,NaN,NaN,NaN,61,NaN,86,NaN,NaN,NaN,73,NaN,NaN,NaN,70,80,NaN,NaN,-1,NaN,NaN,74,69,NaN,NaN,NaN,NaN,NaN,77,-1,74,NaN,NaN,-1,72,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
403115014,87,NaN,NaN,86,NaN,NaN,99,96,NaN,NaN,NaN,98,NaN,89,NaN,NaN,85,NaN,NaN,99,92,NaN,NaN,NaN,92,92,81,NaN,NaN,89,NaN,NaN,88,NaN,NaN,NaN,NaN,87,96,95,71,NaN,NaN,80,NaN,NaN,88,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,92,75,NaN,NaN,NaN,NaN,85,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403115017,87,NaN,NaN,73,NaN,69,92,80,74,83,NaN,NaN,86,84,NaN,NaN,NaN,85,64,NaN,-1,-1,85,NaN,NaN,NaN,72,NaN,86,NaN,NaN,83,NaN,NaN,NaN,60,NaN,NaN,82,NaN,57,NaN,88,NaN,NaN,72,NaN,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,-1,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403115018,86,NaN,NaN,NaN,84,NaN,NaN,NaN,78,88,NaN,NaN,NaN,87,NaN,NaN,77,NaN,NaN,NaN,NaN,67,91,NaN,NaN,92,77,NaN,90,NaN,NaN,85,NaN,NaN,72,NaN,NaN,83,89,NaN,87,NaN,NaN,86,NaN,NaN,89,NaN,74,NaN,NaN,NaN,82,NaN,NaN,-1,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
403115022,80,NaN,NaN,60,NaN,NaN,91,NaN,62,77,NaN,NaN,NaN,83,NaN,NaN,63,NaN,NaN,88,NaN,61,83,NaN,NaN,88,60,NaN,NaN,80,NaN,NaN,76,NaN,75,NaN,NaN,75,87,NaN,76,NaN,NaN,85,80,NaN,NaN,NaN,79,NaN,NaN,84,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,76,84,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
403115023,85,NaN,NaN,74,NaN,NaN,93,96,NaN,NaN,NaN,97,87,86,NaN,NaN,NaN,85,NaN,NaN,89,NaN,NaN,NaN,95,NaN,76,NaN,NaN,80,NaN,85,NaN,NaN,NaN,NaN,86,77,89,NaN,75,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,84,86,-1,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
403115027,87,NaN,NaN,82,NaN,NaN,NaN,NaN,90,87,NaN,NaN,90,88,NaN,NaN,87,NaN,NaN,NaN,NaN,88,91,NaN,NaN,NaN,93,NaN,91,NaN,NaN,86,NaN,NaN,88,NaN,NaN,NaN,91,NaN,94,NaN,93,NaN,NaN,NaN,83,NaN,92,NaN,NaN,NaN,81,NaN,NaN,-1,87,NaN,91,NaN,95,NaN,NaN,NaN,90,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403115032,84,NaN,NaN,71,NaN,NaN,90,65,NaN,NaN,76,NaN,NaN,82,NaN,NaN,NaN,83,NaN,90,75,NaN,NaN,78,NaN,85,66,NaN,90,NaN,NaN,NaN,72,89,NaN,NaN,63,73,NaN,NaN,68,NaN,91,NaN,NaN,NaN,66,80,NaN,NaN,-1,76,-1,NaN,NaN,-1,69,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
