id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151021@西洋文學概論（一）@1@1,1151021@西洋文學概論（一）@1@2,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151888@學系服務學習@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151022@西洋文學概論（二）@2@1,1151022@西洋文學概論（二）@2@2,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151888@學系服務學習@2@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1152101@德文（三）@1@1,1152103@西班牙文（三）@1@1,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153011@英國文學：中世紀@1@1,1153015@英國文學：浪漫主義@1@1,1154241@奇幻文學與電影@1@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152078@英語聽講（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1152102@德文(四)@2@1,1152104@西班牙文(四)@2@1,1152106@法文(四)@2@1,1152108@日文 (四)@2@1,1153012@英國文學：十八世紀@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154172@閱讀與討論@2@1,1154224@小說選讀@2@1,1153001@美國文學（一）@1@1,1153013@英國文學：文藝復興@1@1,1154091@言談分析@1@1,1154099@戲劇與電影@1@1,1154146@英語語法@1@1,1154222@媒體英文@1@1,1154246@西方戲劇：易卜生@1@1,1154266@現/當代美國小說@1@1,1154267@愛爾蘭文學與電影@1@1,1153002@美國文學（二）@2@1,1154097@性別與閱讀@2@1,1154140@旅行與文學@2@1,1154168@翻譯@2@1,1154187@高階閱讀@2@1,1154256@心理小說@2@1,1154259@進階英語聽講@2@1,1154260@英語的故事:英語演化成今日英語的故事@2@1,1154268@西方戲劇及劇場學@2@1
403115033,84,NaN,NaN,NaN,76,60,NaN,NaN,62,NaN,NaN,80,89,78,NaN,NaN,NaN,82,-1,NaN,NaN,NaN,NaN,NaN,90,NaN,68,NaN,NaN,77,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,66,NaN,53,NaN,-1,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,64,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
403115034,85,NaN,NaN,NaN,82,83,NaN,NaN,86,88,NaN,NaN,NaN,84,NaN,NaN,NaN,85,68,NaN,NaN,NaN,89,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,82,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403115038,82,NaN,NaN,NaN,80,88,97,NaN,74,NaN,NaN,93,NaN,76,NaN,NaN,NaN,75,83,NaN,NaN,75,NaN,NaN,94,84,66,NaN,88,NaN,88,NaN,NaN,NaN,66,78,NaN,69,NaN,NaN,71,NaN,89,NaN,86,NaN,NaN,NaN,62,80,NaN,NaN,-1,80,NaN,NaN,82,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403115040,88,NaN,NaN,NaN,72,NaN,98,79,79,85,NaN,NaN,NaN,86,NaN,NaN,71,NaN,NaN,-1,NaN,74,89,NaN,NaN,87,70,NaN,89,NaN,NaN,84,NaN,NaN,79,NaN,NaN,78,NaN,NaN,67,NaN,92,NaN,NaN,88,NaN,NaN,75,NaN,NaN,86,-1,NaN,NaN,NaN,65,NaN,85,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1
403115047,84,NaN,NaN,NaN,78,NaN,98,NaN,87,NaN,NaN,97,88,88,NaN,NaN,NaN,85,NaN,96,NaN,76,NaN,NaN,93,NaN,80,NaN,NaN,84,NaN,NaN,83,94,77,NaN,NaN,83,82,89,-1,NaN,NaN,88,NaN,NaN,93,90,77,NaN,NaN,NaN,NaN,87,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403115048,85,NaN,NaN,NaN,80,NaN,99,97,NaN,NaN,NaN,95,NaN,84,NaN,NaN,NaN,93,NaN,99,88,NaN,NaN,NaN,98,89,89,NaN,92,NaN,83,NaN,NaN,98,NaN,NaN,NaN,86,NaN,NaN,-1,NaN,92,NaN,86,NaN,NaN,99,NaN,NaN,NaN,NaN,77,NaN,NaN,-1,81,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403115050,86,NaN,NaN,83,NaN,NaN,NaN,NaN,74,NaN,77,NaN,NaN,84,NaN,NaN,76,NaN,NaN,NaN,NaN,76,NaN,77,NaN,92,68,NaN,NaN,85,NaN,NaN,80,NaN,74,NaN,NaN,86,87,NaN,78,NaN,NaN,85,NaN,NaN,82,NaN,82,NaN,NaN,-1,77,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
403115051,83,NaN,NaN,NaN,86,76,NaN,92,NaN,NaN,NaN,92,85,80,NaN,NaN,NaN,86,76,NaN,89,NaN,NaN,NaN,92,NaN,67,NaN,89,NaN,84,NaN,NaN,NaN,NaN,NaN,88,89,NaN,NaN,72,NaN,92,NaN,85,NaN,NaN,NaN,NaN,NaN,93,-1,NaN,NaN,NaN,-1,87,NaN,NaN,NaN,94,85,NaN,NaN,88,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
403115052,90,NaN,NaN,78,NaN,NaN,NaN,83,NaN,NaN,82,NaN,NaN,90,NaN,NaN,76,NaN,NaN,NaN,79,NaN,NaN,88,NaN,90,85,NaN,93,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,93,NaN,92,89,NaN,93,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403115053,81,NaN,NaN,NaN,71,NaN,NaN,61,82,84,NaN,NaN,89,82,NaN,NaN,68,NaN,NaN,NaN,NaN,76,88,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
403115002,NaN,95,NaN,73,NaN,NaN,NaN,82,70,89,NaN,NaN,NaN,NaN,85,NaN,73,NaN,NaN,NaN,NaN,65,91,NaN,NaN,91,68,NaN,88,NaN,NaN,NaN,86,NaN,65,NaN,NaN,76,NaN,87,79,NaN,90,NaN,NaN,NaN,87,NaN,75,NaN,NaN,78,NaN,NaN,NaN,NaN,73,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403115006,NaN,96,NaN,NaN,80,NaN,NaN,NaN,76,86,NaN,NaN,NaN,NaN,86,NaN,NaN,80,NaN,NaN,NaN,72,92,NaN,NaN,84,79,NaN,NaN,73,NaN,83,NaN,NaN,77,NaN,NaN,80,NaN,87,76,NaN,NaN,86,NaN,87,NaN,NaN,77,NaN,NaN,NaN,-1,82,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
403115007,NaN,97,NaN,NaN,75,NaN,98,NaN,88,90,NaN,NaN,89,NaN,82,NaN,81,NaN,NaN,NaN,NaN,76,92,NaN,NaN,NaN,82,NaN,92,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,91,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,86,-1,NaN,NaN,-1,83,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403115008,NaN,83,NaN,NaN,72,NaN,NaN,NaN,70,87,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,64,86,NaN,NaN,86,67,NaN,86,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,88,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,88,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403115010,NaN,89,NaN,NaN,76,NaN,97,99,66,88,NaN,NaN,NaN,NaN,85,NaN,NaN,84,NaN,97,92,NaN,89,NaN,NaN,89,78,NaN,90,NaN,NaN,NaN,84,95,NaN,NaN,90,NaN,83,92,75,NaN,92,NaN,NaN,NaN,90,96,NaN,NaN,90,NaN,NaN,82,NaN,-1,72,84,NaN,NaN,NaN,NaN,NaN,92,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403115013,NaN,91,NaN,NaN,66,NaN,NaN,82,79,87,NaN,NaN,87,NaN,84,NaN,NaN,86,NaN,NaN,81,74,89,NaN,NaN,NaN,77,NaN,91,NaN,NaN,86,NaN,NaN,74,NaN,85,75,89,NaN,80,NaN,92,NaN,NaN,NaN,80,NaN,82,NaN,-1,90,-1,NaN,NaN,-1,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403115016,NaN,99,NaN,85,NaN,NaN,NaN,NaN,80,91,NaN,NaN,NaN,NaN,85,NaN,88,NaN,NaN,NaN,NaN,65,93,NaN,NaN,87,86,NaN,NaN,92,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,85,NaN,88,NaN,NaN,85,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,84,NaN,NaN,NaN,81,83,NaN,NaN,91,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403115024,NaN,85,NaN,70,NaN,77,NaN,83,NaN,NaN,78,NaN,NaN,NaN,85,NaN,80,NaN,82,NaN,80,NaN,NaN,85,NaN,88,73,87,NaN,NaN,NaN,NaN,68,NaN,NaN,74,60,81,86,87,63,92,NaN,NaN,NaN,NaN,83,NaN,NaN,80,NaN,-1,NaN,88,NaN,87,78,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
403115025,NaN,96,NaN,85,NaN,NaN,NaN,92,90,84,NaN,NaN,90,NaN,87,NaN,NaN,82,NaN,NaN,NaN,83,90,NaN,NaN,NaN,80,NaN,NaN,75,NaN,85,NaN,NaN,77,NaN,NaN,69,84,NaN,88,NaN,NaN,91,NaN,86,NaN,NaN,76,NaN,NaN,NaN,NaN,85,NaN,80,84,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403115026,NaN,92,NaN,64,NaN,NaN,NaN,84,65,NaN,70,NaN,NaN,NaN,83,NaN,70,NaN,NaN,NaN,95,66,NaN,78,NaN,86,60,NaN,89,NaN,NaN,NaN,65,NaN,NaN,NaN,88,NaN,NaN,78,71,NaN,90,NaN,NaN,NaN,66,NaN,NaN,NaN,-1,72,-1,NaN,NaN,NaN,65,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
403115028,NaN,96,NaN,69,NaN,76,NaN,76,NaN,87,NaN,NaN,NaN,NaN,86,NaN,80,NaN,88,NaN,NaN,NaN,88,NaN,NaN,87,85,NaN,NaN,88,NaN,85,NaN,NaN,NaN,90,NaN,89,84,NaN,89,NaN,NaN,87,NaN,86,NaN,NaN,NaN,92,NaN,NaN,NaN,87,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403115036,NaN,95,NaN,NaN,74,NaN,98,NaN,73,NaN,NaN,98,NaN,NaN,85,NaN,NaN,82,NaN,94,NaN,68,NaN,NaN,95,87,79,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,77,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,83,83,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,-1,NaN
403115043,NaN,96,NaN,NaN,79,NaN,NaN,NaN,85,NaN,92,NaN,88,NaN,83,NaN,NaN,87,NaN,NaN,NaN,82,NaN,84,NaN,NaN,78,NaN,NaN,87,99,NaN,NaN,NaN,85,NaN,NaN,NaN,90,NaN,79,NaN,NaN,83,97,NaN,NaN,NaN,84,NaN,NaN,NaN,79,NaN,87,NaN,NaN,88,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403115044,NaN,90,NaN,NaN,92,NaN,99,NaN,NaN,NaN,90,NaN,NaN,NaN,89,NaN,NaN,93,NaN,99,NaN,NaN,NaN,86,NaN,90,84,NaN,NaN,89,NaN,NaN,92,99,NaN,NaN,NaN,92,93,NaN,77,NaN,NaN,90,NaN,NaN,97,99,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,96,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403115046,NaN,91,NaN,87,NaN,NaN,91,NaN,81,NaN,NaN,99,NaN,NaN,84,NaN,82,NaN,NaN,90,NaN,79,NaN,NaN,95,86,74,NaN,NaN,83,NaN,86,NaN,NaN,84,NaN,NaN,81,NaN,NaN,87,NaN,NaN,86,NaN,87,NaN,NaN,-1,NaN,NaN,86,-1,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
403115054,NaN,96,NaN,NaN,80,77,99,NaN,NaN,NaN,NaN,95,NaN,NaN,87,NaN,72,NaN,84,-1,NaN,NaN,NaN,NaN,100,93,82,NaN,NaN,86,NaN,NaN,86,NaN,NaN,79,NaN,89,90,NaN,84,NaN,NaN,86,NaN,NaN,83,NaN,NaN,92,NaN,87,-1,NaN,NaN,NaN,80,NaN,88,NaN,89,89,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403115003,NaN,NaN,83,86,NaN,NaN,93,64,NaN,NaN,NaN,95,90,NaN,NaN,81,83,NaN,NaN,93,NaN,NaN,NaN,NaN,94,NaN,88,NaN,NaN,88,NaN,NaN,78,NaN,NaN,NaN,NaN,81,83,NaN,89,NaN,NaN,86,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,82,NaN,NaN,NaN,87,NaN,NaN,NaN,85,NaN,NaN,NaN,86,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,-1
403115005,NaN,NaN,91,88,NaN,68,NaN,73,82,NaN,80,NaN,87,NaN,NaN,93,90,NaN,74,NaN,84,81,NaN,86,NaN,NaN,81,NaN,NaN,91,NaN,NaN,91,NaN,85,NaN,NaN,85,93,NaN,86,NaN,NaN,91,NaN,NaN,85,NaN,87,NaN,NaN,NaN,91,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403115009,NaN,NaN,68,72,NaN,NaN,78,73,72,NaN,73,NaN,87,NaN,NaN,76,74,NaN,NaN,NaN,NaN,60,NaN,73,NaN,NaN,64,NaN,85,NaN,NaN,82,NaN,NaN,71,NaN,NaN,79,NaN,NaN,67,NaN,84,NaN,NaN,86,NaN,NaN,60,NaN,NaN,75,-1,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
403115015,NaN,NaN,93,93,NaN,91,NaN,98,NaN,NaN,NaN,100,88,NaN,NaN,93,87,NaN,92,NaN,94,NaN,NaN,NaN,99,NaN,92,NaN,NaN,83,NaN,NaN,92,NaN,NaN,92,NaN,88,86,NaN,87,NaN,NaN,85,NaN,NaN,93,NaN,NaN,93,NaN,NaN,88,NaN,NaN,-1,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403115021,NaN,NaN,81,82,NaN,NaN,92,60,81,NaN,NaN,94,80,NaN,NaN,79,78,NaN,NaN,89,69,70,NaN,NaN,93,NaN,72,NaN,NaN,72,NaN,NaN,77,NaN,66,NaN,NaN,77,89,NaN,82,NaN,89,NaN,NaN,NaN,74,NaN,69,NaN,NaN,85,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN
403115031,NaN,NaN,90,NaN,85,NaN,95,NaN,NaN,NaN,NaN,94,86,NaN,NaN,90,NaN,89,NaN,95,NaN,NaN,NaN,NaN,96,NaN,93,NaN,NaN,89,NaN,85,NaN,NaN,NaN,NaN,NaN,94,82,NaN,91,NaN,NaN,89,NaN,89,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403115037,NaN,NaN,88,84,NaN,NaN,NaN,NaN,82,NaN,NaN,96,87,NaN,NaN,89,86,NaN,NaN,NaN,NaN,78,NaN,NaN,95,NaN,72,89,NaN,NaN,72,NaN,NaN,NaN,79,NaN,NaN,82,NaN,NaN,74,90,NaN,NaN,79,NaN,NaN,NaN,79,NaN,NaN,88,-1,NaN,NaN,NaN,87,NaN,NaN,NaN,87,78,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403115041,NaN,NaN,70,60,NaN,NaN,87,94,NaN,NaN,72,NaN,87,NaN,NaN,76,NaN,81,NaN,88,85,NaN,NaN,66,NaN,NaN,60,NaN,NaN,67,NaN,NaN,70,80,NaN,NaN,76,75,72,NaN,-1,NaN,83,NaN,NaN,NaN,68,82,NaN,NaN,80,NaN,-1,62,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
403115042,NaN,NaN,77,NaN,68,NaN,96,74,76,NaN,NaN,94,NaN,NaN,NaN,85,NaN,81,NaN,93,NaN,73,NaN,NaN,92,90,71,NaN,88,NaN,NaN,85,NaN,88,76,NaN,NaN,NaN,NaN,NaN,68,NaN,87,NaN,NaN,85,NaN,NaN,75,NaN,NaN,81,NaN,NaN,NaN,NaN,75,88,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
