id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102201@總體經濟學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102240@貨幣銀行學@2@2,5102401@管制經濟學@2@1,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102101@個體經濟學（一）@1@3,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102102@個體經濟學（二）@2@3,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5104101@個體經濟理論應用@2@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5101002@經濟學原理（二）@2@5,5101002@經濟學原理（二）@2@6,5103160@產業經濟學@2@1,5103308@高等統計學（二）@2@1,5103312@計量經濟學（二）@2@1,5103366@賽局理論（二）@2@1,5103920@統計軟體應用@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1,5104710@國際貿易實務@2@1
402510001,NaN,90,NaN,NaN,NaN,93,NaN,89,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,84,NaN,66,86,94,72,NaN,78,NaN,83,80,NaN,68,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,80,91,NaN,97,NaN,NaN,66,NaN,NaN,NaN,71,NaN,NaN,NaN,89,83,NaN,NaN,NaN,NaN
402510017,NaN,80,NaN,NaN,NaN,93,NaN,74,66,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,69,NaN,NaN,NaN,NaN,84,NaN,80,NaN,NaN,NaN,71,NaN,NaN,66,NaN,82,99,56,70,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,92,NaN,90,96,83,NaN,NaN,NaN,NaN,-1,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
402510027,NaN,68,NaN,NaN,NaN,NaN,85,64,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,39,65,48,70,NaN,NaN,NaN,60,NaN,NaN,60,NaN,61,37,60,-1,NaN,NaN,NaN,79,41,61,NaN,84,NaN,49,61,NaN,62,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402510029,NaN,85,NaN,NaN,NaN,93,NaN,95,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,85,NaN,71,91,96,NaN,NaN,93,NaN,83,87,NaN,87,73,NaN,93,87,NaN,NaN,NaN,NaN,95,80,99,NaN,98,NaN,NaN,76,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510039,NaN,70,NaN,NaN,NaN,NaN,80,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,60,NaN,NaN,75,NaN,78,60,77,NaN,71,NaN,69,NaN,NaN,NaN,65,67,NaN,69,NaN,NaN,57,NaN,NaN,NaN,73,78,NaN,69,78,NaN,NaN,83,NaN,NaN,NaN,78,NaN,NaN,78,NaN,76,NaN,NaN,NaN,NaN
402510040,NaN,65,NaN,NaN,NaN,NaN,NaN,65,NaN,60,NaN,NaN,90,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,91,60,87,NaN,NaN,NaN,86,NaN,NaN,88,NaN,67,NaN,94,91,NaN,78,NaN,75,NaN,92,80,NaN,80,NaN,88,NaN,NaN,90,NaN,NaN,76,86,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
402510043,NaN,71,NaN,NaN,NaN,92,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,79,NaN,78,NaN,78,NaN,NaN,NaN,NaN,70,87,NaN,77,67,NaN,71,74,NaN,82,NaN,NaN,60,NaN,NaN,NaN,87,NaN,81,90,62,76,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510044,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,90,NaN,64,NaN,83,NaN,NaN,68,NaN,74,74,81,NaN,82,NaN,85,NaN,60,NaN,73,70,NaN,69,78,NaN,NaN,70,NaN,NaN,76,80,NaN,90,NaN,83,NaN,73,92,NaN,NaN,51,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN
402510047,NaN,77,NaN,NaN,NaN,92,NaN,81,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,85,NaN,86,NaN,NaN,NaN,96,NaN,NaN,82,NaN,75,NaN,95,91,NaN,87,NaN,96,NaN,96,80,NaN,93,NaN,90,NaN,NaN,91,NaN,NaN,80,85,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN
402510049,NaN,71,NaN,NaN,NaN,93,NaN,72,NaN,60,NaN,NaN,NaN,NaN,80,NaN,75,NaN,NaN,NaN,NaN,NaN,90,73,NaN,NaN,NaN,86,NaN,NaN,NaN,83,NaN,NaN,NaN,90,NaN,75,85,NaN,93,72,NaN,NaN,88,NaN,91,NaN,92,93,NaN,NaN,NaN,86,83,86,NaN,86,NaN,NaN,NaN,NaN,NaN
