id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102201@總體經濟學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102240@貨幣銀行學@2@2,5102401@管制經濟學@2@1,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102101@個體經濟學（一）@1@3,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102102@個體經濟學（二）@2@3,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5104101@個體經濟理論應用@2@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5101002@經濟學原理（二）@2@5,5101002@經濟學原理（二）@2@6,5103160@產業經濟學@2@1,5103308@高等統計學（二）@2@1,5103312@計量經濟學（二）@2@1,5103366@賽局理論（二）@2@1,5103920@統計軟體應用@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1,5104710@國際貿易實務@2@1
402510086,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,90,NaN,NaN,NaN,63,NaN,NaN,77,NaN,64,60,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,75,63,NaN,69,74,NaN,67,NaN,NaN,49,68,NaN,NaN,86,NaN,79,81,65,89,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
402510098,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,100,90,NaN,98,86,NaN,NaN,93,NaN,99,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,94,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,96,NaN,93,NaN,90,99,NaN,NaN,NaN,87,NaN,88,NaN,97,NaN,NaN,NaN,NaN,NaN
402510100,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,86,90,NaN,NaN,NaN,NaN,82,NaN,NaN,83,NaN,91,83,NaN,NaN,65,NaN,NaN,85,NaN,NaN,83,78,NaN,80,NaN,NaN,NaN,NaN,93,70,NaN,NaN,NaN,94,NaN,100,90,NaN,95,NaN,NaN,87,90,90,87,NaN,NaN,NaN,NaN,NaN,NaN
402510106,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,93,95,NaN,NaN,76,NaN,92,NaN,NaN,86,83,NaN,64,91,NaN,NaN,NaN,NaN,85,85,NaN,88,81,86,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,92,70,NaN,93,82,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510007,NaN,NaN,NaN,NaN,NaN,92,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,81,NaN,75,NaN,NaN,NaN,80,NaN,84,75,NaN,65,NaN,85,NaN,NaN,89,NaN,NaN,NaN,91,80,NaN,91,NaN,98,NaN,NaN,95,NaN,NaN,63,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
402510059,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510037,92,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,91,66,NaN,NaN,NaN,83,77,NaN,NaN,90,NaN,NaN,NaN,78,NaN,-1,NaN,82,87,96,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,82,NaN,88,NaN,82,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402510112,NaN,96,NaN,NaN,NaN,94,NaN,100,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,97,NaN,96,95,NaN,NaN,NaN,NaN,NaN,97,84,NaN,92,NaN,99,95,NaN,92,NaN,NaN,NaN,NaN,NaN,97,84,-1,NaN,NaN,NaN,NaN,NaN,NaN
402510113,NaN,NaN,NaN,NaN,NaN,94,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,70,70,NaN,NaN,62,NaN,85,NaN,75,91,NaN,80,NaN,74,88,NaN,NaN,NaN,NaN,NaN,93,70,91,NaN,78,NaN,NaN,NaN,87,NaN,NaN,85,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
402510114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,91,NaN,NaN,NaN,NaN,90,NaN,80,93,NaN,NaN,NaN,NaN,NaN,89,82,NaN,NaN,NaN,91,NaN,NaN,NaN,98,NaN,92,NaN,99,NaN,NaN,NaN,-1,93,NaN,97,74,90,NaN,78,NaN,NaN,90,90,NaN,NaN,-1,95,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
402510111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,89,NaN,94,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,95,NaN,95,NaN,64,NaN,NaN,NaN,91,NaN,88,NaN,NaN,84,NaN,90,NaN,93,NaN,91,NaN,NaN,NaN,82,NaN,NaN,92,90,NaN,NaN,NaN,NaN,NaN
402510119,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,90,76,NaN,76,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,-1,70,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,67,NaN,77,81,NaN,NaN,67,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402510120,NaN,88,NaN,NaN,NaN,NaN,NaN,88,NaN,70,NaN,NaN,NaN,-1,NaN,NaN,86,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,83,82,NaN,NaN,89,NaN,-1,NaN,NaN,NaN,NaN,65,NaN,NaN,77,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
402510115,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,96,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,95,NaN,97,NaN,NaN,91,NaN,NaN,NaN,94,NaN,NaN,NaN,95,NaN,83,NaN,NaN,93,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510117,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,63,NaN,34,73,NaN,86,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN
402510116,NaN,NaN,NaN,NaN,NaN,NaN,88,100,NaN,60,NaN,NaN,NaN,NaN,80,NaN,86,NaN,NaN,NaN,NaN,74,NaN,65,NaN,NaN,NaN,72,NaN,NaN,NaN,97,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,77,NaN,64,66,NaN,70,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
