id,4255011@專題討論（一）@1@1,4255211@膠體與界面現象@1@1,4255245@超臨界流體操作概論@1@1,4255400@高等化工熱力學@1@1,4255531@高分子材料合成@1@1,4255560@反應工程與反應器設計@1@1,4255580@生化工程@1@1,4255724@系統生物學@1@1,4255742@生物工程特論@1@1,4255743@生物高分子@1@1,4255924@電子構裝@1@1,4255926@半導體製程技術@1@1,4255930@精密陶瓷製造@1@1,4257730@軟質材料@1@1,4257750@化工單元操作應用實務@1@1,4257760@光散射之複雜流體分析@1@1,4257762@生物精煉與生質能源@1@1,4255022@專題討論（二）@2@1,4255050@碩士論文（一）@2@1,4255210@高等輸送現象@2@1,4255250@粉粒體技術@2@1,4255251@奈米製造技術@2@1,4255330@非線性動態學@2@1,4255570@工業觸媒@2@1,4255572@精密材料合成@2@1,4255723@電腦在生化系統之應用@2@1,4255740@生物技術@2@1,4255745@生物醫學特論@2@1,4255803@材料相平衡@2@1,4255932@分子螢光學之原理與應用@2@1,4257761@軟物質材料之多尺度模擬法@2@1
605425029,88,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,85,NaN,NaN,NaN,80,91,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425030,88,NaN,NaN,NaN,79,84,81,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,86,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
605425034,88,NaN,NaN,NaN,NaN,88,70,87,NaN,73,NaN,NaN,NaN,NaN,91,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
605425035,88,NaN,NaN,NaN,NaN,89,76,88,NaN,77,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
605425037,88,NaN,NaN,NaN,82,89,84,NaN,NaN,NaN,NaN,90,88,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605425038,86,NaN,NaN,NaN,89,90,NaN,NaN,NaN,81,NaN,92,NaN,84,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605425039,88,NaN,88,NaN,NaN,81,75,NaN,NaN,NaN,NaN,83,NaN,70,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605425040,88,NaN,NaN,83,81,NaN,NaN,NaN,NaN,NaN,NaN,89,88,NaN,94,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605425042,88,NaN,NaN,NaN,95,92,NaN,NaN,NaN,NaN,NaN,93,NaN,85,81,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605425043,88,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,93,NaN,75,81,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425044,88,NaN,88,NaN,NaN,85,70,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
605425045,88,NaN,NaN,70,72,NaN,78,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605425049,88,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,96,NaN,78,87,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425051,88,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,85,NaN,NaN,NaN,76,82,NaN,82,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
605425052,88,NaN,NaN,84,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,83,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
605425054,88,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,75,77,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
605425056,88,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,88,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
605425057,88,NaN,NaN,NaN,74,88,78,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
605425059,88,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,89,NaN,NaN,NaN,91,91,NaN,94,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
605425060,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,81,84,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
605425062,88,78,NaN,NaN,NaN,80,73,NaN,78,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
605425063,93,NaN,NaN,NaN,NaN,91,74,89,NaN,78,NaN,NaN,NaN,NaN,84,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
605425067,88,NaN,NaN,NaN,94,92,86,NaN,NaN,NaN,NaN,98,NaN,90,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425068,88,NaN,NaN,NaN,NaN,89,90,NaN,NaN,NaN,NaN,99,NaN,90,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605425069,88,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,79,80,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
605425071,88,NaN,94,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,85,NaN,84,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605425072,88,78,NaN,NaN,NaN,85,70,NaN,88,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
605425073,88,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,85,70,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
