id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5202003@統計學（一）@1@2,5202009@管理科學概論@1@1,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5202012@運籌管理@2@1,5203051@管理時事英文選讀（一）@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5203073@消費者行為@1@1,5202004@統計學（二）@2@1,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203078@非營利組織會計@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1,5204061@專案管理@2@1,5202007@民法概要@1@1,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203002@人力資源管理@1@2,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204070@國際財務管理@1@1,5204071@非營利組織財務管理@1@1,5204076@人文思考與創造力@1@1,5202039@組織行為@2@1,5202039@組織行為@2@2,5203045@系統模擬@2@1,5203077@全面品質管理@2@1,5203079@行銷個案研討@2@1
403520074,90,NaN,NaN,86,NaN,NaN,NaN,75,82,NaN,NaN,84,70,NaN,NaN,85,NaN,80,68,-1,72,NaN,89,NaN,NaN,79,89,NaN,59,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520078,90,NaN,NaN,60,NaN,NaN,90,87,NaN,85,NaN,70,79,NaN,NaN,NaN,NaN,70,94,-1,NaN,80,NaN,NaN,65,NaN,94,NaN,89,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,88,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520080,78,NaN,NaN,63,NaN,NaN,NaN,69,68,NaN,NaN,81,70,NaN,NaN,83,NaN,70,NaN,NaN,NaN,76,78,NaN,NaN,78,77,-1,74,NaN,80,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,70,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,-1,NaN,NaN
403520082,77,NaN,NaN,71,NaN,NaN,NaN,76,71,NaN,71,NaN,NaN,NaN,NaN,76,82,NaN,73,46,NaN,73,83,NaN,NaN,78,NaN,NaN,73,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520084,83,NaN,NaN,87,NaN,NaN,NaN,92,NaN,82,84,NaN,80,NaN,74,NaN,NaN,65,90,NaN,74,NaN,91,NaN,NaN,90,NaN,NaN,NaN,91,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520086,77,NaN,NaN,77,NaN,NaN,NaN,70,NaN,81,NaN,84,63,NaN,NaN,60,82,NaN,60,NaN,71,NaN,80,NaN,NaN,91,NaN,NaN,NaN,83,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,88,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
403520088,75,NaN,NaN,66,NaN,NaN,84,NaN,76,NaN,NaN,78,73,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,76,NaN,69,63,NaN,88,NaN,66,NaN,82,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,87,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520090,77,NaN,NaN,81,NaN,NaN,NaN,91,NaN,86,NaN,85,60,NaN,77,NaN,NaN,75,79,-1,NaN,77,73,NaN,67,NaN,NaN,NaN,70,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,82,NaN,75,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520092,76,NaN,NaN,61,NaN,NaN,NaN,73,73,NaN,NaN,77,70,NaN,NaN,71,NaN,70,74,NaN,NaN,71,77,NaN,NaN,81,77,NaN,69,NaN,NaN,75,NaN,84,-1,NaN,NaN,61,NaN,NaN,75,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,-1,NaN,NaN
403520096,79,NaN,NaN,75,NaN,NaN,NaN,87,NaN,87,NaN,89,76,NaN,77,NaN,NaN,70,92,NaN,NaN,81,92,NaN,NaN,87,NaN,NaN,80,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,89,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520003,NaN,77,70,NaN,NaN,93,NaN,86,58,70,NaN,73,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,74,83,NaN,NaN,92,NaN,NaN,NaN,80,83,-1,NaN,-1,NaN,NaN,NaN,74,86,72,NaN,90,87,NaN,50,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520004,NaN,72,NaN,70,NaN,NaN,NaN,86,NaN,81,NaN,89,70,NaN,NaN,NaN,NaN,70,93,-1,NaN,76,86,NaN,NaN,83,92,NaN,84,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,90,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520005,NaN,80,79,NaN,90,NaN,NaN,72,69,NaN,73,NaN,NaN,NaN,NaN,70,NaN,NaN,76,51,NaN,70,86,NaN,NaN,81,77,NaN,76,NaN,NaN,NaN,69,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520007,NaN,81,73,NaN,NaN,92,NaN,81,72,NaN,75,NaN,79,NaN,NaN,79,NaN,NaN,94,NaN,NaN,76,82,NaN,NaN,87,89,NaN,74,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520009,NaN,73,61,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520011,NaN,77,77,NaN,NaN,91,NaN,99,77,NaN,85,NaN,68,NaN,NaN,78,NaN,NaN,71,NaN,NaN,78,97,NaN,NaN,99,NaN,NaN,80,NaN,NaN,NaN,-1,84,NaN,NaN,NaN,-1,NaN,NaN,NaN,89,88,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520013,NaN,86,74,NaN,NaN,93,NaN,87,78,NaN,78,NaN,87,NaN,NaN,81,NaN,NaN,NaN,NaN,80,NaN,86,NaN,NaN,92,NaN,NaN,84,NaN,69,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,93,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520014,NaN,71,NaN,66,NaN,NaN,NaN,87,NaN,76,NaN,62,77,NaN,69,NaN,82,NaN,NaN,-1,NaN,81,96,NaN,NaN,92,NaN,NaN,NaN,80,86,NaN,77,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,85,85,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
403520015,NaN,67,60,NaN,NaN,92,73,82,65,NaN,NaN,78,68,NaN,-1,52,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,79,NaN,NaN,NaN,79,NaN,60,NaN,-1,-1,NaN,NaN,NaN,-1,-1,70,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520017,NaN,84,65,NaN,93,NaN,82,NaN,73,NaN,71,NaN,68,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,63,NaN,73,61,NaN,NaN,NaN,NaN,74,84,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,84,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520019,NaN,78,53,NaN,NaN,91,NaN,NaN,60,NaN,NaN,26,30,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520023,NaN,62,63,NaN,92,NaN,NaN,66,61,NaN,77,NaN,70,NaN,NaN,54,NaN,NaN,76,37,72,NaN,84,NaN,78,NaN,80,NaN,68,NaN,NaN,74,NaN,72,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,-1,NaN,NaN
403520025,NaN,84,96,NaN,NaN,93,95,NaN,NaN,93,89,NaN,78,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,74,NaN,84,70,NaN,NaN,NaN,80,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,84,68,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,-1,NaN
403520029,NaN,94,99,NaN,91,NaN,NaN,100,87,NaN,NaN,100,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,81,NaN,96,NaN,NaN,99,99,NaN,94,NaN,96,-1,NaN,-1,NaN,NaN,NaN,88,-1,91,NaN,92,95,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520031,NaN,86,94,NaN,NaN,92,NaN,100,78,NaN,84,NaN,NaN,90,NaN,98,NaN,NaN,NaN,NaN,NaN,81,91,NaN,NaN,99,NaN,NaN,NaN,92,90,NaN,79,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,94,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520033,NaN,85,72,NaN,91,NaN,NaN,78,NaN,77,77,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,90,NaN,NaN,92,92,NaN,NaN,82,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,88,NaN,66,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520035,NaN,84,97,NaN,90,NaN,NaN,99,81,NaN,98,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,78,NaN,90,NaN,NaN,99,NaN,NaN,NaN,90,86,NaN,79,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,87,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520037,NaN,87,99,NaN,NaN,91,NaN,100,81,NaN,100,NaN,94,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,85,95,NaN,NaN,99,NaN,NaN,NaN,91,94,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,93,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520041,NaN,80,82,NaN,NaN,91,84,61,NaN,77,NaN,67,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,48,93,NaN,85,NaN,NaN,60,71,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,77,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
403520043,NaN,76,72,NaN,NaN,91,NaN,70,NaN,75,75,NaN,62,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,77,82,NaN,75,NaN,NaN,NaN,66,NaN,75,NaN,-1,-1,85,NaN,-1,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520045,NaN,75,69,NaN,94,NaN,NaN,83,NaN,80,NaN,74,74,NaN,77,NaN,NaN,NaN,89,-1,NaN,75,81,NaN,NaN,94,NaN,NaN,82,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,90,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520047,NaN,64,64,NaN,93,NaN,92,NaN,NaN,60,76,NaN,66,NaN,63,NaN,NaN,NaN,NaN,-1,NaN,71,NaN,67,60,NaN,NaN,NaN,72,NaN,81,-1,NaN,-1,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN
403520049,NaN,86,79,NaN,NaN,92,NaN,90,75,NaN,86,NaN,83,NaN,NaN,89,NaN,NaN,NaN,66,81,NaN,91,NaN,NaN,99,90,NaN,NaN,86,94,NaN,-1,-1,86,NaN,NaN,NaN,NaN,91,NaN,87,92,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520053,NaN,79,87,NaN,91,NaN,NaN,NaN,72,NaN,90,NaN,84,NaN,NaN,79,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520055,NaN,77,60,NaN,93,NaN,NaN,83,NaN,70,NaN,80,71,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,72,89,NaN,NaN,88,NaN,NaN,74,NaN,93,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,72,NaN,87,88,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520056,NaN,86,NaN,93,NaN,NaN,NaN,NaN,NaN,97,NaN,97,74,NaN,93,NaN,82,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520057,NaN,71,67,NaN,NaN,93,NaN,83,66,NaN,81,NaN,85,NaN,NaN,61,NaN,NaN,NaN,-1,NaN,80,85,NaN,NaN,87,NaN,NaN,77,NaN,79,NaN,64,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520059,NaN,89,95,NaN,NaN,92,94,NaN,84,NaN,86,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,-1,NaN,75,NaN,87,NaN,NaN,NaN,NaN,84,NaN,93,-1,NaN,-1,NaN,NaN,NaN,85,-1,NaN,NaN,89,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520061,NaN,73,60,NaN,NaN,94,95,NaN,67,NaN,66,NaN,76,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,70,NaN,86,60,NaN,NaN,NaN,NaN,84,80,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520063,NaN,78,60,NaN,91,NaN,NaN,71,60,NaN,NaN,75,NaN,NaN,NaN,70,NaN,NaN,79,NaN,71,NaN,81,NaN,NaN,89,88,NaN,63,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,69,NaN,NaN,NaN,90,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403520065,NaN,88,63,NaN,NaN,92,NaN,93,71,NaN,NaN,94,NaN,NaN,NaN,81,NaN,NaN,90,-1,NaN,73,90,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,-1,NaN,84,NaN,NaN,NaN,-1,-1,NaN,NaN,89,85,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520067,NaN,81,60,NaN,NaN,95,NaN,81,NaN,82,NaN,84,77,NaN,68,NaN,NaN,NaN,80,NaN,NaN,71,84,NaN,NaN,85,NaN,NaN,66,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520069,NaN,87,97,NaN,91,NaN,NaN,97,90,NaN,NaN,98,90,NaN,NaN,99,NaN,NaN,96,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,88,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520071,NaN,76,NaN,90,90,NaN,NaN,82,NaN,76,NaN,86,75,NaN,87,NaN,NaN,NaN,85,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,-1,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520073,NaN,70,60,NaN,91,NaN,NaN,62,NaN,74,NaN,73,62,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,68,78,NaN,NaN,70,NaN,NaN,55,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,86,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403520075,NaN,84,60,NaN,95,NaN,NaN,79,NaN,71,81,NaN,NaN,NaN,65,NaN,NaN,NaN,75,NaN,68,NaN,70,NaN,NaN,87,NaN,NaN,59,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,77,NaN,90,72,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
403520076,NaN,82,65,NaN,NaN,NaN,87,NaN,NaN,94,NaN,86,80,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,78,NaN,79,75,NaN,90,NaN,72,NaN,86,NaN,71,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,87,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
