id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201002@管理學@2@3,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5204061@專案管理@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202003@統計學（一）@1@2,5202007@民法概要@1@1,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203056@管理時事英文選讀（二）@1@1,5204076@人文思考與創造力@1@1,5201016@經濟學原理(二)@2@1,5202004@統計學（二）@2@1,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5202039@組織行為@2@1,5202039@組織行為@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203051@管理時事英文選讀（一）@2@1,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1
404520028,70,NaN,NaN,79,NaN,NaN,NaN,63,NaN,NaN,78,87,NaN,82,NaN,92,NaN,NaN,NaN,74,NaN,86,65,NaN,79,NaN,84,NaN,NaN,54,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520029,70,NaN,NaN,79,NaN,70,72,NaN,NaN,74,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,70,82,NaN,85,NaN,69,NaN,66,NaN,NaN,NaN,87,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520030,72,NaN,NaN,74,NaN,NaN,80,NaN,NaN,NaN,83,76,NaN,76,NaN,92,NaN,NaN,NaN,78,NaN,90,72,65,NaN,91,NaN,NaN,NaN,70,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520031,78,NaN,NaN,89,90,NaN,NaN,87,NaN,99,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520032,78,NaN,NaN,75,NaN,NaN,74,NaN,NaN,NaN,65,85,NaN,NaN,NaN,NaN,95,NaN,NaN,76,NaN,78,68,NaN,66,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520034,77,NaN,NaN,72,NaN,NaN,NaN,69,NaN,NaN,67,76,NaN,NaN,NaN,93,NaN,NaN,78,NaN,NaN,77,70,NaN,78,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520037,72,NaN,NaN,81,NaN,70,NaN,68,NaN,65,NaN,93,NaN,85,NaN,NaN,NaN,NaN,NaN,80,NaN,85,88,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
404520040,73,NaN,NaN,77,NaN,NaN,NaN,64,NaN,74,NaN,NaN,NaN,80,NaN,92,NaN,NaN,73,NaN,NaN,97,78,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
404520042,81,NaN,NaN,73,NaN,NaN,NaN,68,NaN,71,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,74,NaN,NaN,78,79,66,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520043,73,NaN,NaN,79,90,NaN,68,NaN,NaN,75,NaN,68,NaN,75,NaN,NaN,NaN,NaN,NaN,74,NaN,71,78,NaN,73,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520044,78,NaN,NaN,78,NaN,NaN,NaN,80,NaN,85,NaN,86,NaN,NaN,NaN,NaN,95,NaN,NaN,80,NaN,93,77,70,NaN,85,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520046,81,NaN,NaN,78,NaN,NaN,NaN,73,NaN,84,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,82,NaN,86,78,NaN,91,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520048,80,NaN,NaN,82,NaN,NaN,NaN,82,NaN,100,NaN,NaN,NaN,85,NaN,96,NaN,NaN,77,NaN,NaN,97,84,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520050,72,NaN,NaN,77,NaN,NaN,NaN,71,NaN,85,NaN,80,NaN,89,NaN,NaN,95,NaN,NaN,72,NaN,95,86,92,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520051,74,NaN,NaN,NaN,NaN,60,67,NaN,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520052,78,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520053,71,NaN,NaN,69,90,NaN,71,NaN,NaN,61,NaN,79,NaN,62,NaN,NaN,NaN,NaN,NaN,75,NaN,82,77,NaN,70,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520056,73,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520058,73,NaN,NaN,70,NaN,NaN,68,NaN,NaN,NaN,67,-1,NaN,NaN,NaN,NaN,93,NaN,70,NaN,NaN,95,82,NaN,74,NaN,70,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520059,84,NaN,NaN,74,90,NaN,NaN,61,NaN,77,NaN,70,NaN,76,NaN,NaN,NaN,NaN,NaN,70,NaN,85,74,50,NaN,68,NaN,87,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
404520060,79,NaN,NaN,83,NaN,NaN,NaN,80,NaN,96,NaN,-1,NaN,82,NaN,96,NaN,NaN,84,NaN,NaN,98,84,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520061,87,NaN,NaN,79,90,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,88,NaN,NaN,NaN,NaN,82,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
