id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201012@統計學（一）@1@1,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5202004@統計學（二）@2@1,5202012@運籌管理@2@1,5203056@管理時事英文選讀（二）@2@1,5203056@管理時事英文選讀（二）@2@2,5201010@初級會計學(一)@1@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202003@統計學（一）@1@2,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5203002@人力資源管理@1@1,5201002@管理學@2@3,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203051@管理時事英文選讀（一）@2@1,5203073@消費者行為@2@1,5203082@期貨與選擇權實務@2@1,5203084@企業倫理@2@1,5204031@廣告管理@2@1,5204061@專案管理@2@1,5204081@品牌管理@2@1,5201010@初級會計學(一)@1@2,5203002@人力資源管理@1@2,5203073@消費者行為@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204036@衍生性商品與風險管理@1@1,5204076@人文思考與創造力@1@1,5202013@管理資訊系統概論@2@2,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203083@領導學@2@1,5202041@服務業行銷管理@1@1,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1,5204070@國際財務管理@1@1,5204089@人文與企業倫理專題@1@1,5202039@組織行為@2@1,5203077@全面品質管理@2@1
402520064,NaN,67,80,NaN,NaN,NaN,65,NaN,73,NaN,78,80,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,63,NaN,NaN,79,89,NaN,NaN,NaN,NaN,61,67,78,84,NaN,68,60,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,-1
402520066,NaN,87,97,NaN,NaN,NaN,70,100,NaN,NaN,88,78,NaN,92,84,NaN,NaN,NaN,78,NaN,NaN,NaN,100,NaN,NaN,83,92,NaN,NaN,NaN,NaN,85,NaN,NaN,85,NaN,90,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,90,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520068,NaN,70,84,NaN,NaN,NaN,67,77,NaN,NaN,86,NaN,80,70,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,80,NaN,NaN,84,NaN,NaN,NaN,NaN,93,NaN,88,67,87,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,82,82,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520070,NaN,70,NaN,NaN,NaN,NaN,56,89,NaN,81,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,85,NaN,77,84,NaN,87,68,NaN,NaN,NaN,87,84,78,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,84,84,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520072,NaN,64,84,NaN,NaN,NaN,66,84,NaN,NaN,86,78,NaN,60,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,89,NaN,NaN,87,NaN,NaN,NaN,NaN,86,NaN,75,82,81,90,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,91,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520074,NaN,78,NaN,NaN,NaN,NaN,68,69,NaN,NaN,91,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,86,74,NaN,NaN,70,90,NaN,NaN,NaN,83,NaN,66,76,81,NaN,76,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520076,NaN,76,NaN,NaN,NaN,NaN,68,87,NaN,NaN,83,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,92,NaN,72,80,NaN,88,NaN,NaN,NaN,NaN,89,77,77,80,NaN,NaN,74,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402520078,NaN,75,89,NaN,NaN,NaN,68,NaN,77,NaN,81,80,NaN,NaN,63,NaN,NaN,NaN,NaN,78,NaN,NaN,73,NaN,NaN,99,90,NaN,NaN,NaN,85,NaN,NaN,NaN,-1,NaN,68,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520080,NaN,83,92,NaN,NaN,NaN,72,81,NaN,NaN,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,75,94,NaN,87,NaN,NaN,NaN,92,NaN,89,NaN,88,NaN,NaN,70,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,77,NaN,87,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520082,NaN,70,71,NaN,NaN,NaN,72,85,NaN,87,NaN,80,NaN,71,72,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,66,61,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,85,NaN,NaN,88,NaN,NaN,75,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520084,NaN,86,NaN,NaN,NaN,NaN,69,95,NaN,NaN,86,NaN,75,95,NaN,NaN,NaN,NaN,NaN,72,75,NaN,92,NaN,NaN,77,NaN,NaN,NaN,NaN,87,NaN,70,82,82,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1
402520086,NaN,89,NaN,NaN,NaN,NaN,69,NaN,98,NaN,93,NaN,85,NaN,NaN,NaN,85,NaN,81,NaN,81,NaN,NaN,89,94,NaN,90,NaN,NaN,NaN,NaN,88,85,80,89,NaN,84,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520088,NaN,62,68,NaN,NaN,NaN,66,-1,52,63,NaN,NaN,77,NaN,66,NaN,NaN,45,55,63,NaN,NaN,15,60,62,NaN,89,NaN,63,NaN,60,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,57,NaN,NaN,80,NaN,NaN,80,60,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520090,NaN,73,82,NaN,NaN,NaN,60,80,NaN,75,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,65,NaN,NaN,82,89,NaN,NaN,NaN,89,NaN,89,71,81,91,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,95,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520092,NaN,74,NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520094,NaN,65,76,NaN,NaN,NaN,63,64,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,60,NaN,NaN,82,86,NaN,NaN,NaN,NaN,78,82,63,78,NaN,NaN,60,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
402520096,NaN,83,NaN,NaN,NaN,NaN,62,54,69,80,NaN,75,NaN,NaN,76,NaN,NaN,NaN,NaN,75,73,NaN,76,44,82,NaN,86,NaN,NaN,58,NaN,78,NaN,79,90,NaN,NaN,64,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,87,90,92,NaN,NaN,NaN,NaN,NaN,NaN
402520011,NaN,89,NaN,NaN,85,NaN,84,78,NaN,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,85,NaN,95,NaN,NaN,82,90,NaN,93,NaN,NaN,NaN,87,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
