id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201012@統計學（一）@1@1,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5202004@統計學（二）@2@1,5202012@運籌管理@2@1,5203056@管理時事英文選讀（二）@2@1,5203056@管理時事英文選讀（二）@2@2,5201010@初級會計學(一)@1@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202003@統計學（一）@1@2,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5203002@人力資源管理@1@1,5201002@管理學@2@3,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203051@管理時事英文選讀（一）@2@1,5203073@消費者行為@2@1,5203082@期貨與選擇權實務@2@1,5203084@企業倫理@2@1,5204031@廣告管理@2@1,5204061@專案管理@2@1,5204081@品牌管理@2@1,5201010@初級會計學(一)@1@2,5203002@人力資源管理@1@2,5203073@消費者行為@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204036@衍生性商品與風險管理@1@1,5204076@人文思考與創造力@1@1,5202013@管理資訊系統概論@2@2,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203083@領導學@2@1,5202041@服務業行銷管理@1@1,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1,5204070@國際財務管理@1@1,5204089@人文與企業倫理專題@1@1,5202039@組織行為@2@1,5203077@全面品質管理@2@1
402520031,74,NaN,NaN,NaN,85,74,NaN,74,NaN,88,NaN,NaN,NaN,NaN,81,NaN,60,NaN,NaN,74,NaN,93,87,NaN,NaN,79,NaN,NaN,NaN,NaN,92,NaN,NaN,80,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520033,81,NaN,NaN,85,NaN,NaN,67,85,NaN,90,NaN,NaN,NaN,73,83,NaN,NaN,NaN,NaN,74,77,NaN,81,NaN,NaN,75,89,NaN,NaN,NaN,94,NaN,NaN,80,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,80,79,NaN,NaN,NaN,86,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520035,77,NaN,81,85,NaN,81,NaN,66,NaN,NaN,83,NaN,NaN,97,NaN,NaN,NaN,95,NaN,63,NaN,NaN,NaN,60,71,NaN,94,NaN,NaN,96,NaN,86,77,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520037,82,NaN,69,NaN,85,80,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,79,NaN,NaN,81,88,NaN,NaN,NaN,NaN,62,60,67,75,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,90,NaN,NaN,NaN,NaN
402520039,79,NaN,NaN,85,NaN,NaN,66,75,NaN,80,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,64,76,NaN,66,25,66,NaN,87,NaN,NaN,NaN,80,NaN,NaN,NaN,68,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,80,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520041,74,NaN,80,85,NaN,81,NaN,100,NaN,88,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,80,NaN,NaN,99,NaN,NaN,84,90,NaN,NaN,NaN,94,NaN,NaN,91,85,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,82,NaN,90,NaN,NaN,NaN,86,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520043,82,NaN,NaN,85,NaN,81,NaN,84,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,93,NaN,NaN,82,87,NaN,92,NaN,NaN,NaN,86,NaN,85,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,87,NaN,92,NaN,NaN,79,NaN,NaN,80,92,NaN,NaN,NaN,NaN,NaN,NaN
402520045,83,NaN,NaN,NaN,85,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402520049,74,NaN,84,NaN,85,73,NaN,96,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,79,81,NaN,90,NaN,NaN,NaN,90,NaN,88,82,86,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520053,83,NaN,NaN,NaN,85,NaN,64,65,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,82,67,NaN,NaN,77,93,NaN,NaN,NaN,84,NaN,74,77,81,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,86,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520055,76,NaN,NaN,85,NaN,68,NaN,64,NaN,79,NaN,NaN,NaN,NaN,68,NaN,60,73,NaN,70,79,NaN,76,NaN,NaN,78,90,NaN,NaN,NaN,86,NaN,NaN,68,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,80,NaN,NaN,NaN,NaN,NaN,85,79,92,NaN,NaN,NaN,NaN,NaN,NaN
402520057,72,NaN,NaN,NaN,85,79,NaN,83,NaN,80,NaN,NaN,NaN,NaN,77,NaN,63,NaN,NaN,66,NaN,91,87,NaN,NaN,80,89,NaN,NaN,NaN,93,NaN,NaN,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,82,NaN,NaN,NaN,NaN,NaN,86,67,92,NaN,NaN,NaN,NaN,NaN,NaN
402520059,78,NaN,82,85,NaN,NaN,66,74,NaN,NaN,86,NaN,NaN,68,83,67,NaN,NaN,NaN,62,NaN,NaN,NaN,70,68,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,78,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,85,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402520061,85,NaN,NaN,NaN,85,NaN,72,85,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,90,NaN,92,NaN,89,90,NaN,NaN,NaN,85,NaN,87,83,87,NaN,-1,-1,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520063,71,NaN,NaN,NaN,85,75,NaN,78,NaN,83,NaN,NaN,NaN,NaN,72,NaN,70,NaN,NaN,76,83,NaN,78,NaN,NaN,81,90,NaN,63,NaN,88,NaN,NaN,NaN,78,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,80,NaN,NaN,NaN,70,NaN,86,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520065,82,NaN,NaN,85,NaN,NaN,70,61,NaN,69,NaN,NaN,NaN,NaN,48,NaN,NaN,NaN,64,NaN,70,NaN,52,35,72,NaN,92,NaN,NaN,NaN,78,NaN,65,60,83,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,80,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520067,78,NaN,76,85,NaN,78,NaN,89,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,95,88,NaN,92,NaN,NaN,NaN,92,NaN,89,84,84,NaN,NaN,89,NaN,90,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520069,81,NaN,93,85,NaN,78,NaN,80,NaN,NaN,91,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,89,87,NaN,90,NaN,NaN,NaN,NaN,86,92,NaN,87,92,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520071,83,NaN,89,85,NaN,NaN,67,86,NaN,NaN,87,NaN,NaN,NaN,77,NaN,NaN,NaN,72,NaN,NaN,NaN,82,NaN,NaN,90,93,NaN,NaN,NaN,NaN,88,NaN,79,89,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,84,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520073,84,NaN,90,NaN,85,NaN,63,100,NaN,NaN,79,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,93,NaN,NaN,87,NaN,NaN,NaN,NaN,85,NaN,82,NaN,81,90,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,93,77,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520075,71,NaN,NaN,NaN,85,71,NaN,84,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,76,94,NaN,NaN,63,91,NaN,NaN,75,84,NaN,89,76,86,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520077,76,NaN,NaN,NaN,85,85,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,74,NaN,94,NaN,97,NaN,NaN,86,92,NaN,NaN,NaN,95,NaN,NaN,91,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,90,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520079,84,NaN,78,NaN,85,NaN,67,NaN,84,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,76,73,NaN,89,NaN,NaN,NaN,NaN,85,86,77,90,NaN,NaN,79,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,93,80,NaN,NaN,89,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520081,77,NaN,74,85,NaN,NaN,71,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,86,88,NaN,90,NaN,NaN,NaN,95,NaN,86,NaN,-1,NaN,NaN,73,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,86,NaN,NaN,88,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520083,82,NaN,99,85,NaN,83,NaN,100,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,100,NaN,96,91,NaN,NaN,NaN,90,NaN,89,NaN,88,92,NaN,NaN,NaN,98,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,82,NaN,NaN,85,92,NaN,93,NaN,NaN,NaN,NaN
402520085,73,NaN,NaN,NaN,85,NaN,68,93,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,97,NaN,80,89,NaN,NaN,NaN,NaN,NaN,86,NaN,80,75,81,NaN,NaN,61,NaN,NaN,NaN,NaN,71,NaN,NaN,84,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520087,73,NaN,NaN,NaN,85,70,NaN,NaN,84,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,80,NaN,NaN,71,71,NaN,87,NaN,NaN,NaN,75,NaN,86,71,84,NaN,88,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,86,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN
402520091,75,NaN,84,NaN,85,NaN,63,62,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,60,62,NaN,NaN,NaN,NaN,67,79,NaN,88,NaN,NaN,NaN,89,NaN,86,78,88,NaN,NaN,65,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,88,NaN,NaN,NaN,NaN,95,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520093,76,NaN,68,NaN,85,NaN,60,NaN,88,NaN,88,NaN,NaN,53,NaN,NaN,NaN,61,77,NaN,NaN,NaN,75,NaN,NaN,77,90,NaN,NaN,NaN,91,NaN,91,74,74,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,80,NaN,NaN,NaN,NaN,NaN,NaN,85,87,NaN,NaN,NaN,NaN,NaN,NaN
402520095,79,NaN,80,85,NaN,NaN,60,NaN,65,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,67,83,NaN,NaN,NaN,NaN,NaN,81,NaN,79,77,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,87,88,NaN,NaN,NaN,NaN,NaN,94,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520006,NaN,81,87,NaN,NaN,NaN,68,92,NaN,NaN,86,78,NaN,74,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,86,NaN,NaN,83,90,NaN,NaN,NaN,NaN,90,80,80,85,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520008,NaN,93,93,NaN,NaN,NaN,78,91,NaN,NaN,93,NaN,85,77,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,81,92,NaN,91,NaN,NaN,NaN,80,NaN,72,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,83,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
402520010,NaN,71,88,NaN,NaN,NaN,70,NaN,87,NaN,88,77,NaN,NaN,80,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,84,85,NaN,89,NaN,NaN,NaN,80,NaN,NaN,71,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520012,NaN,80,87,NaN,NaN,NaN,70,NaN,100,NaN,93,NaN,85,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,99,NaN,NaN,87,89,NaN,NaN,NaN,97,NaN,90,80,84,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520014,NaN,80,NaN,NaN,NaN,NaN,61,90,NaN,NaN,88,NaN,82,NaN,85,NaN,NaN,NaN,75,NaN,NaN,91,83,NaN,NaN,82,91,NaN,NaN,NaN,NaN,83,NaN,82,90,NaN,NaN,84,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520016,NaN,68,NaN,NaN,NaN,NaN,66,65,NaN,NaN,83,NaN,80,82,NaN,NaN,NaN,NaN,76,NaN,NaN,81,NaN,75,94,NaN,90,NaN,NaN,NaN,NaN,80,77,68,90,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,86,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520018,NaN,79,80,NaN,NaN,NaN,72,81,NaN,88,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,82,NaN,NaN,79,83,NaN,NaN,NaN,NaN,80,67,69,84,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520020,NaN,81,NaN,NaN,NaN,NaN,68,NaN,85,82,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,87,86,NaN,NaN,73,93,NaN,NaN,NaN,79,NaN,84,82,87,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520022,NaN,79,NaN,NaN,NaN,NaN,72,93,NaN,85,NaN,NaN,80,89,NaN,NaN,NaN,NaN,NaN,70,NaN,96,95,NaN,NaN,87,90,NaN,NaN,NaN,97,NaN,92,NaN,87,NaN,NaN,92,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520024,NaN,63,70,NaN,NaN,NaN,62,72,NaN,NaN,86,NaN,78,92,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,68,88,NaN,86,NaN,NaN,NaN,NaN,77,77,NaN,79,90,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520026,NaN,83,NaN,NaN,NaN,NaN,68,92,NaN,87,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,99,NaN,98,93,NaN,92,NaN,NaN,NaN,94,NaN,83,86,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,91,NaN,99,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520028,NaN,79,80,NaN,NaN,NaN,64,73,NaN,83,NaN,NaN,80,79,NaN,NaN,NaN,88,69,NaN,NaN,NaN,77,NaN,NaN,78,87,NaN,NaN,NaN,88,NaN,87,76,89,90,78,69,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520030,NaN,80,NaN,NaN,NaN,NaN,64,85,NaN,NaN,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,98,NaN,83,92,NaN,NaN,NaN,NaN,NaN,91,NaN,87,NaN,-1,NaN,NaN,85,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,-1,NaN,NaN,-1,92,NaN,NaN,NaN,NaN,NaN,NaN
402520032,NaN,69,89,NaN,NaN,NaN,70,NaN,90,NaN,88,NaN,85,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,90,NaN,NaN,77,94,NaN,NaN,NaN,75,NaN,74,72,85,95,NaN,NaN,NaN,90,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520034,NaN,71,94,NaN,NaN,NaN,72,-1,NaN,NaN,90,NaN,85,NaN,92,NaN,NaN,NaN,80,NaN,NaN,NaN,83,NaN,NaN,70,91,NaN,NaN,NaN,NaN,87,NaN,80,84,91,NaN,78,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520036,NaN,70,86,NaN,NaN,NaN,65,NaN,81,NaN,87,85,NaN,72,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,81,NaN,NaN,82,89,NaN,NaN,NaN,86,NaN,88,82,86,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,91,NaN,NaN,NaN,86,83,90,NaN,93,NaN,NaN,NaN,NaN
402520038,NaN,71,NaN,NaN,NaN,NaN,66,NaN,85,NaN,85,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,90,88,NaN,NaN,85,85,NaN,NaN,NaN,85,NaN,93,82,90,NaN,NaN,81,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402520040,NaN,73,NaN,NaN,NaN,NaN,64,66,NaN,NaN,73,75,NaN,87,76,NaN,NaN,NaN,NaN,64,NaN,84,69,NaN,NaN,76,82,NaN,NaN,NaN,NaN,79,NaN,71,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,89,NaN,86,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402520042,NaN,70,NaN,NaN,NaN,NaN,78,64,NaN,NaN,55,70,NaN,NaN,62,NaN,NaN,88,69,NaN,64,NaN,NaN,73,62,NaN,90,NaN,73,NaN,79,NaN,NaN,60,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,80,NaN,NaN,89,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
