id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201012@統計學（一）@2@1,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5203051@管理時事英文選讀（一）@2@1,5201012@統計學（一）@1@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202004@統計學（二）@1@1,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5202041@服務業行銷管理@1@1,5203083@領導學@1@1,5202004@統計學（二）@2@1,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5203006@人文與企業倫理專題@2@1,5203056@管理時事英文選讀（二）@2@1,5203056@管理時事英文選讀（二）@2@2,5203073@消費者行為@2@1,5203082@期貨與選擇權實務@2@1,5204036@衍生性商品與風險管理@2@1,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5203002@人力資源管理@1@1,5203002@人力資源管理@1@2,5203069@產業競爭分析@1@1,5203073@消費者行為@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204051@高階財務管理@1@1,5204070@國際財務管理@1@1,5204076@人文思考與創造力@1@1,5202013@管理資訊系統概論@2@2,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203083@領導學@2@1,5204031@廣告管理@2@1,5204061@專案管理@2@1,5204081@品牌管理@2@1,5204036@衍生性商品與風險管理@1@1,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1
401520007,NaN,72,NaN,85,65,NaN,67,NaN,NaN,NaN,66,NaN,NaN,85,NaN,NaN,76,NaN,67,NaN,NaN,84,NaN,NaN,NaN,73,NaN,75,NaN,NaN,88,NaN,80,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,82,NaN,NaN,NaN,90,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520009,NaN,79,85,NaN,71,NaN,89,NaN,NaN,83,72,NaN,NaN,NaN,NaN,NaN,77,72,77,NaN,NaN,84,NaN,NaN,NaN,85,NaN,NaN,76,87,87,NaN,70,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,91,NaN,83,NaN,NaN,NaN,NaN
401520011,NaN,73,85,NaN,NaN,76,81,NaN,NaN,NaN,76,NaN,NaN,100,NaN,82,NaN,NaN,71,NaN,NaN,74,NaN,NaN,62,87,NaN,87,NaN,90,92,85,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,97,88,NaN,NaN,NaN,88,NaN,NaN,NaN,91,93,85,NaN,70,NaN,NaN,NaN,NaN
401520013,NaN,86,NaN,85,87,NaN,100,NaN,NaN,89,92,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,95,NaN,73,NaN,NaN,NaN,88,NaN,87,NaN,67,85,NaN,34,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,76,NaN,85,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520015,NaN,74,NaN,85,76,NaN,NaN,70,NaN,87,69,NaN,NaN,NaN,NaN,80,NaN,NaN,89,NaN,NaN,84,NaN,NaN,99,95,NaN,NaN,84,88,87,92,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,85,NaN,NaN,87,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520017,NaN,77,85,NaN,80,NaN,NaN,88,NaN,89,87,NaN,NaN,NaN,NaN,86,NaN,81,80,NaN,NaN,84,NaN,NaN,NaN,92,NaN,NaN,92,79,92,81,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,85,NaN,NaN,NaN,86,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520019,NaN,78,85,NaN,74,NaN,77,NaN,NaN,86,84,NaN,NaN,NaN,NaN,82,NaN,NaN,86,NaN,NaN,92,NaN,NaN,NaN,83,NaN,NaN,72,82,90,NaN,NaN,89,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520021,NaN,81,NaN,85,82,NaN,NaN,87,NaN,92,78,NaN,NaN,NaN,NaN,NaN,83,84,96,NaN,NaN,90,NaN,NaN,NaN,88,NaN,NaN,81,84,89,NaN,56,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,91,84,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,89,NaN,NaN,92,NaN,NaN,NaN,NaN
401520023,NaN,77,85,NaN,80,NaN,73,NaN,NaN,NaN,89,NaN,NaN,96,NaN,77,NaN,NaN,84,NaN,NaN,74,NaN,NaN,87,92,NaN,NaN,70,83,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520025,NaN,73,NaN,85,79,NaN,NaN,78,NaN,87,74,NaN,NaN,NaN,NaN,79,NaN,74,77,NaN,NaN,79,NaN,NaN,NaN,89,NaN,NaN,74,78,91,82,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,82,NaN,NaN,NaN,86,NaN,88,NaN,90,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN
401520027,NaN,71,NaN,85,NaN,81,71,NaN,71,NaN,76,NaN,NaN,NaN,NaN,78,NaN,82,75,NaN,NaN,81,NaN,NaN,NaN,73,NaN,74,NaN,NaN,73,NaN,60,68,69,NaN,72,NaN,NaN,66,NaN,NaN,NaN,80,NaN,NaN,NaN,79,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520029,NaN,75,NaN,85,82,NaN,85,NaN,NaN,89,77,NaN,NaN,NaN,NaN,89,NaN,96,94,NaN,NaN,86,NaN,NaN,NaN,95,NaN,NaN,92,87,90,83,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,83,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520031,NaN,77,85,NaN,77,NaN,70,NaN,88,NaN,78,NaN,NaN,NaN,NaN,88,NaN,84,89,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,93,88,91,89,NaN,88,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,82,89,NaN,83,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520033,NaN,76,NaN,85,80,NaN,88,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,84,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,84,85,88,76,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
401520035,NaN,73,85,NaN,73,NaN,NaN,67,NaN,87,67,NaN,NaN,NaN,NaN,81,NaN,NaN,74,NaN,NaN,82,NaN,NaN,65,78,NaN,NaN,75,NaN,86,NaN,68,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,85,NaN,85,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520037,NaN,68,NaN,85,70,NaN,81,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,83,NaN,NaN,74,NaN,NaN,83,NaN,87,NaN,88,NaN,NaN,88,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,80,NaN,NaN,NaN,84,78,NaN,NaN,NaN,87,77,NaN,NaN,NaN,NaN,NaN,NaN
401520039,NaN,80,85,NaN,75,NaN,83,NaN,NaN,84,92,NaN,NaN,NaN,NaN,78,NaN,NaN,80,NaN,NaN,78,NaN,75,NaN,91,NaN,NaN,92,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,85,NaN,NaN,NaN,86,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520041,NaN,78,85,NaN,70,NaN,75,NaN,NaN,83,69,NaN,NaN,NaN,NaN,77,NaN,NaN,69,NaN,NaN,72,NaN,76,NaN,88,NaN,NaN,87,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,82,NaN,NaN,NaN,87,86,NaN,NaN,NaN,89,81,NaN,NaN,NaN,NaN,NaN,NaN
401520043,NaN,74,NaN,85,68,NaN,79,NaN,NaN,88,79,NaN,NaN,74,NaN,72,NaN,NaN,97,NaN,NaN,79,NaN,NaN,50,80,NaN,63,NaN,82,87,NaN,34,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,86,80,NaN,NaN,NaN,86,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520045,NaN,80,85,NaN,80,NaN,91,NaN,NaN,NaN,80,NaN,NaN,95,NaN,83,NaN,80,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,73,90,89,95,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN
401520051,NaN,77,NaN,85,NaN,86,90,NaN,91,NaN,79,NaN,NaN,NaN,NaN,81,NaN,92,91,NaN,NaN,82,NaN,NaN,NaN,91,NaN,NaN,89,81,91,93,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,80,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN
401520053,NaN,80,NaN,85,78,NaN,74,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,82,NaN,NaN,90,NaN,NaN,86,88,NaN,NaN,81,NaN,81,NaN,87,91,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,78,NaN,NaN,88,NaN,NaN,NaN,90,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520055,NaN,69,85,NaN,69,NaN,NaN,66,NaN,79,68,NaN,NaN,NaN,NaN,73,NaN,NaN,60,NaN,NaN,84,NaN,NaN,76,67,NaN,NaN,72,NaN,86,NaN,NaN,NaN,82,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,83,NaN,81,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520057,NaN,76,85,NaN,75,NaN,86,NaN,NaN,85,78,NaN,NaN,NaN,NaN,NaN,82,82,83,NaN,NaN,86,NaN,NaN,NaN,77,NaN,NaN,73,83,89,NaN,66,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,86,NaN,NaN,87,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520059,NaN,72,NaN,88,NaN,76,61,NaN,NaN,78,83,NaN,NaN,NaN,NaN,77,NaN,NaN,81,NaN,NaN,80,NaN,NaN,69,82,NaN,NaN,75,83,90,NaN,72,NaN,83,NaN,NaN,NaN,NaN,73,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520063,NaN,67,NaN,85,NaN,74,70,NaN,78,NaN,80,NaN,NaN,NaN,NaN,72,NaN,NaN,80,NaN,NaN,71,NaN,NaN,NaN,75,NaN,NaN,69,70,76,NaN,64,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,78,NaN,NaN,77,NaN,NaN,NaN,82,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520073,NaN,71,NaN,85,73,NaN,67,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,75,NaN,NaN,68,NaN,NaN,82,NaN,NaN,NaN,81,NaN,NaN,75,NaN,72,NaN,55,89,NaN,NaN,NaN,NaN,92,NaN,69,NaN,80,NaN,NaN,NaN,79,74,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520075,NaN,75,85,NaN,77,NaN,60,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,80,NaN,NaN,87,NaN,NaN,79,86,NaN,69,77,NaN,NaN,60,76,89,NaN,70,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520077,NaN,70,85,NaN,NaN,78,74,NaN,79,NaN,77,NaN,NaN,NaN,NaN,79,NaN,87,75,NaN,NaN,88,NaN,NaN,NaN,84,NaN,77,NaN,78,73,64,NaN,NaN,91,NaN,NaN,NaN,90,NaN,NaN,77,NaN,80,NaN,NaN,79,NaN,91,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520079,NaN,70,85,NaN,NaN,67,68,NaN,NaN,NaN,69,NaN,NaN,67,NaN,77,NaN,NaN,71,NaN,NaN,NaN,NaN,83,NaN,NaN,74,61,NaN,76,87,90,NaN,70,77,NaN,NaN,NaN,90,NaN,82,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520081,NaN,68,NaN,85,73,NaN,61,NaN,71,NaN,62,NaN,NaN,NaN,NaN,74,NaN,62,68,NaN,NaN,68,NaN,NaN,NaN,60,NaN,65,53,69,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520083,NaN,60,NaN,85,65,NaN,64,NaN,81,NaN,72,NaN,NaN,80,NaN,70,NaN,NaN,70,NaN,72,NaN,NaN,NaN,NaN,87,NaN,68,NaN,75,89,NaN,NaN,83,83,NaN,61,NaN,90,NaN,NaN,NaN,NaN,83,NaN,NaN,84,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520085,NaN,64,85,NaN,72,NaN,NaN,79,NaN,90,66,NaN,NaN,NaN,NaN,79,NaN,78,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,80,78,90,77,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,90,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520087,NaN,65,NaN,85,68,NaN,75,NaN,76,NaN,74,NaN,NaN,77,NaN,71,NaN,NaN,76,NaN,NaN,85,NaN,NaN,NaN,77,NaN,69,NaN,79,84,NaN,NaN,82,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,80,NaN,NaN,NaN,84,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520089,NaN,76,85,NaN,79,NaN,77,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520091,NaN,85,85,NaN,83,NaN,NaN,94,NaN,91,93,NaN,NaN,100,NaN,NaN,88,99,95,NaN,NaN,86,NaN,NaN,NaN,92,NaN,NaN,83,90,88,NaN,94,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,96,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401520093,NaN,76,85,NaN,84,NaN,80,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
