id,1255113@哲學基本問題討論（四）@2@1,1256154@莊子哲學@2@1,1257232@心靈哲學專題：現象意識@2@1,1257431@計算理論@2@1,1257538@道德心理學專題@2@1,1255110@哲學基本問題討論（一）@1@1,1255202@認知科學導論@1@1,1255403@進階邏輯@1@1,1256208@分析性與先驗性：「經驗論的兩個獨斷」一甲子後@1@1,1256411@知識邏輯@1@1,1257316@科學史與科學哲學@1@1,1257410@不完備性@1@1,1257507@政治哲學專題：自由主義@1@1,1255111@哲學基本問題討論（二）@2@1,1257265@形上學專題：可能性與必然性@2@1,1257352@科學與政治：波以爾與霍布士@2@1,1257402@模型論@2@1,1257537@規範倫理學@2@1,1257552@倫理學專題：自主性、身份認同與自我@2@1,1255112@哲學基本問題討論（三）@1@1,1256404@模態邏輯@1@1,1256531@道德個別主義與相關議題@1@1,1257236@心靈哲學專題：意識與感質@1@1,1257256@知識論專題：理智德性@1@1,1257417@邏輯專題：集合論@1@1,1257535@道德哲學專題：價值論@1@1,1256228@宗教哲學@2@1,1257273@思想實驗與知態直覺@2@1,1257346@生物學哲學專題：物種問題@2@1,1257540@後設倫理學專題討論@2@1,1257556@倫理學專題：社會事實與結構@2@1,1258103@形上學專題：因果@2@1,1257504@政治哲學專題：平等@1@1,1257570@女性主義專題@1@1,1258255@知態直覺的系譜@1@1,1257267@形上學專題：自由意志與相關議題@2@1,1257562@道德心理學專題：道德與情感@2@1,1257565@關懷倫理學@1@1
601125002,90,85,60,NaN,NaN,92,83,70,NaN,NaN,66,NaN,NaN,88,NaN,75,NaN,50,NaN,92,NaN,83,NaN,70,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,88
601125003,90,NaN,NaN,98,91,97,NaN,NaN,NaN,96,NaN,99,NaN,96,90,NaN,98,NaN,NaN,NaN,98,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601125001,84,NaN,NaN,NaN,NaN,92,NaN,85,NaN,NaN,85,88,NaN,85,NaN,82,NaN,84,87,92,NaN,91,NaN,NaN,NaN,86,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601125004,90,NaN,NaN,NaN,NaN,92,NaN,90,NaN,NaN,NaN,NaN,85,95,NaN,86,NaN,88,91,92,NaN,92,NaN,NaN,NaN,88,96,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601125007,84,NaN,NaN,NaN,NaN,95,NaN,70,NaN,NaN,NaN,NaN,83,90,NaN,NaN,NaN,NaN,72,80,NaN,NaN,NaN,0,NaN,60,NaN,NaN,86,NaN,88,NaN,80,83,NaN,89,84,NaN
601125008,88,NaN,NaN,NaN,NaN,96,NaN,99,85,NaN,NaN,NaN,NaN,92,90,NaN,NaN,NaN,NaN,90,92,NaN,95,88,NaN,NaN,NaN,87,NaN,NaN,NaN,90,NaN,NaN,88,NaN,NaN,NaN
601125009,88,NaN,NaN,NaN,NaN,96,NaN,99,89,NaN,NaN,NaN,NaN,92,93,NaN,97,NaN,NaN,92,96,NaN,NaN,92,96,NaN,NaN,89,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
